month,hour,co2_eq_kg_per_MWh
1,0,476.74446851409095
1,1,474.37206793911184
1,2,467.3665667622407
1,3,463.1563416298924
1,4,460.4635182435064
1,5,460.45547898723385
1,6,452.75825619860257
1,7,456.91702489325905
1,8,454.4911643913871
1,9,454.80669609729665
1,10,454.2107440193757
1,11,452.4411294918421
1,12,454.5868736413835
1,13,454.66554967662154
1,14,461.3720629409534
1,15,465.3428126755622
1,16,471.7759314017924
1,17,480.882679846842
1,18,482.90474311737495
1,19,482.4370468748752
1,20,477.96296143469414
1,21,469.20986301055683
1,22,464.1749164783926
1,23,466.0585635274098
2,0,360.4424618452416
2,1,361.434349828404
2,2,345.14105801775975
2,3,332.9530891649853
2,4,326.7889455097963
2,5,327.8535189970302
2,6,326.60947930221647
2,7,298.65346142278327
2,8,294.8174899367423
2,9,294.6671143740804
2,10,297.526560478108
2,11,302.73914534872523
2,12,311.1185654607481
2,13,316.6551199059961
2,14,323.46103898974314
2,15,332.0280885761772
2,16,355.1032477378362
2,17,367.03921927444776
2,18,369.953499173855
2,19,364.7551212736438
2,20,354.9468155772954
2,21,347.6799382096974
2,22,343.73445842292625
2,23,346.2708675053651
3,0,274.5569927378708
3,1,279.98851324923555
3,2,277.05460617411035
3,3,270.95133878636193
3,4,267.83096001268467
3,5,260.3673025857443
3,6,251.46078380801194
3,7,249.39565853557005
3,8,246.6623218342255
3,9,245.94791042020833
3,10,250.0296793318086
3,11,253.79951974861638
3,12,258.51452055689776
3,13,264.43731135253876
3,14,270.0871841248796
3,15,280.46307369492087
3,16,288.8401745019681
3,17,288.7384086211947
3,18,285.16029884502706
3,19,283.63601651875837
3,20,280.838393923166
3,21,277.8665577066185
3,22,275.4379335590768
3,23,272.8980435266907
4,0,310.1303811784405
4,1,317.3741093283095
4,2,316.42442740965896
4,3,301.06470582597717
4,4,285.9413087947445
4,5,269.6649103693756
4,6,263.011608861921
4,7,254.64237092538733
4,8,251.33138649917754
4,9,249.67735498620064
4,10,249.94441781707093
4,11,256.2159939666521
4,12,264.7672776559635
4,13,272.10551905348086
4,14,284.59765791940765
4,15,301.07925530996357
4,16,305.5050706103089
4,17,307.99999805971015
4,18,311.79384262695646
4,19,312.5056586517373
4,20,313.34177820019335
4,21,310.7584428141144
4,22,311.03528591985173
4,23,309.57014048634977
