label,utility,type,period,basic_charge_limit (imperial),basic_charge_limit (metric),month_start,month_end,hour_start,hour_end,weekday_start,weekday_end,charge (imperial),charge (metric),units,Notes
47000940002,electric,customer,,,,,,,,,,2005.26,2005.26,$/month,
,electric,energy,,0,0,1,1,0,4,0,4,0.06318,0.06318,$/kWh,Includes TVA Fuel Cost Adjustment
,electric,energy,,0,0,1,1,4,10,0,4,0.09011,0.09011,$/kWh,Includes TVA Fuel Cost Adjustment
,electric,energy,,0,0,1,1,10,24,0,4,0.06318,0.06318,$/kWh,Includes TVA Fuel Cost Adjustment
,electric,energy,,0,0,2,2,0,4,0,4,0.06229,0.06229,$/kWh,Includes TVA Fuel Cost Adjustment
,electric,energy,,0,0,2,2,4,10,0,4,0.08922,0.08922,$/kWh,Includes TVA Fuel Cost Adjustment
,electric,energy,,0,0,2,2,10,24,0,4,0.06229,0.06229,$/kWh,Includes TVA Fuel Cost Adjustment
,electric,energy,,0,0,3,3,0,4,0,4,0.06303,0.06303,$/kWh,Includes TVA Fuel Cost Adjustment
,electric,energy,,0,0,3,3,4,10,0,4,0.08996,0.08996,$/kWh,Includes TVA Fuel Cost Adjustment
,electric,energy,,0,0,3,3,10,24,0,4,0.06303,0.06303,$/kWh,Includes TVA Fuel Cost Adjustment
,electric,energy,,0,0,4,4,0,13,0,4,0.06806,0.06806,$/kWh,Includes TVA Fuel Cost Adjustment
,electric,energy,,0,0,4,4,13,19,0,4,0.09499,0.09499,$/kWh,Includes TVA Fuel Cost Adjustment
,electric,energy,,0,0,4,4,20,24,0,4,0.06806,0.06806,$/kWh,Includes TVA Fuel Cost Adjustment
,electric,energy,,0,0,5,5,0,13,0,4,0.06476,0.06476,$/kWh,Includes TVA Fuel Cost Adjustment
,electric,energy,,0,0,5,5,13,19,0,4,0.09169,0.09169,$/kWh,Includes TVA Fuel Cost Adjustment
,electric,energy,,0,0,5,5,20,24,0,4,0.06476,0.06476,$/kWh,Includes TVA Fuel Cost Adjustment
,electric,energy,,0,0,6,6,0,13,0,4,0.06484,0.06484,$/kWh,Includes TVA Fuel Cost Adjustment
