Month,Hour,Cost
1,0,134.35647434811597
1,1,134.35647434811597
1,2,134.35647434811597
1,3,134.35647434811597
1,4,134.35647434811597
1,5,134.35647434811597
1,6,134.35647434811597
1,7,134.35647434811597
1,8,134.35647434811597
1,9,134.35647434811597
1,10,134.35647434811597
1,11,134.35647434811597
1,12,134.35647434811597
1,13,134.35647434811597
1,14,134.35647434811597
1,15,134.35647434811597
1,16,134.35647434811597
1,17,134.35647434811597
1,18,134.35647434811597
1,19,134.35647434811597
1,20,134.35647434811597
1,21,134.35647434811597
1,22,134.35647434811597
1,23,134.35647434811597
2,0,137.34950787837457
2,1,137.34950787837457
2,2,137.34950787837457
2,3,137.34950787837457
2,4,137.34950787837457
2,5,137.34950787837457
2,6,137.34950787837457
2,7,137.34950787837457
2,8,137.34950787837457
2,9,137.34950787837457
2,10,137.34950787837457
2,11,137.34950787837457
2,12,137.34950787837457
2,13,137.34950787837457
2,14,137.34950787837457
2,15,137.34950787837457
2,16,137.34950787837457
2,17,137.34950787837457
2,18,137.34950787837457
2,19,137.34950787837457
2,20,137.34950787837457
2,21,137.34950787837457
2,22,137.34950787837457
2,23,137.34950787837457
3,0,133.44011676541638
3,1,133.44011676541638
3,2,133.44011676541638
3,3,133.44011676541638
3,4,133.44011676541638
3,5,133.44011676541638
3,6,133.44011676541638
3,7,133.44011676541638
3,8,133.44011676541638
3,9,133.44011676541638
3,10,133.44011676541638
3,11,133.44011676541638
3,12,133.44011676541638
3,13,133.44011676541638
3,14,133.44011676541638
3,15,133.44011676541638
3,16,133.44011676541638
3,17,133.44011676541638
3,18,133.44011676541638
3,19,133.44011676541638
3,20,133.44011676541638
3,21,133.44011676541638
3,22,133.44011676541638
3,23,133.44011676541638
4,0,136.3030028508985
4,1,136.3030028508985
4,2,136.3030028508985
4,3,136.3030028508985
4,4,136.3030028508985
4,5,136.3030028508985
4,6,136.3030028508985
4,7,136.3030028508985
4,8,136.3030028508985
4,9,136.3030028508985
4,10,136.3030028508985
4,11,136.3030028508985
4,12,136.3030028508985
4,13,136.3030028508985
4,14,136.3030028508985
4,15,136.3030028508985
4,16,136.3030028508985
4,17,136.3030028508985
4,18,136.3030028508985
4,19,136.3030028508985
4,20,136.3030028508985
4,21,136.3030028508985
4,22,136.3030028508985
4,23,136.3030028508985
5,0,133.86915661540635
5,1,133.86915661540635
5,2,133.86915661540635
5,3,133.86915661540635
5,4,133.86915661540635
5,5,133.86915661540635
5,6,133.86915661540635
5,7,133.86915661540635
5,8,133.86915661540635
5,9,133.86915661540635
5,10,133.86915661540635
5,11,133.86915661540635
5,12,133.86915661540635
5,13,133.86915661540635
5,14,133.86915661540635
5,15,133.86915661540635
5,16,133.86915661540635
5,17,133.86915661540635
5,18,133.86915661540635
5,19,133.86915661540635
5,20,133.86915661540635
5,21,133.86915661540635
5,22,133.86915661540635
5,23,133.86915661540635
6,0,135.31094454217947
6,1,135.31094454217947
6,2,135.31094454217947
6,3,135.31094454217947
6,4,135.31094454217947
6,5,135.31094454217947
6,6,135.31094454217947
6,7,135.31094454217947
6,8,135.31094454217947
6,9,135.31094454217947
6,10,135.31094454217947
6,11,135.31094454217947
6,12,135.31094454217947
6,13,135.31094454217947
6,14,135.31094454217947
6,15,135.31094454217947
6,16,135.31094454217947
6,17,135.31094454217947
6,18,135.31094454217947
6,19,135.31094454217947
6,20,135.31094454217947
6,21,135.31094454217947
6,22,135.31094454217947
6,23,135.31094454217947
7,0,134.29479801377173
7,1,134.29479801377173
7,2,134.29479801377173
7,3,134.29479801377173
7,4,134.29479801377173
7,5,134.29479801377173
7,6,134.29479801377173
7,7,134.29479801377173
7,8,134.29479801377173
7,9,134.29479801377173
7,10,134.29479801377173
7,11,134.29479801377173
7,12,134.29479801377173
7,13,134.29479801377173
7,14,134.29479801377173
7,15,134.29479801377173
7,16,134.29479801377173
7,17,134.29479801377173
7,18,134.29479801377173
7,19,134.29479801377173
7,20,134.29479801377173
7,21,134.29479801377173
7,22,134.29479801377173
7,23,134.29479801377173
8,0,133.18734103195737
8,1,133.18734103195737
8,2,133.18734103195737
8,3,133.18734103195737
8,4,133.18734103195737
8,5,133.18734103195737
8,6,133.18734103195737
8,7,133.18734103195737
8,8,133.18734103195737
8,9,133.18734103195737
8,10,133.18734103195737
8,11,133.18734103195737
8,12,133.18734103195737
8,13,133.18734103195737
8,14,133.18734103195737
8,15,133.18734103195737
8,16,133.18734103195737
8,17,133.18734103195737
8,18,133.18734103195737
8,19,133.18734103195737
8,20,133.18734103195737
8,21,133.18734103195737
8,22,133.18734103195737
8,23,133.18734103195737
9,0,134.9942684186696
9,1,134.9942684186696
9,2,134.9942684186696
9,3,134.9942684186696
9,4,134.9942684186696
9,5,134.9942684186696
