Month,Hour,Cost
1,0,52.47322661606537
1,1,52.47322661606537
1,2,52.47322661606537
1,3,52.47322661606537
1,4,52.47322661606537
1,5,52.47322661606537
1,6,52.47322661606537
1,7,52.47322661606537
1,8,52.47322661606537
1,9,52.47322661606537
1,10,52.47322661606537
1,11,52.47322661606537
1,12,52.47322661606537
1,13,52.47322661606537
1,14,52.47322661606537
1,15,52.47322661606537
1,16,52.47322661606537
1,17,52.47322661606537
1,18,52.47322661606537
1,19,52.47322661606537
1,20,52.47322661606537
1,21,52.47322661606537
1,22,52.47322661606537
1,23,52.47322661606537
2,0,52.66020482243924
2,1,52.66020482243924
2,2,52.66020482243924
2,3,52.66020482243924
2,4,52.66020482243924
2,5,52.66020482243924
2,6,52.66020482243924
2,7,52.66020482243924
2,8,52.66020482243924
2,9,52.66020482243924
2,10,52.66020482243924
2,11,52.66020482243924
2,12,52.66020482243924
2,13,52.66020482243924
2,14,52.66020482243924
2,15,52.66020482243924
2,16,52.66020482243924
2,17,52.66020482243924
2,18,52.66020482243924
2,19,52.66020482243924
2,20,52.66020482243924
2,21,52.66020482243924
2,22,52.66020482243924
2,23,52.66020482243924
3,0,50.60397118791128
3,1,50.60397118791128
3,2,50.60397118791128
3,3,50.60397118791128
3,4,50.60397118791128
3,5,50.60397118791128
3,6,50.60397118791128
3,7,50.60397118791128
3,8,50.60397118791128
3,9,50.60397118791128
3,10,50.60397118791128
3,11,50.60397118791128
3,12,50.60397118791128
3,13,50.60397118791128
3,14,50.60397118791128
3,15,50.60397118791128
3,16,50.60397118791128
3,17,50.60397118791128
3,18,50.60397118791128
3,19,50.60397118791128
3,20,50.60397118791128
3,21,50.60397118791128
3,22,50.60397118791128
3,23,50.60397118791128
4,0,51.89558526547283
4,1,51.89558526547283
4,2,51.89558526547283
4,3,51.89558526547283
4,4,51.89558526547283
4,5,51.89558526547283
4,6,51.89558526547283
4,7,51.89558526547283
4,8,51.89558526547283
4,9,51.89558526547283
4,10,51.89558526547283
4,11,51.89558526547283
4,12,51.89558526547283
4,13,51.89558526547283
4,14,51.89558526547283
4,15,51.89558526547283
4,16,51.89558526547283
4,17,51.89558526547283
4,18,51.89558526547283
4,19,51.89558526547283
4,20,51.89558526547283
4,21,51.89558526547283
4,22,51.89558526547283
4,23,51.89558526547283
5,0,51.43411443558217
5,1,51.43411443558217
5,2,51.43411443558217
5,3,51.43411443558217
5,4,51.43411443558217
5,5,51.43411443558217
5,6,51.43411443558217
5,7,51.43411443558217
5,8,51.43411443558217
5,9,51.43411443558217
5,10,51.43411443558217
5,11,51.43411443558217
5,12,51.43411443558217
5,13,51.43411443558217
5,14,51.43411443558217
5,15,51.43411443558217
5,16,51.43411443558217
5,17,51.43411443558217
5,18,51.43411443558217
5,19,51.43411443558217
5,20,51.43411443558217
5,21,51.43411443558217
5,22,51.43411443558217
5,23,51.43411443558217
6,0,129.82772194337477
6,1,129.82772194337477
6,2,129.82772194337477
6,3,129.82772194337477
6,4,129.82772194337477
6,5,129.82772194337477
6,6,129.82772194337477
6,7,129.82772194337477
6,8,129.82772194337477
6,9,129.82772194337477
6,10,129.82772194337477
6,11,129.82772194337477
6,12,129.82772194337477
6,13,129.82772194337477
6,14,129.82772194337477
6,15,129.82772194337477
6,16,129.82772194337477
6,17,129.82772194337477
6,18,129.82772194337477
6,19,129.82772194337477
6,20,129.82772194337477
6,21,129.82772194337477
6,22,129.82772194337477
6,23,129.82772194337477
7,0,130.09430778223066
7,1,130.09430778223066
7,2,130.09430778223066
7,3,130.09430778223066
7,4,130.09430778223066
7,5,130.09430778223066
7,6,130.09430778223066
7,7,130.09430778223066
7,8,130.09430778223066
7,9,130.09430778223066
7,10,130.09430778223066
7,11,130.09430778223066
7,12,130.09430778223066
7,13,130.09430778223066
7,14,130.09430778223066
7,15,130.09430778223066
7,16,130.09430778223066
7,17,130.09430778223066
7,18,130.09430778223066
7,19,130.09430778223066
7,20,130.09430778223066
7,21,130.09430778223066
7,22,130.09430778223066
7,23,130.09430778223066
8,0,135.51393156368292
8,1,135.51393156368292
8,2,135.51393156368292
8,3,135.51393156368292
8,4,135.51393156368292
8,5,135.51393156368292
8,6,135.51393156368292
8,7,135.51393156368292
8,8,135.51393156368292
8,9,135.51393156368292
8,10,135.51393156368292
8,11,135.51393156368292
8,12,135.51393156368292
8,13,135.51393156368292
8,14,135.51393156368292
8,15,135.51393156368292
8,16,135.51393156368292
8,17,135.51393156368292
8,18,135.51393156368292
8,19,135.51393156368292
8,20,135.51393156368292
8,21,135.51393156368292
8,22,135.51393156368292
8,23,135.51393156368292
9,0,130.40580123459085
9,1,130.40580123459085
9,2,130.40580123459085
9,3,130.40580123459085
9,4,130.40580123459085
9,5,130.40580123459085
9,6,130.40580123459085
9,7,130.40580123459085
9,8,130.40580123459085
9,9,130.40580123459085
9,10,130.40580123459085
