Month,Hour,Cost
1,0,46.705226505578544
1,1,46.705226505578544
1,2,46.705226505578544
1,3,46.705226505578544
1,4,46.705226505578544
1,5,46.705226505578544
1,6,55.25051738972966
1,7,55.25051738972966
1,8,55.25051738972966
1,9,55.25051738972966
1,10,55.25051738972966
1,11,55.25051738972966
1,12,55.25051738972966
1,13,55.25051738972966
1,14,55.25051738972966
1,15,55.25051738972966
1,16,55.25051738972966
1,17,55.25051738972966
1,18,55.25051738972966
1,19,55.25051738972966
1,20,55.25051738972966
1,21,55.25051738972966
1,22,27.31732376856979
1,23,27.31732376856979
2,0,46.55984048174272
2,1,46.55984048174272
2,2,46.55984048174272
2,3,46.55984048174272
2,4,46.55984048174272
2,5,46.55984048174272
2,6,55.534665802815674
2,7,55.534665802815674
2,8,55.534665802815674
2,9,55.534665802815674
2,10,55.534665802815674
2,11,55.534665802815674
2,12,55.534665802815674
2,13,55.534665802815674
2,14,55.534665802815674
2,15,55.534665802815674
2,16,55.534665802815674
2,17,55.534665802815674
2,18,55.534665802815674
2,19,55.534665802815674
2,20,55.534665802815674
2,21,55.534665802815674
2,22,28.133515903668755
2,23,28.133515903668755
3,0,44.53552520386869
3,1,44.53552520386869
3,2,44.53552520386869
3,3,44.53552520386869
3,4,44.53552520386869
3,5,44.53552520386869
3,6,53.45422847066353
3,7,53.45422847066353
3,8,53.45422847066353
3,9,53.45422847066353
3,10,53.45422847066353
3,11,53.45422847066353
3,12,53.45422847066353
3,13,53.45422847066353
3,14,53.45422847066353
3,15,53.45422847066353
3,16,53.45422847066353
3,17,53.45422847066353
3,18,53.45422847066353
3,19,53.45422847066353
3,20,53.45422847066353
3,21,53.45422847066353
3,22,26.20228176367535
3,23,26.20228176367535
4,0,45.31473555823254
4,1,45.31473555823254
4,2,45.31473555823254
4,3,45.31473555823254
4,4,45.31473555823254
4,5,45.31473555823254
4,6,54.93141853429551
4,7,54.93141853429551
4,8,54.93141853429551
4,9,54.93141853429551
4,10,54.93141853429551
4,11,54.93141853429551
4,12,54.93141853429551
4,13,54.93141853429551
4,14,54.93141853429551
4,15,54.93141853429551
4,16,54.93141853429551
4,17,54.93141853429551
4,18,54.93141853429551
4,19,54.93141853429551
4,20,54.93141853429551
4,21,54.93141853429551
4,22,27.590629988717417
4,23,27.590629988717417
5,0,45.30673313358441
5,1,45.30673313358441
5,2,45.30673313358441
5,3,45.30673313358441
5,4,45.30673313358441
5,5,45.30673313358441
5,6,54.34593415114572
5,7,54.34593415114572
5,8,54.34593415114572
5,9,54.34593415114572
5,10,54.34593415114572
5,11,54.34593415114572
5,12,54.34593415114572
