Month,Hour,Cost
1,0,347.1763494881697
1,1,347.1763494881697
1,2,347.1763494881697
1,3,347.1763494881697
1,4,347.1763494881697
1,5,347.1763494881697
1,6,347.1763494881697
1,7,347.1763494881697
1,8,347.1763494881697
1,9,347.1763494881697
1,10,347.1763494881697
1,11,347.1763494881697
1,12,347.1763494881697
1,13,347.1763494881697
1,14,347.1763494881697
1,15,347.1763494881697
1,16,347.1763494881697
1,17,347.1763494881697
1,18,347.1763494881697
1,19,347.1763494881697
1,20,347.1763494881697
1,21,347.1763494881697
1,22,347.1763494881697
1,23,347.1763494881697
2,0,347.5099297591128
2,1,347.5099297591128
2,2,347.5099297591128
2,3,347.5099297591128
2,4,347.5099297591128
2,5,347.5099297591128
2,6,347.5099297591128
2,7,347.5099297591128
2,8,347.5099297591128
2,9,347.5099297591128
2,10,347.5099297591128
2,11,347.5099297591128
2,12,347.5099297591128
2,13,347.5099297591128
2,14,347.5099297591128
2,15,347.5099297591128
2,16,347.5099297591128
2,17,347.5099297591128
2,18,347.5099297591128
2,19,347.5099297591128
2,20,347.5099297591128
2,21,347.5099297591128
2,22,347.5099297591128
2,23,347.5099297591128
3,0,343.9840726658949
3,1,343.9840726658949
3,2,343.9840726658949
3,3,343.9840726658949
3,4,343.9840726658949
3,5,343.9840726658949
3,6,343.9840726658949
3,7,343.9840726658949
3,8,343.9840726658949
3,9,343.9840726658949
3,10,343.9840726658949
3,11,343.9840726658949
3,12,343.9840726658949
3,13,343.9840726658949
3,14,343.9840726658949
3,15,343.9840726658949
3,16,343.9840726658949
3,17,343.9840726658949
3,18,343.9840726658949
3,19,343.9840726658949
3,20,343.9840726658949
3,21,343.9840726658949
3,22,343.9840726658949
3,23,343.9840726658949
4,0,346.19430247740456
4,1,346.19430247740456
4,2,346.19430247740456
4,3,346.19430247740456
4,4,346.19430247740456
4,5,346.19430247740456
4,6,346.19430247740456
4,7,346.19430247740456
4,8,346.19430247740456
4,9,346.19430247740456
4,10,346.19430247740456
