Month,Hour,Cost
1,0,75.42190209407545
1,1,75.42190209407545
1,2,75.42190209407545
1,3,75.42190209407545
1,4,75.42190209407545
1,5,75.42190209407545
1,6,144.98898610435168
1,7,144.98898610435168
1,8,144.98898610435168
1,9,144.98898610435168
1,10,30.59399618844321
1,11,30.59399618844321
1,12,30.59399618844321
1,13,30.59399618844321
1,14,30.59399618844321
1,15,30.59399618844321
1,16,30.59399618844321
1,17,30.254356363402206
1,18,30.254356363402206
1,19,30.254356363402206
1,20,30.59399618844321
1,21,30.59399618844321
1,22,30.59399618844321
1,23,30.59399618844321
2,0,75.66287501962192
2,1,75.66287501962192
2,2,75.66287501962192
2,3,75.66287501962192
2,4,75.66287501962192
2,5,75.66287501962192
2,6,148.67357991805608
2,7,148.67357991805608
2,8,148.67357991805608
2,9,148.67357991805608
2,10,31.322877711778926
2,11,31.322877711778926
2,12,31.322877711778926
2,13,31.322877711778926
2,14,31.322877711778926
2,15,31.322877711778926
2,16,31.322877711778926
2,17,30.943763587181717
2,18,30.943763587181717
2,19,30.943763587181717
2,20,31.322877711778926
2,21,31.322877711778926
2,22,31.322877711778926
2,23,31.322877711778926
3,0,73.18535467430148
3,1,73.18535467430148
3,2,73.18535467430148
3,3,73.18535467430148
3,4,73.18535467430148
3,5,73.18535467430148
3,6,150.11038117854022
3,7,150.11038117854022
3,8,150.11038117854022
3,9,150.11038117854022
3,10,27.96929670003319
3,11,27.96929670003319
3,12,27.96929670003319
3,13,27.96929670003319
3,14,27.96929670003319
3,15,27.96929670003319
3,16,27.96929670003319
3,17,27.609955328927118
3,18,27.609955328927118
3,19,27.609955328927118
3,20,27.96929670003319
3,21,27.96929670003319
3,22,27.96929670003319
3,23,27.96929670003319
4,0,125.28627443084636
4,1,125.28627443084636
4,2,125.28627443084636
4,3,125.28627443084636
4,4,125.28627443084636
4,5,125.28627443084636
4,6,125.28627443084636
4,7,125.28627443084636
4,8,125.28627443084636
4,9,125.28627443084636
4,10,125.28627443084636
4,11,125.28627443084636
4,12,125.28627443084636
4,13,125.28627443084636
4,14,125.28627443084636
4,15,125.28627443084636
4,16,212.36120235758824
4,17,212.36120235758824
4,18,212.36120235758824
4,19,212.36120235758824
4,20,50.37131411849286
4,21,50.37131411849286
4,22,50.37131411849286
4,23,50.37131411849286
5,0,118.37017204796994
5,1,118.37017204796994
5,2,118.37017204796994
5,3,118.37017204796994
5,4,118.37017204796994
5,5,118.37017204796994
5,6,118.37017204796994
5,7,118.37017204796994
5,8,118.37017204796994
5,9,118.37017204796994
5,10,118.37017204796994
5,11,118.37017204796994
5,12,118.37017204796994
5,13,118.37017204796994
5,14,118.37017204796994
5,15,118.37017204796994
5,16,220.83167849657838
5,17,220.83167849657838
5,18,220.83167849657838
5,19,220.83167849657838
5,20,39.71867496219826
5,21,39.71867496219826
5,22,39.71867496219826
5,23,39.71867496219826
6,0,118.37055262536394
