Month,Hour,Cost
1,0,98.91768581166038
1,1,98.91768581166038
1,2,98.91768581166038
1,3,98.91768581166038
1,4,98.91768581166038
1,5,98.91768581166038
1,6,98.91768581166038
1,7,98.91768581166038
1,8,98.91768581166038
1,9,98.91768581166038
1,10,98.91768581166038
1,11,98.91768581166038
1,12,98.91768581166038
1,13,98.91768581166038
1,14,98.91768581166038
1,15,98.91768581166038
1,16,98.91768581166038
1,17,98.91768581166038
1,18,98.91768581166038
1,19,98.91768581166038
1,20,98.91768581166038
1,21,98.91768581166038
1,22,98.91768581166038
1,23,98.91768581166038
2,0,101.02601561970395
2,1,101.02601561970395
2,2,101.02601561970395
2,3,101.02601561970395
2,4,101.02601561970395
2,5,101.02601561970395
2,6,101.02601561970395
2,7,101.02601561970395
2,8,101.02601561970395
2,9,101.02601561970395
2,10,101.02601561970395
2,11,101.02601561970395
2,12,101.02601561970395
2,13,101.02601561970395
2,14,101.02601561970395
2,15,101.02601561970395
2,16,101.02601561970395
2,17,101.02601561970395
2,18,101.02601561970395
2,19,101.02601561970395
2,20,101.02601561970395
2,21,101.02601561970395
2,22,101.02601561970395
2,23,101.02601561970395
3,0,98.24433357094382
3,1,98.24433357094382
3,2,98.24433357094382
3,3,98.24433357094382
3,4,98.24433357094382
3,5,98.24433357094382
3,6,98.24433357094382
3,7,98.24433357094382
3,8,98.24433357094382
3,9,98.24433357094382
3,10,98.24433357094382
3,11,98.24433357094382
3,12,98.24433357094382
3,13,98.24433357094382
3,14,98.24433357094382
3,15,98.24433357094382
3,16,98.24433357094382
3,17,98.24433357094382
3,18,98.24433357094382
3,19,98.24433357094382
3,20,98.24433357094382
3,21,98.24433357094382
3,22,98.24433357094382
3,23,98.24433357094382
4,0,100.31971307717166
4,1,100.31971307717166
4,2,100.31971307717166
4,3,100.31971307717166
4,4,100.31971307717166
4,5,100.31971307717166
4,6,100.31971307717166
4,7,100.31971307717166
4,8,100.31971307717166
4,9,100.31971307717166
4,10,100.31971307717166
4,11,100.31971307717166
4,12,100.31971307717166
4,13,100.31971307717166
4,14,100.31971307717166
4,15,100.31971307717166
4,16,100.31971307717166
4,17,100.31971307717166
4,18,100.31971307717166
4,19,100.31971307717166
4,20,100.31971307717166
4,21,100.31971307717166
4,22,100.31971307717166
4,23,100.31971307717166
5,0,98.5595979936992
5,1,98.5595979936992
5,2,98.5595979936992
5,3,98.5595979936992
5,4,98.5595979936992
5,5,98.5595979936992
5,6,98.5595979936992
5,7,98.5595979936992
5,8,98.5595979936992
5,9,98.5595979936992
5,10,98.5595979936992
5,11,98.5595979936992
5,12,98.5595979936992
5,13,98.5595979936992
5,14,98.5595979936992
5,15,98.5595979936992
5,16,98.5595979936992
5,17,98.5595979936992
5,18,98.5595979936992
5,19,98.5595979936992
5,20,98.5595979936992
5,21,98.5595979936992
5,22,98.5595979936992
5,23,98.5595979936992
6,0,102.16062141543767
6,1,102.16062141543767
6,2,102.16062141543767
6,3,102.16062141543767
6,4,102.16062141543767
6,5,102.16062141543767
6,6,102.16062141543767
6,7,102.16062141543767
6,8,102.16062141543767
6,9,102.16062141543767
6,10,102.16062141543767
6,11,102.16062141543767
6,12,102.16062141543767
6,13,102.16062141543767
6,14,102.16062141543767
6,15,102.16062141543767
6,16,102.16062141543767
6,17,102.16062141543767
6,18,102.16062141543767
6,19,102.16062141543767
6,20,102.16062141543767
6,21,102.16062141543767
6,22,102.16062141543767
6,23,102.16062141543767
7,0,101.35739062250238
7,1,101.35739062250238
7,2,101.35739062250238
7,3,101.35739062250238
7,4,101.35739062250238
7,5,101.35739062250238
7,6,101.35739062250238
7,7,101.35739062250238
7,8,101.35739062250238
7,9,101.35739062250238
7,10,101.35739062250238
7,11,101.35739062250238
7,12,101.35739062250238
7,13,101.35739062250238
7,14,101.35739062250238
7,15,101.35739062250238
7,16,101.35739062250238
7,17,101.35739062250238
7,18,101.35739062250238
7,19,101.35739062250238
7,20,101.35739062250238
7,21,101.35739062250238
7,22,101.35739062250238
7,23,101.35739062250238
8,0,100.44596293008836
8,1,100.44596293008836
8,2,100.44596293008836
8,3,100.44596293008836
8,4,100.44596293008836
8,5,100.44596293008836
8,6,100.44596293008836
8,7,100.44596293008836
8,8,100.44596293008836
8,9,100.44596293008836
8,10,100.44596293008836
8,11,100.44596293008836
8,12,100.44596293008836
8,13,100.44596293008836
8,14,100.44596293008836
8,15,100.44596293008836
8,16,100.44596293008836
8,17,100.44596293008836
8,18,100.44596293008836
8,19,100.44596293008836
8,20,100.44596293008836
8,21,100.44596293008836
8,22,100.44596293008836
8,23,100.44596293008836
9,0,101.89999965474375
9,1,101.89999965474375
9,2,101.89999965474375
9,3,101.89999965474375
9,4,101.89999965474375
9,5,101.89999965474375
9,6,101.89999965474375
9,7,101.89999965474375
9,8,101.89999965474375
9,9,101.89999965474375
9,10,101.89999965474375
9,11,101.89999965474375
9,12,101.89999965474375
9,13,101.89999965474375
9,14,101.89999965474375
9,15,101.89999965474375
9,16,101.89999965474375
9,17,101.89999965474375
9,18,101.89999965474375
9,19,101.89999965474375
9,20,101.89999965474375
9,21,101.89999965474375
9,22,101.89999965474375
9,23,101.89999965474375
10,0,98.92081644143344
10,1,98.92081644143344
10,2,98.92081644143344
10,3,98.92081644143344
10,4,98.92081644143344
10,5,98.92081644143344
10,6,98.92081644143344
10,7,98.92081644143344
10,8,98.92081644143344
10,9,98.92081644143344
10,10,98.92081644143344
10,11,98.92081644143344
10,12,98.92081644143344
10,13,98.92081644143344
10,14,98.92081644143344
10,15,98.92081644143344
10,16,98.92081644143344
10,17,98.92081644143344
10,18,98.92081644143344
10,19,98.92081644143344
10,20,98.92081644143344
10,21,98.92081644143344
10,22,98.92081644143344
10,23,98.92081644143344
11,0,99.85696983046392
11,1,99.85696983046392
11,2,99.85696983046392
11,3,99.85696983046392
11,4,99.85696983046392
11,5,99.85696983046392
11,6,99.85696983046392
11,7,99.85696983046392
11,8,99.85696983046392
11,9,99.85696983046392
11,10,99.85696983046392
11,11,99.85696983046392
11,12,99.85696983046392
11,13,99.85696983046392
11,14,99.85696983046392
11,15,99.85696983046392
11,16,99.85696983046392
11,17,99.85696983046392
11,18,99.85696983046392
11,19,99.85696983046392
11,20,99.85696983046392
11,21,99.85696983046392
11,22,99.85696983046392
11,23,99.85696983046392
