Month,Hour,Cost
1,0,74.94831006890337
1,1,74.94831006890337
1,2,74.94831006890337
1,3,74.94831006890337
1,4,74.94831006890337
1,5,74.94831006890337
1,6,74.94831006890337
1,7,74.94831006890337
1,8,74.94831006890337
1,9,74.94831006890337
1,10,74.94831006890337
1,11,74.94831006890337
1,12,137.18380011534455
1,13,137.18380011534455
1,14,137.18380011534455
1,15,137.18380011534455
1,16,137.18380011534455
1,17,137.18380011534455
1,18,137.18380011534455
1,19,137.18380011534455
1,20,74.94831006890337
1,21,74.94831006890337
1,22,74.94831006890337
1,23,74.94831006890337
2,0,74.98108648183923
2,1,74.98108648183923
2,2,74.98108648183923
2,3,74.98108648183923
2,4,74.98108648183923
2,5,74.98108648183923
2,6,74.98108648183923
2,7,74.98108648183923
2,8,74.98108648183923
2,9,74.98108648183923
2,10,74.98108648183923
2,11,74.98108648183923
2,12,140.04867420946172
2,13,140.04867420946172
2,14,140.04867420946172
2,15,140.04867420946172
2,16,140.04867420946172
2,17,140.04867420946172
2,18,140.04867420946172
2,19,140.04867420946172
2,20,74.98108648183923
2,21,74.98108648183923
2,22,74.98108648183923
2,23,74.98108648183923
3,0,74.6815336678275
3,1,74.6815336678275
3,2,74.6815336678275
3,3,74.6815336678275
3,4,74.6815336678275
3,5,74.6815336678275
3,6,74.6815336678275
3,7,74.6815336678275
3,8,74.6815336678275
3,9,74.6815336678275
3,10,74.6815336678275
3,11,74.6815336678275
3,12,137.71485182406107
3,13,137.71485182406107
3,14,137.71485182406107
3,15,137.71485182406107
3,16,137.71485182406107
3,17,137.71485182406107
3,18,137.71485182406107
3,19,137.71485182406107
3,20,74.6815336678275
3,21,74.6815336678275
3,22,74.6815336678275
3,23,74.6815336678275
4,0,74.52230295691697
4,1,74.52230295691697
4,2,74.52230295691697
4,3,74.52230295691697
4,4,74.52230295691697
4,5,74.52230295691697
4,6,74.52230295691697
4,7,74.52230295691697
4,8,74.52230295691697
4,9,74.52230295691697
4,10,74.52230295691697
4,11,74.52230295691697
4,12,137.28364847825995
4,13,137.28364847825995
4,14,137.28364847825995
4,15,137.28364847825995
4,16,137.28364847825995
4,17,137.28364847825995
4,18,137.28364847825995
4,19,137.28364847825995
4,20,74.52230295691697
4,21,74.52230295691697
4,22,74.52230295691697
4,23,74.52230295691697
5,0,74.55110515647713
5,1,74.55110515647713
5,2,74.55110515647713
5,3,74.55110515647713
5,4,74.55110515647713
5,5,74.55110515647713
5,6,74.55110515647713
5,7,74.55110515647713
5,8,74.55110515647713
5,9,74.55110515647713
5,10,74.55110515647713
5,11,74.55110515647713
5,12,138.92118243431975
5,13,138.92118243431975
5,14,138.92118243431975
5,15,138.92118243431975
5,16,138.92118243431975
5,17,138.92118243431975
5,18,138.92118243431975
5,19,138.92118243431975
5,20,74.55110515647713
5,21,74.55110515647713
5,22,74.55110515647713
5,23,74.55110515647713
6,0,74.35527945120883
6,1,74.35527945120883
6,2,74.35527945120883
6,3,74.35527945120883
6,4,74.35527945120883
6,5,74.35527945120883
6,6,74.35527945120883
6,7,74.35527945120883
6,8,74.35527945120883
6,9,74.35527945120883
6,10,74.35527945120883
6,11,74.35527945120883
6,12,202.76114500447602
6,13,202.76114500447602
6,14,202.76114500447602
6,15,202.76114500447602
6,16,202.76114500447602
6,17,202.76114500447602
6,18,202.76114500447602
6,19,202.76114500447602
6,20,74.35527945120883
6,21,74.35527945120883
6,22,74.35527945120883
6,23,74.35527945120883
7,0,74.37654031378555
7,1,74.37654031378555
7,2,74.37654031378555
7,3,74.37654031378555
7,4,74.37654031378555
7,5,74.37654031378555
7,6,74.37654031378555
7,7,74.37654031378555
7,8,74.37654031378555
7,9,74.37654031378555
7,10,74.37654031378555
7,11,74.37654031378555
7,12,195.8601691370079
7,13,195.8601691370079
7,14,195.8601691370079
7,15,195.8601691370079
7,16,195.8601691370079
7,17,195.8601691370079
7,18,195.8601691370079
7,19,195.8601691370079
7,20,74.37654031378555
7,21,74.37654031378555
7,22,74.37654031378555
7,23,74.37654031378555
8,0,74.4696832348429
8,1,74.4696832348429
8,2,74.4696832348429
8,3,74.4696832348429
8,4,74.4696832348429
8,5,74.4696832348429
8,6,74.4696832348429
8,7,74.4696832348429
8,8,74.4696832348429
8,9,74.4696832348429
8,10,74.4696832348429
8,11,74.4696832348429
8,12,200.8319903556149
8,13,200.8319903556149
8,14,200.8319903556149
8,15,200.8319903556149
8,16,200.8319903556149
8,17,200.8319903556149
8,18,200.8319903556149
8,19,200.8319903556149
8,20,74.4696832348429
8,21,74.4696832348429
8,22,74.4696832348429
8,23,74.4696832348429
9,0,74.45583472445102
9,1,74.45583472445102
9,2,74.45583472445102
9,3,74.45583472445102
9,4,74.45583472445102
9,5,74.45583472445102
9,6,74.45583472445102
9,7,74.45583472445102
9,8,74.45583472445102
9,9,74.45583472445102
9,10,74.45583472445102
9,11,74.45583472445102
9,12,201.72517305533628
9,13,201.72517305533628
9,14,201.72517305533628
9,15,201.72517305533628
9,16,201.72517305533628
9,17,201.72517305533628
9,18,201.72517305533628
9,19,201.72517305533628
9,20,74.45583472445102
9,21,74.45583472445102
9,22,74.45583472445102
9,23,74.45583472445102
10,0,74.39376794274378
10,1,74.39376794274378
10,2,74.39376794274378
10,3,74.39376794274378
10,4,74.39376794274378
10,5,74.39376794274378
10,6,74.39376794274378
10,7,74.39376794274378
10,8,74.39376794274378
10,9,74.39376794274378
10,10,74.39376794274378
10,11,74.39376794274378
10,12,137.80295466070595
10,13,137.80295466070595
10,14,137.80295466070595
10,15,137.80295466070595
10,16,137.80295466070595
10,17,137.80295466070595
10,18,137.80295466070595
10,19,137.80295466070595
10,20,74.39376794274378
10,21,74.39376794274378
10,22,74.39376794274378
10,23,74.39376794274378
11,0,74.39055758172064
11,1,74.39055758172064
11,2,74.39055758172064
11,3,74.39055758172064
11,4,74.39055758172064
11,5,74.39055758172064
11,6,74.39055758172064
11,7,74.39055758172064
11,8,74.39055758172064
11,9,74.39055758172064
11,10,74.39055758172064
11,11,74.39055758172064
11,12,138.8912494816317
11,13,138.8912494816317
11,14,138.8912494816317
11,15,138.8912494816317
11,16,138.8912494816317
11,17,138.8912494816317
11,18,138.8912494816317
11,19,138.8912494816317
11,20,74.39055758172064
11,21,74.39055758172064
11,22,74.39055758172064
11,23,74.39055758172064
12,0,0.1456182795698924
12,1,0.1456182795698924
12,2,0.1456182795698924
12,3,0.1456182795698924
12,4,0.1456182795698924
12,5,0.1456182795698924
12,6,0.1456182795698924
12,7,0.1456182795698924
12,8,0.1456182795698924
12,9,0.1456182795698924
12,10,0.1456182795698924
12,11,0.1456182795698924
12,12,0.1456182795698924
12,13,0.1456182795698924
12,14,0.1456182795698924
12,15,0.1456182795698924
12,16,0.1456182795698924
12,17,0.1456182795698924
12,18,0.1456182795698924
12,19,0.1456182795698924
12,20,0.1456182795698924
12,21,0.1456182795698924
12,22,0.1456182795698924
12,23,0.1456182795698924
