Month,Hour,Cost
1,0,54.76293501211276
1,1,54.76293501211276
1,2,54.76293501211276
1,3,54.76293501211276
1,4,54.76293501211276
1,5,54.76293501211276
1,6,54.76293501211276
1,7,54.76293501211276
1,8,73.40777255280234
1,9,73.40777255280234
1,10,73.40777255280234
1,11,73.40777255280234
1,12,73.40777255280234
1,13,73.40777255280234
1,14,73.40777255280234
1,15,73.40777255280234
1,16,73.40777255280234
1,17,73.40777255280234
1,18,73.40777255280234
1,19,73.40777255280234
1,20,73.40777255280234
1,21,73.40777255280234
1,22,54.76293501211276
1,23,54.76293501211276
2,0,57.41492363506158
2,1,57.41492363506158
2,2,57.41492363506158
2,3,57.41492363506158
2,4,57.41492363506158
2,5,57.41492363506158
2,6,57.41492363506158
2,7,57.41492363506158
2,8,75.08617333151612
2,9,75.08617333151612
2,10,75.08617333151612
2,11,75.08617333151612
2,12,75.08617333151612
2,13,75.08617333151612
2,14,75.08617333151612
2,15,75.08617333151612
2,16,75.08617333151612
2,17,75.08617333151612
2,18,75.08617333151612
2,19,75.08617333151612
2,20,75.08617333151612
2,21,75.08617333151612
2,22,57.41492363506158
2,23,57.41492363506158
3,0,54.80310790256519
3,1,54.80310790256519
3,2,54.80310790256519
3,3,54.80310790256519
3,4,54.80310790256519
3,5,54.80310790256519
3,6,54.80310790256519
3,7,54.80310790256519
3,8,73.25615635010287
3,9,73.25615635010287
3,10,73.25615635010287
3,11,73.25615635010287
3,12,73.25615635010287
3,13,73.25615635010287
3,14,73.25615635010287
3,15,73.25615635010287
3,16,73.25615635010287
3,17,73.25615635010287
3,18,73.25615635010287
3,19,73.25615635010287
3,20,73.25615635010287
3,21,73.25615635010287
3,22,54.80310790256519
3,23,54.80310790256519
4,0,56.15849103046626
4,1,56.15849103046626
4,2,56.15849103046626
4,3,56.15849103046626
4,4,56.15849103046626
4,5,56.15849103046626
4,6,56.15849103046626
4,7,56.15849103046626
4,8,76.06873100225324
4,9,76.06873100225324
4,10,76.06873100225324
4,11,76.06873100225324
4,12,76.06873100225324
4,13,76.06873100225324
4,14,76.06873100225324
4,15,76.06873100225324
4,16,76.06873100225324
4,17,76.06873100225324
4,18,76.06873100225324
4,19,76.06873100225324
4,20,76.06873100225324
4,21,76.06873100225324
4,22,56.15849103046626
4,23,56.15849103046626
5,0,52.19994861404322
5,1,52.19994861404322
5,2,52.19994861404322
5,3,52.19994861404322
5,4,52.19994861404322
5,5,52.19994861404322
5,6,52.19994861404322
5,7,52.19994861404322
5,8,73.8124783511918
5,9,73.8124783511918
5,10,73.8124783511918
5,11,73.8124783511918
5,12,73.8124783511918
5,13,73.8124783511918
5,14,73.8124783511918
5,15,73.8124783511918
5,16,73.8124783511918
5,17,73.8124783511918
5,18,73.8124783511918
5,19,73.8124783511918
5,20,73.8124783511918
5,21,73.8124783511918
5,22,52.19994861404322
5,23,52.19994861404322
6,0,47.03006668033715
6,1,47.03006668033715
6,2,47.03006668033715
6,3,47.03006668033715
6,4,47.03006668033715
6,5,47.03006668033715
6,6,47.03006668033715
6,7,47.03006668033715
6,8,83.81851899027198
6,9,83.81851899027198
6,10,83.81851899027198
6,11,83.81851899027198
6,12,83.81851899027198
6,13,161.53048394156127
6,14,161.53048394156127
6,15,161.53048394156127
6,16,161.53048394156127
6,17,161.53048394156127
6,18,83.81851899027198
6,19,83.81851899027198
6,20,83.81851899027198
6,21,83.81851899027198
6,22,47.03006668033715
6,23,47.03006668033715
7,0,46.95895460794307
7,1,46.95895460794307
7,2,46.95895460794307
7,3,46.95895460794307
7,4,46.95895460794307
7,5,46.95895460794307
7,6,46.95895460794307
7,7,46.95895460794307
7,8,81.35853926566472
7,9,81.35853926566472
7,10,81.35853926566472
7,11,81.35853926566472
7,12,81.35853926566472
7,13,151.57114016620793
7,14,151.57114016620793
7,15,151.57114016620793
7,16,151.57114016620793
7,17,151.57114016620793
7,18,81.35853926566472
7,19,81.35853926566472
7,20,81.35853926566472
7,21,81.35853926566472
7,22,46.95895460794307
7,23,46.95895460794307
8,0,47.86358912307941
8,1,47.86358912307941
8,2,47.86358912307941
8,3,47.86358912307941
8,4,47.86358912307941
8,5,47.86358912307941
8,6,47.86358912307941
8,7,47.86358912307941
8,8,80.3617481940801
8,9,80.3617481940801
8,10,80.3617481940801
8,11,80.3617481940801
8,12,80.3617481940801
8,13,152.54638251396986
8,14,152.54638251396986
8,15,152.54638251396986
8,16,152.54638251396986
8,17,152.54638251396986
8,18,80.3617481940801
8,19,80.3617481940801
8,20,80.3617481940801
8,21,80.3617481940801
8,22,47.86358912307941
8,23,47.86358912307941
9,0,48.52372923210307
9,1,48.52372923210307
9,2,48.52372923210307
9,3,48.52372923210307
9,4,48.52372923210307
9,5,48.52372923210307
9,6,48.52372923210307
9,7,48.52372923210307
9,8,83.74954613020857
9,9,83.74954613020857
9,10,83.74954613020857
9,11,83.74954613020857
9,12,83.74954613020857
9,13,155.46505945153734
9,14,155.46505945153734
9,15,155.46505945153734
9,16,155.46505945153734
9,17,155.46505945153734
9,18,83.74954613020857
9,19,83.74954613020857
9,20,83.74954613020857
9,21,83.74954613020857
9,22,48.52372923210307
9,23,48.52372923210307
10,0,53.90578781533803
10,1,53.90578781533803
10,2,53.90578781533803
10,3,53.90578781533803
10,4,53.90578781533803
10,5,53.90578781533803
10,6,53.90578781533803
10,7,53.90578781533803
10,8,74.49524475410223
10,9,74.49524475410223
10,10,74.49524475410223
10,11,74.49524475410223
10,12,74.49524475410223
10,13,74.49524475410223
10,14,74.49524475410223
10,15,74.49524475410223
10,16,74.49524475410223
10,17,74.49524475410223
10,18,74.49524475410223
10,19,74.49524475410223
10,20,74.49524475410223
10,21,74.49524475410223
10,22,53.90578781533803
10,23,53.90578781533803
11,0,55.46010181142034
11,1,55.46010181142034
11,2,55.46010181142034
11,3,55.46010181142034
11,4,55.46010181142034
11,5,55.46010181142034
11,6,55.46010181142034
11,7,55.46010181142034
11,8,76.33025864162722
11,9,76.33025864162722
11,10,76.33025864162722
11,11,76.33025864162722
11,12,76.33025864162722
11,13,76.33025864162722
11,14,76.33025864162722
11,15,76.33025864162722
11,16,76.33025864162722
11,17,76.33025864162722
11,18,76.33025864162722
11,19,76.33025864162722
11,20,76.33025864162722
11,21,76.33025864162722
11,22,55.46010181142034
11,23,55.46010181142034
12,0,0.9043817204301076
12,1,0.9043817204301076
12,2,0.9043817204301076
12,3,0.9043817204301076
12,4,0.9043817204301076
12,5,0.9043817204301076
12,6,0.9043817204301076
12,7,0.9043817204301076
12,8,0.9043817204301076
12,9,0.9043817204301076
12,10,0.9043817204301076
12,11,0.9043817204301076
12,12,0.9043817204301076
12,13,0.9043817204301076
12,14,0.9043817204301076
12,15,0.9043817204301076
12,16,0.9043817204301076
12,17,0.9043817204301076
12,18,0.9043817204301076
12,19,0.9043817204301076
12,20,0.9043817204301076
12,21,0.9043817204301076
12,22,0.9043817204301076
12,23,0.9043817204301076
