Month,Hour,Cost
1,0,103.28431624410698
1,1,103.28431624410698
1,2,103.28431624410698
1,3,103.28431624410698
1,4,103.28431624410698
1,5,103.28431624410698
1,6,103.28431624410698
1,7,103.28431624410698
1,8,143.97375346920296
1,9,143.97375346920296
1,10,143.97375346920296
1,11,143.97375346920296
1,12,143.97375346920296
1,13,143.97375346920296
1,14,143.97375346920296
1,15,143.97375346920296
1,16,143.97375346920296
1,17,143.97375346920296
1,18,143.97375346920296
1,19,143.97375346920296
1,20,143.97375346920296
1,21,103.28431624410698
1,22,103.28431624410698
1,23,103.28431624410698
2,0,106.83363945034796
2,1,106.83363945034796
2,2,106.83363945034796
2,3,106.83363945034796
2,4,106.83363945034796
2,5,106.83363945034796
2,6,106.83363945034796
2,7,106.83363945034796
2,8,148.46572145374503
2,9,148.46572145374503
2,10,148.46572145374503
2,11,148.46572145374503
2,12,148.46572145374503
2,13,148.46572145374503
2,14,148.46572145374503
2,15,148.46572145374503
2,16,148.46572145374503
2,17,148.46572145374503
2,18,148.46572145374503
2,19,148.46572145374503
2,20,148.46572145374503
2,21,106.83363945034796
2,22,106.83363945034796
2,23,106.83363945034796
3,0,101.70890365096044
3,1,101.70890365096044
3,2,101.70890365096044
3,3,101.70890365096044
3,4,101.70890365096044
3,5,101.70890365096044
3,6,101.70890365096044
3,7,101.70890365096044
3,8,145.81424399074413
3,9,145.81424399074413
3,10,145.81424399074413
3,11,145.81424399074413
3,12,145.81424399074413
3,13,145.81424399074413
3,14,145.81424399074413
3,15,145.81424399074413
3,16,145.81424399074413
3,17,145.81424399074413
3,18,145.81424399074413
3,19,145.81424399074413
3,20,145.81424399074413
3,21,101.70890365096044
3,22,101.70890365096044
3,23,101.70890365096044
4,0,105.157135952645
4,1,105.157135952645
4,2,105.157135952645
4,3,105.157135952645
4,4,105.157135952645
4,5,105.157135952645
4,6,105.157135952645
4,7,105.157135952645
4,8,148.67418824445497
4,9,148.67418824445497
4,10,148.67418824445497
4,11,148.67418824445497
4,12,148.67418824445497
4,13,148.67418824445497
4,14,148.67418824445497
4,15,148.67418824445497
4,16,148.67418824445497
4,17,148.67418824445497
4,18,148.67418824445497
4,19,148.67418824445497
4,20,148.67418824445497
4,21,105.157135952645
4,22,105.157135952645
4,23,105.157135952645
5,0,94.92804119455168
5,1,94.92804119455168
5,2,94.92804119455168
5,3,94.92804119455168
5,4,94.92804119455168
5,5,94.92804119455168
5,6,94.92804119455168
5,7,94.92804119455168
5,8,182.8056913141159
5,9,182.8056913141159
5,10,182.8056913141159
5,11,182.8056913141159
5,12,349.6398006296792
5,13,349.6398006296792
5,14,349.6398006296792
5,15,349.6398006296792
5,16,349.6398006296792
5,17,349.6398006296792
