Month,Hour,Cost
1,0,60.219677567661
1,1,60.219677567661
1,2,60.219677567661
1,3,60.219677567661
1,4,60.219677567661
1,5,60.219677567661
1,6,210.72243051883012
1,7,210.72243051883012
1,8,210.72243051883012
1,9,210.72243051883012
1,10,210.72243051883012
1,11,210.72243051883012
1,12,210.72243051883012
1,13,60.219677567661
1,14,60.219677567661
1,15,60.219677567661
1,16,210.72243051883012
1,17,210.72243051883012
1,18,210.72243051883012
1,19,210.72243051883012
1,20,210.72243051883012
1,21,60.219677567661
1,22,60.219677567661
1,23,60.219677567661
2,0,59.714531109702456
2,1,59.714531109702456
2,2,59.714531109702456
2,3,59.714531109702456
2,4,59.714531109702456
2,5,59.714531109702456
2,6,208.745115658541
2,7,208.745115658541
2,8,208.745115658541
2,9,208.745115658541
2,10,208.745115658541
2,11,208.745115658541
2,12,208.745115658541
2,13,59.714531109702456
2,14,59.714531109702456
2,15,59.714531109702456
2,16,208.745115658541
2,17,208.745115658541
2,18,208.745115658541
2,19,208.745115658541
2,20,208.745115658541
2,21,59.714531109702456
2,22,59.714531109702456
2,23,59.714531109702456
3,0,59.72813177624299
3,1,59.72813177624299
3,2,59.72813177624299
3,3,59.72813177624299
3,4,59.72813177624299
3,5,59.72813177624299
3,6,207.98150768979775
3,7,207.98150768979775
3,8,207.98150768979775
3,9,207.98150768979775
3,10,207.98150768979775
3,11,207.98150768979775
3,12,207.98150768979775
3,13,59.72813177624299
3,14,59.72813177624299
3,15,59.72813177624299
3,16,207.98150768979775
3,17,207.98150768979775
3,18,207.98150768979775
3,19,207.98150768979775
3,20,207.98150768979775
3,21,59.72813177624299
3,22,59.72813177624299
3,23,59.72813177624299
4,0,60.121481380436414
4,1,60.121481380436414
4,2,60.121481380436414
4,3,60.121481380436414
4,4,60.121481380436414
4,5,60.121481380436414
4,6,60.121481380436414
4,7,60.121481380436414
4,8,60.121481380436414
4,9,60.121481380436414
4,10,208.60878048807996
4,11,208.60878048807996
4,12,208.60878048807996
4,13,208.60878048807996
4,14,208.60878048807996
4,15,208.60878048807996
4,16,208.60878048807996
4,17,208.60878048807996
4,18,208.60878048807996
4,19,208.60878048807996
4,20,208.60878048807996
4,21,60.121481380436414
4,22,60.121481380436414
4,23,60.121481380436414
5,0,60.639814898753954
5,1,60.639814898753954
5,2,60.639814898753954
5,3,60.639814898753954
5,4,60.639814898753954
5,5,60.639814898753954
5,6,60.639814898753954
5,7,60.639814898753954
5,8,60.639814898753954
5,9,60.639814898753954
5,10,212.37234981454333
5,11,212.37234981454333
5,12,212.37234981454333
5,13,212.37234981454333
5,14,212.37234981454333
5,15,212.37234981454333
5,16,212.37234981454333
5,17,212.37234981454333
5,18,212.37234981454333
5,19,212.37234981454333
5,20,212.37234981454333
5,21,60.639814898753954
5,22,60.639814898753954
5,23,60.639814898753954
6,0,59.85159502839544
6,1,59.85159502839544
6,2,59.85159502839544
6,3,59.85159502839544
6,4,59.85159502839544
