Month,Hour,Cost
1,0,151.8757643345837
1,1,151.8757643345837
1,2,151.8757643345837
1,3,151.8757643345837
1,4,151.8757643345837
1,5,151.8757643345837
1,6,151.8757643345837
1,7,151.8757643345837
1,8,151.8757643345837
1,9,151.8757643345837
1,10,151.8757643345837
1,11,151.8757643345837
1,12,151.8757643345837
1,13,151.8757643345837
1,14,151.8757643345837
1,15,151.8757643345837
1,16,151.8757643345837
1,17,151.8757643345837
1,18,151.8757643345837
1,19,151.8757643345837
1,20,151.8757643345837
1,21,151.8757643345837
1,22,151.8757643345837
1,23,151.8757643345837
2,0,155.62723821858916
2,1,155.62723821858916
2,2,155.62723821858916
2,3,155.62723821858916
2,4,155.62723821858916
2,5,155.62723821858916
2,6,155.62723821858916
2,7,155.62723821858916
2,8,155.62723821858916
2,9,155.62723821858916
2,10,155.62723821858916
2,11,155.62723821858916
2,12,155.62723821858916
2,13,155.62723821858916
2,14,155.62723821858916
2,15,155.62723821858916
2,16,155.62723821858916
2,17,155.62723821858916
2,18,155.62723821858916
2,19,155.62723821858916
2,20,155.62723821858916
2,21,155.62723821858916
2,22,155.62723821858916
2,23,155.62723821858916
3,0,151.7518674478592
3,1,151.7518674478592
3,2,151.7518674478592
3,3,151.7518674478592
3,4,151.7518674478592
3,5,151.7518674478592
3,6,151.7518674478592
3,7,151.7518674478592
3,8,151.7518674478592
3,9,151.7518674478592
3,10,151.7518674478592
3,11,151.7518674478592
3,12,151.7518674478592
3,13,151.7518674478592
3,14,151.7518674478592
3,15,151.7518674478592
3,16,151.7518674478592
3,17,151.7518674478592
3,18,151.7518674478592
3,19,151.7518674478592
3,20,151.7518674478592
3,21,151.7518674478592
3,22,151.7518674478592
3,23,151.7518674478592
4,0,155.73092434291897
4,1,155.73092434291897
4,2,155.73092434291897
4,3,155.73092434291897
4,4,155.73092434291897
4,5,155.73092434291897
4,6,155.73092434291897
4,7,155.73092434291897
4,8,155.73092434291897
4,9,155.73092434291897
4,10,155.73092434291897
4,11,155.73092434291897
4,12,155.73092434291897
4,13,155.73092434291897
4,14,155.73092434291897
4,15,155.73092434291897
4,16,155.73092434291897
4,17,155.73092434291897
4,18,155.73092434291897
4,19,155.73092434291897
4,20,155.73092434291897
4,21,155.73092434291897
4,22,155.73092434291897
4,23,155.73092434291897
5,0,150.1759817940291
5,1,150.1759817940291
5,2,150.1759817940291
5,3,150.1759817940291
5,4,150.1759817940291
5,5,150.1759817940291
5,6,150.1759817940291
5,7,150.1759817940291
5,8,150.1759817940291
5,9,150.1759817940291
5,10,150.1759817940291
5,11,150.1759817940291
5,12,150.1759817940291
5,13,150.1759817940291
5,14,150.1759817940291
5,15,150.1759817940291
5,16,150.1759817940291
5,17,150.1759817940291
5,18,150.1759817940291
5,19,150.1759817940291
5,20,150.1759817940291
5,21,150.1759817940291
5,22,150.1759817940291
5,23,150.1759817940291
6,0,149.33632900085618
6,1,149.33632900085618
6,2,149.33632900085618
6,3,149.33632900085618
6,4,149.33632900085618
6,5,149.33632900085618
6,6,149.33632900085618
6,7,149.33632900085618
6,8,149.33632900085618
6,9,149.33632900085618
6,10,149.33632900085618
6,11,149.33632900085618
6,12,149.33632900085618
6,13,149.33632900085618
6,14,149.33632900085618
6,15,149.33632900085618
6,16,149.33632900085618
6,17,149.33632900085618
6,18,149.33632900085618
6,19,149.33632900085618
6,20,149.33632900085618
6,21,149.33632900085618
6,22,149.33632900085618
6,23,149.33632900085618
7,0,146.98053095398964
7,1,146.98053095398964
7,2,146.98053095398964
