Month,Hour,Cost
1,0,163.46612736394644
1,1,163.46612736394644
1,2,163.46612736394644
1,3,163.46612736394644
1,4,163.46612736394644
1,5,163.46612736394644
1,6,186.8760443048069
1,7,186.8760443048069
1,8,163.46612736394644
1,9,163.46612736394644
1,10,163.46612736394644
1,11,163.46612736394644
1,12,163.46612736394644
1,13,163.46612736394644
1,14,163.46612736394644
1,15,163.46612736394644
1,16,186.8760443048069
1,17,231.6147765462601
1,18,231.6147765462601
1,19,196.590071873686
1,20,196.590071873686
1,21,186.8760443048069
1,22,186.8760443048069
1,23,163.46612736394644
2,0,168.07860201022777
2,1,151.47883730701582
2,2,151.47883730701582
2,3,151.47883730701582
2,4,151.47883730701582
2,5,168.07860201022777
2,6,190.5421372950841
2,7,190.5421372950841
2,8,168.07860201022777
2,9,151.47883730701582
2,10,151.47883730701582
2,11,151.47883730701582
2,12,151.47883730701582
2,13,151.47883730701582
2,14,151.47883730701582
2,15,168.07860201022777
2,16,168.07860201022777
2,17,213.90322476895204
2,18,213.90322476895204
2,19,213.90322476895204
2,20,190.5421372950841
2,21,190.5421372950841
2,22,168.07860201022777
2,23,168.07860201022777
3,0,134.95508221914164
3,1,134.95508221914164
3,2,152.33252139176213
3,3,134.95508221914164
3,4,134.95508221914164
3,5,173.6117011072233
3,6,187.08088537255895
3,7,173.6117011072233
3,8,134.95508221914164
3,9,152.33252139176213
3,10,159.05501114034712
3,11,159.05501114034712
3,12,159.05501114034712
3,13,159.05501114034712
3,14,152.33252139176213
3,15,152.33252139176213
3,16,134.95508221914164
3,17,187.08088537255895
3,18,215.45969434415937
3,19,215.45969434415937
3,20,187.08088537255895
3,21,187.08088537255895
3,22,173.6117011072233
3,23,134.95508221914164
4,0,149.72711056362152
4,1,125.2832989362811
4,2,125.2832989362811
4,3,125.2832989362811
4,4,149.72711056362152
4,5,143.5189880081165
4,6,197.82310192828885
4,7,197.82310192828885
4,8,149.72711056362152
4,9,125.2832989362811
4,10,163.28389439424583
4,11,163.28389439424583
4,12,163.28389439424583
4,13,163.28389439424583
4,14,163.28389439424583
4,15,163.28389439424583
4,16,125.2832989362811
4,17,149.72711056362152
4,18,197.82310192828885
4,19,215.3211360086328
4,20,187.32163607971304
4,21,197.82310192828885
4,22,143.5189880081165
4,23,149.72711056362152
5,0,123.53747606809154
5,1,123.53747606809154
5,2,123.53747606809154
5,3,123.53747606809154
5,4,123.53747606809154
5,5,156.89880761456817
5,6,198.6285662506902
5,7,156.89880761456817
5,8,182.42381559248477
5,9,182.42381559248477
5,10,182.42381559248477
5,11,182.42381559248477
5,12,182.42381559248477
5,13,182.42381559248477
5,14,182.42381559248477
5,15,182.42381559248477
5,16,123.53747606809154
5,17,123.53747606809154
5,18,198.6285662506902
5,19,231.69613341961391
5,20,196.60738096729543
5,21,167.36961527991656
5,22,156.89880761456817
5,23,156.89880761456817
6,0,156.19948374991964
6,1,156.19948374991964
6,2,156.19948374991964
6,3,156.19948374991964
6,4,156.19948374991964
6,5,166.7489725572423
6,6,166.7489725572423
6,7,156.19948374991964
6,8,156.19948374991964
6,9,156.19948374991964
6,10,156.19948374991964
6,11,180.92250208758887
6,12,156.19948374991964
6,13,156.19948374991964
6,14,156.19948374991964
6,15,156.19948374991964
6,16,166.7489725572423
6,17,166.7489725572423
6,18,228.3580306321204
6,19,212.74550037272607
6,20,212.74550037272607
6,21,159.84804617370705
6,22,166.7489725572423
6,23,166.7489725572423
7,0,152.00704168717374
7,1,152.00704168717374
7,2,152.00704168717374
7,3,150.75089886349403
7,4,152.00704168717374
7,5,152.00704168717374
