Month,Hour,Cost
1,0,83.53271612222724
1,1,83.53271612222724
1,2,83.53271612222724
1,3,83.53271612222724
1,4,83.53271612222724
1,5,83.53271612222724
1,6,83.53271612222724
1,7,83.53271612222724
1,8,83.53271612222724
1,9,83.53271612222724
1,10,83.53271612222724
1,11,83.53271612222724
1,12,83.53271612222724
1,13,83.53271612222724
1,14,83.53271612222724
1,15,83.53271612222724
1,16,83.53271612222724
1,17,83.53271612222724
1,18,83.53271612222724
1,19,83.53271612222724
1,20,83.53271612222724
1,21,83.53271612222724
1,22,83.53271612222724
1,23,83.53271612222724
2,0,86.49175559158834
2,1,86.49175559158834
2,2,86.49175559158834
2,3,86.49175559158834
2,4,86.49175559158834
2,5,86.49175559158834
2,6,86.49175559158834
2,7,86.49175559158834
2,8,86.49175559158834
2,9,86.49175559158834
2,10,86.49175559158834
2,11,86.49175559158834
2,12,86.49175559158834
2,13,86.49175559158834
2,14,86.49175559158834
2,15,86.49175559158834
2,16,86.49175559158834
2,17,86.49175559158834
2,18,86.49175559158834
2,19,86.49175559158834
2,20,86.49175559158834
2,21,86.49175559158834
2,22,86.49175559158834
2,23,86.49175559158834
3,0,83.4891648941291
3,1,83.4891648941291
3,2,83.4891648941291
3,3,83.4891648941291
3,4,83.4891648941291
3,5,83.4891648941291
3,6,83.4891648941291
3,7,83.4891648941291
3,8,83.4891648941291
3,9,83.4891648941291
3,10,83.4891648941291
3,11,83.4891648941291
3,12,83.4891648941291
3,13,83.4891648941291
3,14,83.4891648941291
3,15,83.4891648941291
3,16,83.4891648941291
3,17,83.4891648941291
3,18,83.4891648941291
3,19,83.4891648941291
3,20,83.4891648941291
3,21,83.4891648941291
3,22,83.4891648941291
3,23,83.4891648941291
4,0,86.14015758599139
4,1,86.14015758599139
4,2,86.14015758599139
4,3,86.14015758599139
4,4,86.14015758599139
4,5,86.14015758599139
4,6,86.14015758599139
4,7,86.14015758599139
4,8,86.14015758599139
4,9,86.14015758599139
4,10,86.14015758599139
4,11,86.14015758599139
4,12,86.14015758599139
4,13,86.14015758599139
4,14,86.14015758599139
4,15,86.14015758599139
4,16,86.14015758599139
4,17,86.14015758599139
4,18,86.14015758599139
4,19,86.14015758599139
4,20,86.14015758599139
4,21,86.14015758599139
4,22,86.14015758599139
4,23,86.14015758599139
5,0,83.8282439160257
5,1,83.8282439160257
5,2,83.8282439160257
5,3,83.8282439160257
5,4,83.8282439160257
5,5,83.8282439160257
5,6,83.8282439160257
5,7,83.8282439160257
5,8,83.8282439160257
5,9,83.8282439160257
5,10,83.8282439160257
5,11,83.8282439160257
5,12,83.8282439160257
5,13,83.8282439160257
5,14,83.8282439160257
5,15,83.8282439160257
5,16,83.8282439160257
5,17,83.8282439160257
5,18,83.8282439160257
5,19,83.8282439160257
5,20,83.8282439160257
5,21,83.8282439160257
5,22,83.8282439160257
5,23,83.8282439160257
6,0,85.80942607066915
6,1,85.80942607066915
6,2,85.80942607066915
6,3,85.80942607066915
6,4,85.80942607066915
6,5,85.80942607066915
6,6,85.80942607066915
6,7,85.80942607066915
6,8,85.80942607066915
6,9,85.80942607066915
6,10,85.80942607066915
6,11,85.80942607066915
6,12,85.80942607066915
6,13,85.80942607066915
6,14,85.80942607066915
6,15,85.80942607066915
6,16,85.80942607066915
6,17,85.80942607066915
6,18,85.80942607066915
6,19,85.80942607066915
6,20,85.80942607066915
6,21,85.80942607066915
6,22,85.80942607066915
6,23,85.80942607066915
7,0,84.65180885372962
7,1,84.65180885372962
7,2,84.65180885372962
7,3,84.65180885372962
7,4,84.65180885372962
7,5,84.65180885372962
7,6,84.65180885372962
7,7,84.65180885372962
7,8,84.65180885372962
7,9,84.65180885372962
7,10,84.65180885372962
7,11,84.65180885372962
7,12,84.65180885372962
7,13,84.65180885372962
