Month,Hour,Cost
1,0,101.1064516129033
1,1,101.1064516129033
1,2,101.1064516129033
1,3,101.1064516129033
1,4,101.1064516129033
1,5,101.1064516129033
1,6,101.1064516129033
1,7,101.1064516129033
1,8,101.1064516129033
1,9,101.1064516129033
1,10,101.1064516129033
1,11,101.1064516129033
1,12,101.1064516129033
1,13,101.1064516129033
1,14,101.1064516129033
1,15,101.1064516129033
1,16,101.1064516129033
1,17,101.1064516129033
1,18,101.1064516129033
1,19,101.1064516129033
1,20,101.1064516129033
1,21,101.1064516129033
1,22,101.1064516129033
1,23,101.1064516129033
2,0,101.1125
2,1,101.1125
2,2,101.1125
2,3,101.1125
2,4,101.1125
2,5,101.1125
2,6,101.1125
2,7,101.1125
2,8,101.1125
2,9,101.1125
2,10,101.1125
2,11,101.1125
2,12,101.1125
2,13,101.1125
2,14,101.1125
2,15,101.1125
2,16,101.1125
2,17,101.1125
2,18,101.1125
2,19,101.1125
2,20,101.1125
2,21,101.1125
2,22,101.1125
2,23,101.1125
3,0,101.10645161290344
3,1,101.10645161290344
3,2,101.10645161290344
3,3,101.10645161290344
3,4,101.10645161290344
3,5,101.10645161290344
3,6,101.10645161290344
3,7,101.10645161290344
3,8,101.10645161290344
3,9,101.10645161290344
3,10,101.10645161290344
3,11,101.10645161290344
3,12,101.10645161290344
3,13,101.10645161290344
3,14,101.10645161290344
3,15,101.10645161290344
3,16,101.10645161290344
3,17,101.10645161290344
3,18,101.10645161290344
3,19,101.10645161290344
3,20,101.10645161290344
3,21,101.10645161290344
3,22,101.10645161290344
3,23,101.10645161290344
4,0,101.1083333333334
4,1,101.1083333333334
4,2,101.1083333333334
4,3,101.1083333333334
4,4,101.1083333333334
4,5,101.1083333333334
4,6,101.1083333333334
4,7,101.1083333333334
4,8,101.1083333333334
4,9,101.1083333333334
4,10,101.1083333333334
4,11,101.1083333333334
4,12,101.1083333333334
4,13,101.1083333333334
4,14,101.1083333333334
4,15,101.1083333333334
4,16,101.1083333333334
4,17,101.1083333333334
4,18,101.1083333333334
4,19,101.1083333333334
4,20,101.1083333333334
4,21,101.1083333333334
4,22,101.1083333333334
4,23,101.1083333333334
5,0,101.10645161290329
5,1,101.10645161290329
5,2,101.10645161290329
5,3,101.10645161290329
5,4,101.10645161290329
5,5,101.10645161290329
5,6,101.10645161290329
5,7,101.10645161290329
5,8,101.10645161290329
5,9,101.10645161290329
5,10,101.10645161290329
5,11,101.10645161290329
5,12,101.10645161290329
5,13,101.10645161290329
5,14,101.10645161290329
5,15,101.10645161290329
5,16,101.10645161290329
5,17,101.10645161290329
5,18,101.10645161290329
5,19,101.10645161290329
5,20,101.10645161290329
5,21,101.10645161290329
5,22,101.10645161290329
5,23,101.10645161290329
6,0,101.10833333333332
6,1,101.10833333333332
6,2,101.10833333333332
6,3,101.10833333333332
6,4,101.10833333333332
6,5,101.10833333333332
6,6,101.10833333333332
6,7,101.10833333333332
6,8,101.10833333333332
6,9,101.10833333333332
6,10,101.10833333333332
6,11,101.10833333333332
6,12,101.10833333333332
6,13,101.10833333333332
6,14,101.10833333333332
6,15,101.10833333333332
6,16,101.10833333333332
6,17,101.10833333333332
6,18,101.10833333333332
6,19,101.10833333333332
6,20,101.10833333333332
6,21,101.10833333333332
6,22,101.10833333333332
6,23,101.10833333333332
7,0,101.10645161290324
7,1,101.10645161290324
7,2,101.10645161290324
7,3,101.10645161290324
7,4,101.10645161290324
7,5,101.10645161290324
7,6,101.10645161290324
7,7,101.10645161290324
7,8,101.10645161290324
7,9,101.10645161290324
7,10,101.10645161290324
7,11,101.10645161290324
7,12,101.10645161290324
7,13,101.10645161290324
7,14,101.10645161290324
7,15,101.10645161290324
7,16,101.10645161290324
7,17,101.10645161290324
7,18,101.10645161290324
7,19,101.10645161290324
7,20,101.10645161290324
7,21,101.10645161290324
7,22,101.10645161290324
7,23,101.10645161290324
8,0,101.10645161290324
8,1,101.10645161290324
8,2,101.10645161290324
8,3,101.10645161290324
8,4,101.10645161290324
8,5,101.10645161290324
8,6,101.10645161290324
8,7,101.10645161290324
8,8,101.10645161290324
8,9,101.10645161290324
8,10,101.10645161290324
8,11,101.10645161290324
8,12,101.10645161290324
8,13,101.10645161290324
8,14,101.10645161290324
8,15,101.10645161290324
8,16,101.10645161290324
8,17,101.10645161290324
8,18,101.10645161290324
8,19,101.10645161290324
8,20,101.10645161290324
8,21,101.10645161290324
8,22,101.10645161290324
8,23,101.10645161290324
9,0,101.1083333333335
9,1,101.1083333333335
9,2,101.1083333333335
9,3,101.1083333333335
9,4,101.1083333333335
9,5,101.1083333333335
9,6,101.1083333333335
9,7,101.1083333333335
9,8,101.1083333333335
9,9,101.1083333333335
9,10,101.1083333333335
9,11,101.1083333333335
9,12,101.1083333333335
9,13,101.1083333333335
9,14,101.1083333333335
9,15,101.1083333333335
9,16,101.1083333333335
9,17,101.1083333333335
9,18,101.1083333333335
9,19,101.1083333333335
9,20,101.1083333333335
9,21,101.1083333333335
9,22,101.1083333333335
9,23,101.1083333333335
10,0,101.10645161290314
10,1,101.10645161290314
10,2,101.10645161290314
10,3,101.10645161290314
10,4,101.10645161290314
10,5,101.10645161290314
10,6,101.10645161290314
10,7,101.10645161290314
10,8,101.10645161290314
10,9,101.10645161290314
10,10,101.10645161290314
10,11,101.10645161290314
10,12,101.10645161290314
10,13,101.10645161290314
10,14,101.10645161290314
10,15,101.10645161290314
10,16,101.10645161290314
10,17,101.10645161290314
10,18,101.10645161290314
10,19,101.10645161290314
10,20,101.10645161290314
10,21,101.10645161290314
10,22,101.10645161290314
10,23,101.10645161290314
11,0,101.10833333333348
11,1,101.10833333333348
11,2,101.10833333333348
11,3,101.10833333333348
11,4,101.10833333333348
11,5,101.10833333333348
11,6,101.10833333333348
11,7,101.10833333333348
11,8,101.10833333333348
11,9,101.10833333333348
11,10,101.10833333333348
11,11,101.10833333333348
11,12,101.10833333333348
11,13,101.10833333333348
11,14,101.10833333333348
11,15,101.10833333333348
11,16,101.10833333333348
11,17,101.10833333333348
11,18,101.10833333333348
11,19,101.10833333333348
11,20,101.10833333333348
11,21,101.10833333333348
11,22,101.10833333333348
11,23,101.10833333333348
12,0,0.0564516129032258
12,1,0.0564516129032258
12,2,0.0564516129032258
12,3,0.0564516129032258
12,4,0.0564516129032258
12,5,0.0564516129032258
12,6,0.0564516129032258
12,7,0.0564516129032258
12,8,0.0564516129032258
12,9,0.0564516129032258
12,10,0.0564516129032258
12,11,0.0564516129032258
12,12,0.0564516129032258
12,13,0.0564516129032258
12,14,0.0564516129032258
12,15,0.0564516129032258
12,16,0.0564516129032258
12,17,0.0564516129032258
12,18,0.0564516129032258
12,19,0.0564516129032258
12,20,0.0564516129032258
12,21,0.0564516129032258
12,22,0.0564516129032258
12,23,0.0564516129032258
