Month,Hour,Cost
1,0,94.08395718011631
1,1,94.08395718011631
1,2,94.08395718011631
1,3,94.08395718011631
1,4,94.08395718011631
1,5,94.08395718011631
1,6,94.08395718011631
1,7,94.08395718011631
1,8,94.08395718011631
1,9,94.08395718011631
1,10,94.08395718011631
1,11,94.08395718011631
1,12,94.08395718011631
1,13,94.08395718011631
1,14,94.08395718011631
1,15,94.08395718011631
1,16,94.08395718011631
1,17,94.08395718011631
1,18,94.08395718011631
1,19,94.08395718011631
1,20,94.08395718011631
1,21,94.08395718011631
1,22,94.08395718011631
1,23,94.08395718011631
2,0,96.19318919377754
2,1,96.19318919377754
2,2,96.19318919377754
2,3,96.19318919377754
2,4,96.19318919377754
2,5,96.19318919377754
2,6,96.19318919377754
2,7,96.19318919377754
2,8,96.19318919377754
2,9,96.19318919377754
2,10,96.19318919377754
2,11,96.19318919377754
2,12,96.19318919377754
2,13,96.19318919377754
2,14,96.19318919377754
2,15,96.19318919377754
2,16,96.19318919377754
2,17,96.19318919377754
2,18,96.19318919377754
2,19,96.19318919377754
2,20,96.19318919377754
2,21,96.19318919377754
2,22,96.19318919377754
2,23,96.19318919377754
3,0,94.01490130591962
3,1,94.01490130591962
3,2,94.01490130591962
3,3,94.01490130591962
3,4,94.01490130591962
3,5,94.01490130591962
3,6,94.01490130591962
3,7,94.01490130591962
3,8,94.01490130591962
3,9,94.01490130591962
3,10,94.01490130591962
3,11,94.01490130591962
3,12,94.01490130591962
3,13,94.01490130591962
3,14,94.01490130591962
3,15,94.01490130591962
3,16,94.01490130591962
3,17,94.01490130591962
3,18,94.01490130591962
3,19,94.01490130591962
3,20,94.01490130591962
3,21,94.01490130591962
3,22,94.01490130591962
3,23,94.01490130591962
4,0,96.23838107602592
4,1,96.23838107602592
4,2,96.23838107602592
4,3,96.23838107602592
4,4,96.23838107602592
4,5,96.23838107602592
4,6,96.23838107602592
4,7,96.23838107602592
4,8,96.23838107602592
4,9,96.23838107602592
4,10,96.23838107602592
4,11,96.23838107602592
4,12,96.23838107602592
4,13,96.23838107602592
4,14,96.23838107602592
4,15,96.23838107602592
4,16,96.23838107602592
4,17,96.23838107602592
4,18,96.23838107602592
4,19,96.23838107602592
4,20,96.23838107602592
4,21,96.23838107602592
4,22,96.23838107602592
4,23,96.23838107602592
5,0,93.13655670553344
5,1,93.13655670553344
5,2,93.13655670553344
5,3,93.13655670553344
5,4,93.13655670553344
5,5,93.13655670553344
5,6,93.13655670553344
5,7,93.13655670553344
5,8,93.13655670553344
5,9,93.13655670553344
5,10,93.13655670553344
5,11,93.13655670553344
5,12,93.13655670553344
5,13,93.13655670553344
5,14,93.13655670553344
5,15,93.13655670553344
5,16,93.13655670553344
5,17,93.13655670553344
5,18,93.13655670553344
5,19,93.13655670553344
5,20,93.13655670553344
5,21,93.13655670553344
5,22,93.13655670553344
5,23,93.13655670553344
6,0,92.67425300829196
6,1,92.67425300829196
6,2,92.67425300829196
6,3,92.67425300829196
6,4,92.67425300829196
6,5,92.67425300829196
6,6,92.67425300829196
6,7,92.67425300829196
6,8,92.67425300829196
6,9,92.67425300829196
6,10,92.67425300829196
6,11,92.67425300829196
6,12,92.67425300829196
6,13,92.67425300829196
6,14,92.67425300829196
6,15,92.67425300829196
6,16,92.67425300829196
6,17,92.67425300829196
6,18,92.67425300829196
6,19,92.67425300829196
6,20,92.67425300829196
6,21,92.67425300829196
6,22,92.67425300829196
6,23,92.67425300829196
7,0,91.35552203190326
7,1,91.35552203190326
7,2,91.35552203190326
7,3,91.35552203190326
7,4,91.35552203190326
7,5,91.35552203190326
7,6,91.35552203190326
7,7,91.35552203190326
7,8,91.35552203190326
7,9,91.35552203190326
7,10,91.35552203190326
7,11,91.35552203190326
7,12,91.35552203190326
7,13,91.35552203190326
7,14,91.35552203190326
7,15,91.35552203190326
7,16,91.35552203190326
7,17,91.35552203190326
7,18,91.35552203190326
7,19,91.35552203190326
7,20,91.35552203190326
7,21,91.35552203190326
7,22,91.35552203190326
7,23,91.35552203190326
8,0,91.17317886644746
8,1,91.17317886644746
8,2,91.17317886644746
8,3,91.17317886644746
8,4,91.17317886644746
8,5,91.17317886644746
8,6,91.17317886644746
8,7,91.17317886644746
8,8,91.17317886644746
8,9,91.17317886644746
8,10,91.17317886644746
8,11,91.17317886644746
8,12,91.17317886644746
8,13,91.17317886644746
8,14,91.17317886644746
8,15,91.17317886644746
8,16,91.17317886644746
8,17,91.17317886644746
8,18,91.17317886644746
8,19,91.17317886644746
8,20,91.17317886644746
8,21,91.17317886644746
8,22,91.17317886644746
8,23,91.17317886644746
9,0,93.2888461350291
9,1,93.2888461350291
9,2,93.2888461350291
9,3,93.2888461350291
9,4,93.2888461350291
9,5,93.2888461350291
9,6,93.2888461350291
9,7,93.2888461350291
9,8,93.2888461350291
9,9,93.2888461350291
9,10,93.2888461350291
9,11,93.2888461350291
9,12,93.2888461350291
9,13,93.2888461350291
9,14,93.2888461350291
9,15,93.2888461350291
9,16,93.2888461350291
9,17,93.2888461350291
9,18,93.2888461350291
9,19,93.2888461350291
9,20,93.2888461350291
9,21,93.2888461350291
9,22,93.2888461350291
9,23,93.2888461350291
10,0,94.31703738104444
10,1,94.31703738104444
10,2,94.31703738104444
10,3,94.31703738104444
10,4,94.31703738104444
10,5,94.31703738104444
10,6,94.31703738104444
10,7,94.31703738104444
10,8,94.31703738104444
10,9,94.31703738104444
10,10,94.31703738104444
10,11,94.31703738104444
10,12,94.31703738104444
10,13,94.31703738104444
10,14,94.31703738104444
10,15,94.31703738104444
10,16,94.31703738104444
10,17,94.31703738104444
10,18,94.31703738104444
10,19,94.31703738104444
10,20,94.31703738104444
10,21,94.31703738104444
10,22,94.31703738104444
10,23,94.31703738104444
11,0,96.0675810335836
11,1,96.0675810335836
11,2,96.0675810335836
11,3,96.0675810335836
11,4,96.0675810335836
11,5,96.0675810335836
11,6,96.0675810335836
11,7,96.0675810335836
11,8,96.0675810335836
11,9,96.0675810335836
11,10,96.0675810335836
11,11,96.0675810335836
11,12,96.0675810335836
11,13,96.0675810335836
11,14,96.0675810335836
11,15,96.0675810335836
11,16,96.0675810335836
11,17,96.0675810335836
11,18,96.0675810335836
11,19,96.0675810335836
11,20,96.0675810335836
11,21,96.0675810335836
11,22,96.0675810335836
11,23,96.0675810335836
12,0,0.1706989247311827
12,1,0.1706989247311827
12,2,0.1706989247311827
12,3,0.1706989247311827
12,4,0.1706989247311827
12,5,0.1706989247311827
12,6,0.1706989247311827
12,7,0.1706989247311827
12,8,0.1706989247311827
12,9,0.1706989247311827
12,10,0.1706989247311827
12,11,0.1706989247311827
12,12,0.1706989247311827
12,13,0.1706989247311827
12,14,0.1706989247311827
12,15,0.1706989247311827
12,16,0.1706989247311827
12,17,0.1706989247311827
12,18,0.1706989247311827
12,19,0.1706989247311827
12,20,0.1706989247311827
12,21,0.1706989247311827
12,22,0.1706989247311827
12,23,0.1706989247311827
