Month,Hour,Cost
1,0,91.59101088052576
1,1,91.59101088052576
1,2,91.59101088052576
1,3,91.59101088052576
1,4,91.59101088052576
1,5,91.59101088052576
1,6,91.59101088052576
1,7,91.59101088052576
1,8,91.59101088052576
1,9,91.59101088052576
1,10,91.59101088052576
1,11,91.59101088052576
1,12,91.59101088052576
1,13,91.59101088052576
1,14,91.59101088052576
1,15,91.59101088052576
1,16,91.59101088052576
1,17,91.59101088052576
1,18,91.59101088052576
1,19,91.59101088052576
1,20,91.59101088052576
1,21,91.59101088052576
1,22,91.59101088052576
1,23,91.59101088052576
2,0,91.60133044798508
2,1,91.60133044798508
2,2,91.60133044798508
2,3,91.60133044798508
2,4,91.60133044798508
2,5,91.60133044798508
2,6,91.60133044798508
2,7,91.60133044798508
2,8,91.60133044798508
2,9,91.60133044798508
2,10,91.60133044798508
2,11,91.60133044798508
2,12,91.60133044798508
2,13,91.60133044798508
2,14,91.60133044798508
2,15,91.60133044798508
2,16,91.60133044798508
2,17,91.60133044798508
2,18,91.60133044798508
2,19,91.60133044798508
2,20,91.60133044798508
2,21,91.60133044798508
2,22,91.60133044798508
2,23,91.60133044798508
3,0,91.48016793530772
3,1,91.48016793530772
3,2,91.48016793530772
3,3,91.48016793530772
3,4,91.48016793530772
3,5,91.48016793530772
3,6,91.48016793530772
3,7,91.48016793530772
3,8,91.48016793530772
3,9,91.48016793530772
3,10,91.48016793530772
3,11,91.48016793530772
3,12,91.48016793530772
3,13,91.48016793530772
3,14,91.48016793530772
3,15,91.48016793530772
3,16,91.48016793530772
3,17,91.48016793530772
3,18,91.48016793530772
3,19,91.48016793530772
3,20,91.48016793530772
3,21,91.48016793530772
3,22,91.48016793530772
3,23,91.48016793530772
4,0,91.55651906750244
4,1,91.55651906750244
4,2,91.55651906750244
4,3,91.55651906750244
4,4,91.55651906750244
4,5,91.55651906750244
4,6,91.55651906750244
4,7,91.55651906750244
4,8,91.55651906750244
4,9,91.55651906750244
4,10,91.55651906750244
4,11,91.55651906750244
4,12,91.55651906750244
4,13,91.55651906750244
4,14,91.55651906750244
4,15,91.55651906750244
4,16,91.55651906750244
4,17,91.55651906750244
4,18,91.55651906750244
4,19,91.55651906750244
4,20,91.55651906750244
4,21,91.55651906750244
4,22,91.55651906750244
4,23,91.55651906750244
5,0,91.5293936971479
5,1,91.5293936971479
5,2,91.5293936971479
5,3,91.5293936971479
5,4,91.5293936971479
5,5,91.5293936971479
5,6,91.5293936971479
5,7,91.5293936971479
5,8,91.5293936971479
5,9,91.5293936971479
5,10,91.5293936971479
5,11,91.5293936971479
5,12,91.5293936971479
5,13,91.5293936971479
5,14,91.5293936971479
5,15,91.5293936971479
5,16,91.5293936971479
5,17,91.5293936971479
5,18,91.5293936971479
5,19,91.5293936971479
5,20,91.5293936971479
5,21,91.5293936971479
5,22,91.5293936971479
5,23,91.5293936971479
6,0,100.19756111463025
6,1,100.19756111463025
6,2,100.19756111463025
6,3,100.19756111463025
6,4,100.19756111463025
6,5,100.19756111463025
6,6,100.19756111463025
6,7,100.19756111463025
6,8,100.19756111463025
6,9,100.19756111463025
