Month,Hour,Cost
1,0,123.28473118279574
1,1,123.28473118279574
1,2,123.28473118279574
1,3,123.28473118279574
1,4,123.28473118279574
1,5,123.28473118279574
1,6,123.28473118279574
1,7,123.28473118279574
1,8,123.28473118279574
1,9,123.28473118279574
1,10,123.28473118279574
1,11,123.28473118279574
1,12,123.28473118279574
1,13,123.28473118279574
1,14,123.28473118279574
1,15,123.28473118279574
1,16,123.28473118279574
1,17,123.28473118279574
1,18,123.28473118279574
1,19,123.28473118279574
1,20,123.28473118279574
1,21,123.28473118279574
1,22,123.28473118279574
1,23,123.28473118279574
2,0,123.32273809523812
2,1,123.32273809523812
2,2,123.32273809523812
2,3,123.32273809523812
2,4,123.32273809523812
2,5,123.32273809523812
2,6,123.32273809523812
2,7,123.32273809523812
2,8,123.32273809523812
2,9,123.32273809523812
2,10,123.32273809523812
2,11,123.32273809523812
2,12,123.32273809523812
2,13,123.32273809523812
2,14,123.32273809523812
2,15,123.32273809523812
2,16,123.32273809523812
2,17,123.32273809523812
2,18,123.32273809523812
2,19,123.32273809523812
2,20,123.32273809523812
2,21,123.32273809523812
2,22,123.32273809523812
2,23,123.32273809523812
3,0,123.28473118279564
3,1,123.28473118279564
3,2,123.28473118279564
3,3,123.28473118279564
3,4,123.28473118279564
3,5,123.28473118279564
3,6,123.28473118279564
3,7,123.28473118279564
3,8,123.28473118279564
3,9,123.28473118279564
3,10,123.28473118279564
3,11,123.28473118279564
3,12,123.28473118279564
3,13,123.28473118279564
3,14,123.28473118279564
3,15,123.28473118279564
3,16,123.28473118279564
3,17,123.28473118279564
3,18,123.28473118279564
3,19,123.28473118279564
3,20,123.28473118279564
3,21,123.28473118279564
3,22,123.28473118279564
3,23,123.28473118279564
4,0,123.2965555555554
4,1,123.2965555555554
4,2,123.2965555555554
4,3,123.2965555555554
4,4,123.2965555555554
4,5,123.2965555555554
4,6,123.2965555555554
4,7,123.2965555555554
4,8,123.2965555555554
4,9,123.2965555555554
4,10,123.2965555555554
4,11,123.2965555555554
4,12,123.2965555555554
4,13,123.2965555555554
4,14,123.2965555555554
4,15,123.2965555555554
4,16,123.2965555555554
4,17,123.2965555555554
4,18,123.2965555555554
4,19,123.2965555555554
4,20,123.2965555555554
4,21,123.2965555555554
4,22,123.2965555555554
4,23,123.2965555555554
5,0,123.28473118279578
5,1,123.28473118279578
5,2,123.28473118279578
5,3,123.28473118279578
5,4,123.28473118279578
5,5,123.28473118279578
5,6,123.28473118279578
5,7,123.28473118279578
5,8,123.28473118279578
5,9,123.28473118279578
5,10,123.28473118279578
5,11,123.28473118279578
5,12,123.28473118279578
5,13,123.28473118279578
5,14,123.28473118279578
5,15,123.28473118279578
5,16,123.28473118279578
5,17,123.28473118279578
5,18,123.28473118279578
5,19,123.28473118279578
5,20,123.28473118279578
5,21,123.28473118279578
5,22,123.28473118279578
5,23,123.28473118279578
6,0,123.29655555555568
6,1,123.29655555555568
6,2,123.29655555555568
6,3,123.29655555555568
6,4,123.29655555555568
6,5,123.29655555555568
6,6,123.29655555555568
6,7,123.29655555555568
6,8,123.29655555555568
6,9,123.29655555555568
6,10,123.29655555555568
6,11,123.29655555555568
6,12,123.29655555555568
6,13,123.29655555555568
6,14,123.29655555555568
6,15,123.29655555555568
6,16,123.29655555555568
6,17,123.29655555555568
6,18,123.29655555555568
6,19,123.29655555555568
6,20,123.29655555555568
6,21,123.29655555555568
6,22,123.29655555555568
6,23,123.29655555555568
7,0,123.28473118279578
7,1,123.28473118279578
7,2,123.28473118279578
7,3,123.28473118279578
7,4,123.28473118279578
7,5,123.28473118279578
7,6,123.28473118279578
7,7,123.28473118279578
7,8,123.28473118279578
7,9,123.28473118279578
7,10,123.28473118279578
7,11,123.28473118279578
7,12,123.28473118279578
7,13,123.28473118279578
7,14,123.28473118279578
7,15,123.28473118279578
7,16,123.28473118279578
7,17,123.28473118279578
7,18,123.28473118279578
7,19,123.28473118279578
7,20,123.28473118279578
7,21,123.28473118279578
7,22,123.28473118279578
7,23,123.28473118279578
8,0,123.28473118279564
8,1,123.28473118279564
