Month,Hour,Cost
1,0,115.06345801648082
1,1,115.06345801648082
1,2,115.06345801648082
1,3,115.06345801648082
1,4,115.06345801648082
1,5,115.06345801648082
1,6,115.06345801648082
1,7,230.4052796839778
1,8,230.4052796839778
1,9,230.4052796839778
1,10,230.4052796839778
1,11,230.4052796839778
1,12,230.4052796839778
1,13,230.4052796839778
1,14,230.4052796839778
1,15,230.4052796839778
1,16,230.4052796839778
1,17,230.4052796839778
1,18,230.4052796839778
1,19,230.4052796839778
1,20,230.4052796839778
1,21,230.4052796839778
1,22,230.4052796839778
1,23,115.06345801648082
2,0,117.354971894814
2,1,117.354971894814
2,2,117.354971894814
2,3,117.354971894814
2,4,117.354971894814
2,5,117.354971894814
2,6,117.354971894814
2,7,231.1954307970203
2,8,231.1954307970203
2,9,231.1954307970203
2,10,231.1954307970203
2,11,231.1954307970203
2,12,231.1954307970203
2,13,231.1954307970203
2,14,231.1954307970203
2,15,231.1954307970203
2,16,231.1954307970203
2,17,231.1954307970203
2,18,231.1954307970203
2,19,231.1954307970203
2,20,231.1954307970203
2,21,231.1954307970203
2,22,231.1954307970203
2,23,117.354971894814
3,0,115.93658364722918
3,1,115.93658364722918
3,2,115.93658364722918
3,3,115.93658364722918
3,4,115.93658364722918
3,5,115.93658364722918
3,6,115.93658364722918
3,7,229.8895974523036
3,8,229.8895974523036
3,9,229.8895974523036
3,10,229.8895974523036
3,11,229.8895974523036
3,12,229.8895974523036
3,13,229.8895974523036
3,14,229.8895974523036
3,15,229.8895974523036
3,16,229.8895974523036
3,17,229.8895974523036
3,18,229.8895974523036
3,19,229.8895974523036
3,20,229.8895974523036
3,21,229.8895974523036
3,22,229.8895974523036
3,23,115.93658364722918
4,0,108.6676691804237
4,1,108.6676691804237
4,2,108.6676691804237
4,3,108.6676691804237
4,4,108.6676691804237
4,5,108.6676691804237
4,6,108.6676691804237
4,7,235.77681179168985
4,8,235.77681179168985
4,9,235.77681179168985
4,10,235.77681179168985
4,11,235.77681179168985
4,12,235.77681179168985
4,13,235.77681179168985
4,14,235.77681179168985
4,15,235.77681179168985
4,16,235.77681179168985
4,17,235.77681179168985
4,18,235.77681179168985
4,19,235.77681179168985
4,20,235.77681179168985
4,21,235.77681179168985
4,22,235.77681179168985
4,23,108.6676691804237
5,0,104.47824894854215
5,1,104.47824894854215
5,2,104.47824894854215
5,3,104.47824894854215
5,4,104.47824894854215
5,5,104.47824894854215
5,6,104.47824894854215
5,7,236.4952974819787
5,8,236.4952974819787
5,9,236.4952974819787
5,10,236.4952974819787
5,11,236.4952974819787
5,12,236.4952974819787
5,13,236.4952974819787
5,14,236.4952974819787
5,15,236.4952974819787
5,16,236.4952974819787
5,17,236.4952974819787
5,18,236.4952974819787
5,19,236.4952974819787
5,20,236.4952974819787
5,21,236.4952974819787
5,22,236.4952974819787
5,23,104.47824894854215
6,0,101.52195667005508
6,1,101.52195667005508
6,2,101.52195667005508
6,3,101.52195667005508
6,4,101.52195667005508
6,5,101.52195667005508
6,6,101.52195667005508
6,7,225.9203024253663
6,8,225.9203024253663
6,9,225.9203024253663
6,10,225.9203024253663
6,11,225.9203024253663
6,12,728.9873784845826
6,13,728.9873784845826
6,14,728.9873784845826
6,15,728.9873784845826
6,16,728.9873784845826
6,17,728.9873784845826
6,18,728.9873784845826
6,19,728.9873784845826
6,20,225.9203024253663
6,21,225.9203024253663
6,22,225.9203024253663
6,23,101.52195667005508
7,0,102.71023313163084
7,1,102.71023313163084
7,2,102.71023313163084
7,3,102.71023313163084
7,4,102.71023313163084
7,5,102.71023313163084
7,6,102.71023313163084
7,7,222.8325872772704
7,8,222.8325872772704
7,9,222.8325872772704
7,10,222.8325872772704
7,11,222.8325872772704
7,12,710.381046643362
7,13,710.381046643362
7,14,710.381046643362
7,15,710.381046643362
7,16,710.381046643362
7,17,710.381046643362
7,18,710.381046643362
7,19,710.381046643362
7,20,222.8325872772704
7,21,222.8325872772704
7,22,222.8325872772704
7,23,102.71023313163084
8,0,103.19185674310492
8,1,103.19185674310492
8,2,103.19185674310492
8,3,103.19185674310492
8,4,103.19185674310492
8,5,103.19185674310492
8,6,103.19185674310492
8,7,223.49710292309928
8,8,223.49710292309928
