Month,Hour,Cost
1,0,143.1134618968228
1,1,143.1134618968228
1,2,143.1134618968228
1,3,143.1134618968228
1,4,143.1134618968228
1,5,143.1134618968228
1,6,143.1134618968228
1,7,210.44716460812856
1,8,210.44716460812856
1,9,210.44716460812856
1,10,210.44716460812856
1,11,210.44716460812856
1,12,210.44716460812856
1,13,210.44716460812856
1,14,210.44716460812856
1,15,210.44716460812856
1,16,210.44716460812856
1,17,210.44716460812856
1,18,210.44716460812856
1,19,210.44716460812856
1,20,210.44716460812856
1,21,210.44716460812856
1,22,210.44716460812856
1,23,143.1134618968228
2,0,145.00816913496612
2,1,145.00816913496612
2,2,145.00816913496612
2,3,145.00816913496612
2,4,145.00816913496612
2,5,145.00816913496612
2,6,145.00816913496612
2,7,210.67926716674427
2,8,210.67926716674427
2,9,210.67926716674427
2,10,210.67926716674427
2,11,210.67926716674427
2,12,210.67926716674427
2,13,210.67926716674427
2,14,210.67926716674427
2,15,210.67926716674427
2,16,210.67926716674427
2,17,210.67926716674427
2,18,210.67926716674427
2,19,210.67926716674427
2,20,210.67926716674427
2,21,210.67926716674427
2,22,210.67926716674427
2,23,145.00816913496612
3,0,145.37267402725192
3,1,145.37267402725192
3,2,145.37267402725192
3,3,145.37267402725192
3,4,145.37267402725192
3,5,145.37267402725192
3,6,145.37267402725192
3,7,208.75156783287085
3,8,208.75156783287085
3,9,208.75156783287085
3,10,208.75156783287085
3,11,208.75156783287085
3,12,208.75156783287085
3,13,208.75156783287085
3,14,208.75156783287085
3,15,208.75156783287085
3,16,208.75156783287085
3,17,208.75156783287085
3,18,208.75156783287085
3,19,208.75156783287085
3,20,208.75156783287085
3,21,208.75156783287085
3,22,208.75156783287085
3,23,145.37267402725192
4,0,144.1705365076794
4,1,144.1705365076794
4,2,144.1705365076794
4,3,144.1705365076794
4,4,144.1705365076794
4,5,144.1705365076794
4,6,144.1705365076794
4,7,210.67992242090045
4,8,210.67992242090045
4,9,210.67992242090045
4,10,210.67992242090045
4,11,210.67992242090045
4,12,210.67992242090045
4,13,210.67992242090045
4,14,210.67992242090045
4,15,210.67992242090045
4,16,210.67992242090045
4,17,210.67992242090045
4,18,210.67992242090045
4,19,210.67992242090045
4,20,210.67992242090045
4,21,210.67992242090045
4,22,210.67992242090045
4,23,144.1705365076794
5,0,142.79162684629617
5,1,142.79162684629617
5,2,142.79162684629617
5,3,142.79162684629617
5,4,142.79162684629617
5,5,142.79162684629617
5,6,142.79162684629617
5,7,210.42644694583015
5,8,210.42644694583015
5,9,210.42644694583015
5,10,210.42644694583015
5,11,210.42644694583015
5,12,210.42644694583015
5,13,210.42644694583015
5,14,210.42644694583015
5,15,210.42644694583015
5,16,210.42644694583015
5,17,210.42644694583015
5,18,210.42644694583015
5,19,210.42644694583015
5,20,210.42644694583015
5,21,210.42644694583015
5,22,210.42644694583015
5,23,142.79162684629617
6,0,140.15626044527792
6,1,140.15626044527792
6,2,140.15626044527792
6,3,140.15626044527792
6,4,140.15626044527792
6,5,140.15626044527792
6,6,140.15626044527792
6,7,217.37261543996289
6,8,217.37261543996289
6,9,217.37261543996289
6,10,375.9498295839225
6,11,375.9498295839225
6,12,375.9498295839225
6,13,375.9498295839225
6,14,375.9498295839225
6,15,375.9498295839225
6,16,375.9498295839225
6,17,375.9498295839225
6,18,375.9498295839225
6,19,375.9498295839225
6,20,375.9498295839225
6,21,375.9498295839225
6,22,217.37261543996289
6,23,140.15626044527792
7,0,141.26295350933924
7,1,141.26295350933924
7,2,141.26295350933924
7,3,141.26295350933924
7,4,141.26295350933924
7,5,141.26295350933924
7,6,141.26295350933924
7,7,211.5506180402002
7,8,211.5506180402002
7,9,211.5506180402002
7,10,370.7280217570235
7,11,370.7280217570235
7,12,370.7280217570235
7,13,370.7280217570235
7,14,370.7280217570235
7,15,370.7280217570235
7,16,370.7280217570235
7,17,370.7280217570235
7,18,370.7280217570235
7,19,370.7280217570235
7,20,370.7280217570235
7,21,370.7280217570235
7,22,211.5506180402002
7,23,141.26295350933924
8,0,143.5941198756008
8,1,143.5941198756008
8,2,143.5941198756008
8,3,143.5941198756008
8,4,143.5941198756008
8,5,143.5941198756008
8,6,143.5941198756008
8,7,213.60740626280187
8,8,213.60740626280187
8,9,213.60740626280187
8,10,361.4800747646895
8,11,361.4800747646895
8,12,361.4800747646895
8,13,361.4800747646895
8,14,361.4800747646895
8,15,361.4800747646895
8,16,361.4800747646895
8,17,361.4800747646895
8,18,361.4800747646895
8,19,361.4800747646895
8,20,361.4800747646895
8,21,361.4800747646895
8,22,213.60740626280187
8,23,143.5941198756008
9,0,141.3457378684092
9,1,141.3457378684092
9,2,141.3457378684092
9,3,141.3457378684092
9,4,141.3457378684092
9,5,141.3457378684092
9,6,141.3457378684092
9,7,215.7332651359178
9,8,215.7332651359178
9,9,215.7332651359178
9,10,373.60988584317914
9,11,373.60988584317914
9,12,373.60988584317914
9,13,373.60988584317914
9,14,373.60988584317914
9,15,373.60988584317914
9,16,373.60988584317914
9,17,373.60988584317914
9,18,373.60988584317914
9,19,373.60988584317914
9,20,373.60988584317914
9,21,373.60988584317914
9,22,215.7332651359178
9,23,141.3457378684092
10,0,139.861483682619
10,1,139.861483682619
10,2,139.861483682619
10,3,139.861483682619
10,4,139.861483682619
10,5,139.861483682619
10,6,139.861483682619
10,7,212.32977352656204
10,8,212.32977352656204
10,9,212.32977352656204
10,10,212.32977352656204
10,11,212.32977352656204
10,12,212.32977352656204
10,13,212.32977352656204
10,14,212.32977352656204
10,15,212.32977352656204
10,16,212.32977352656204
10,17,212.32977352656204
10,18,212.32977352656204
10,19,212.32977352656204
10,20,212.32977352656204
10,21,212.32977352656204
10,22,212.32977352656204
10,23,139.861483682619
11,0,140.12826176574356
11,1,140.12826176574356
11,2,140.12826176574356
11,3,140.12826176574356
11,4,140.12826176574356
11,5,140.12826176574356
11,6,140.12826176574356
11,7,212.75048745076117
11,8,212.75048745076117
11,9,212.75048745076117
11,10,212.75048745076117
11,11,212.75048745076117
11,12,212.75048745076117
11,13,212.75048745076117
11,14,212.75048745076117
11,15,212.75048745076117
11,16,212.75048745076117
11,17,212.75048745076117
11,18,212.75048745076117
11,19,212.75048745076117
11,20,212.75048745076117
11,21,212.75048745076117
11,22,212.75048745076117
11,23,140.12826176574356
12,0,0.773494623655914
12,1,0.773494623655914
12,2,0.773494623655914
12,3,0.773494623655914
12,4,0.773494623655914
12,5,0.773494623655914
12,6,0.773494623655914
12,7,0.773494623655914
12,8,0.773494623655914
12,9,0.773494623655914
12,10,0.773494623655914
12,11,0.773494623655914
12,12,0.773494623655914
12,13,0.773494623655914
12,14,0.773494623655914
12,15,0.773494623655914
12,16,0.773494623655914
12,17,0.773494623655914
12,18,0.773494623655914
12,19,0.773494623655914
12,20,0.773494623655914
12,21,0.773494623655914
12,22,0.773494623655914
12,23,0.773494623655914
