Month,Hour,Cost
1,0,161.7419718530911
1,1,161.7419718530911
1,2,161.7419718530911
1,3,161.7419718530911
1,4,161.7419718530911
1,5,161.7419718530911
1,6,161.7419718530911
1,7,161.7419718530911
1,8,226.07994516239194
1,9,226.07994516239194
1,10,226.07994516239194
1,11,226.07994516239194
1,12,226.07994516239194
1,13,226.07994516239194
1,14,226.07994516239194
1,15,226.07994516239194
1,16,226.07994516239194
1,17,226.07994516239194
1,18,226.07994516239194
1,19,226.07994516239194
1,20,226.07994516239194
1,21,161.7419718530911
1,22,161.7419718530911
1,23,161.7419718530911
2,0,162.86685740888396
2,1,162.86685740888396
2,2,162.86685740888396
2,3,162.86685740888396
2,4,162.86685740888396
2,5,162.86685740888396
2,6,162.86685740888396
2,7,162.86685740888396
2,8,229.227515375364
2,9,229.227515375364
2,10,229.227515375364
2,11,229.227515375364
2,12,229.227515375364
2,13,229.227515375364
2,14,229.227515375364
2,15,229.227515375364
2,16,229.227515375364
2,17,229.227515375364
2,18,229.227515375364
2,19,229.227515375364
2,20,229.227515375364
2,21,162.86685740888396
2,22,162.86685740888396
2,23,162.86685740888396
3,0,158.45758657607277
3,1,158.45758657607277
3,2,158.45758657607277
3,3,158.45758657607277
3,4,158.45758657607277
3,5,158.45758657607277
3,6,158.45758657607277
3,7,158.45758657607277
3,8,228.8315122288134
3,9,228.8315122288134
3,10,228.8315122288134
3,11,228.8315122288134
3,12,228.8315122288134
3,13,228.8315122288134
3,14,228.8315122288134
3,15,228.8315122288134
3,16,228.8315122288134
3,17,228.8315122288134
3,18,228.8315122288134
3,19,228.8315122288134
3,20,228.8315122288134
3,21,158.45758657607277
3,22,158.45758657607277
3,23,158.45758657607277
4,0,160.10989585517
4,1,160.10989585517
4,2,160.10989585517
4,3,160.10989585517
4,4,160.10989585517
4,5,160.10989585517
4,6,160.10989585517
4,7,160.10989585517
4,8,231.07622592326055
4,9,231.07622592326055
4,10,231.07622592326055
4,11,231.07622592326055
4,12,231.07622592326055
4,13,231.07622592326055
4,14,231.07622592326055
4,15,231.07622592326055
4,16,231.07622592326055
4,17,231.07622592326055
4,18,231.07622592326055
4,19,231.07622592326055
4,20,231.07622592326055
4,21,160.10989585517
4,22,160.10989585517
4,23,160.10989585517
5,0,155.77348893447888
5,1,155.77348893447888
5,2,155.77348893447888
5,3,155.77348893447888
5,4,155.77348893447888
5,5,155.77348893447888
5,6,155.77348893447888
5,7,155.77348893447888
5,8,269.119796411058
5,9,269.119796411058
5,10,269.119796411058
5,11,269.119796411058
5,12,359.30633559199157
5,13,359.30633559199157
5,14,359.30633559199157
5,15,359.30633559199157
5,16,359.30633559199157
5,17,359.30633559199157
5,18,269.119796411058
5,19,269.119796411058
5,20,269.119796411058
5,21,155.77348893447888
5,22,155.77348893447888
5,23,155.77348893447888
6,0,154.3862252753382
6,1,154.3862252753382
6,2,154.3862252753382
6,3,154.3862252753382
6,4,154.3862252753382
6,5,154.3862252753382
6,6,154.3862252753382
6,7,154.3862252753382
6,8,272.34621299418114
6,9,272.34621299418114
6,10,272.34621299418114
6,11,272.34621299418114
6,12,373.03805290422684
6,13,373.03805290422684
6,14,373.03805290422684
6,15,373.03805290422684
6,16,373.03805290422684
6,17,373.03805290422684
6,18,272.34621299418114
6,19,272.34621299418114
6,20,272.34621299418114
6,21,154.3862252753382
6,22,154.3862252753382
6,23,154.3862252753382
7,0,156.86354756557674
7,1,156.86354756557674
7,2,156.86354756557674
7,3,156.86354756557674
7,4,156.86354756557674
7,5,156.86354756557674
7,6,156.86354756557674
7,7,156.86354756557674
7,8,267.2790222635705
7,9,267.2790222635705
7,10,267.2790222635705
7,11,267.2790222635705
7,12,363.24737623227946
7,13,363.24737623227946
7,14,363.24737623227946
7,15,363.24737623227946
7,16,363.24737623227946
7,17,363.24737623227946
7,18,267.2790222635705
7,19,267.2790222635705
7,20,267.2790222635705
7,21,156.86354756557674
7,22,156.86354756557674
7,23,156.86354756557674
8,0,153.9830941021823
8,1,153.9830941021823
8,2,153.9830941021823
8,3,153.9830941021823
8,4,153.9830941021823
8,5,153.9830941021823
8,6,153.9830941021823
8,7,153.9830941021823
8,8,267.7328903393721
8,9,267.7328903393721
8,10,267.7328903393721
8,11,267.7328903393721
8,12,366.43256053275377
8,13,366.43256053275377
8,14,366.43256053275377
8,15,366.43256053275377
8,16,366.43256053275377
8,17,366.43256053275377
8,18,267.7328903393721
8,19,267.7328903393721
8,20,267.7328903393721
8,21,153.9830941021823
8,22,153.9830941021823
8,23,153.9830941021823
9,0,156.83671609232007
9,1,156.83671609232007
9,2,156.83671609232007
9,3,156.83671609232007
9,4,156.83671609232007
9,5,156.83671609232007
9,6,156.83671609232007
9,7,156.83671609232007
9,8,271.01861013589667
9,9,271.01861013589667
9,10,271.01861013589667
9,11,271.01861013589667
9,12,365.9233954254518
9,13,365.9233954254518
9,14,365.9233954254518
9,15,365.9233954254518
9,16,365.9233954254518
9,17,365.9233954254518
9,18,271.01861013589667
9,19,271.01861013589667
9,20,271.01861013589667
9,21,156.83671609232007
9,22,156.83671609232007
9,23,156.83671609232007
10,0,158.4138114117901
10,1,158.4138114117901
10,2,158.4138114117901
10,3,158.4138114117901
10,4,158.4138114117901
10,5,158.4138114117901
10,6,158.4138114117901
10,7,158.4138114117901
10,8,270.31960346890946
10,9,270.31960346890946
10,10,270.31960346890946
10,11,270.31960346890946
10,12,350.09021150980493
10,13,350.09021150980493
10,14,350.09021150980493
10,15,350.09021150980493
10,16,350.09021150980493
10,17,350.09021150980493
10,18,270.31960346890946
10,19,270.31960346890946
10,20,270.31960346890946
10,21,158.4138114117901
10,22,158.4138114117901
10,23,158.4138114117901
11,0,156.7265626933988
11,1,156.7265626933988
11,2,156.7265626933988
11,3,156.7265626933988
11,4,156.7265626933988
11,5,156.7265626933988
11,6,156.7265626933988
11,7,156.7265626933988
11,8,233.76432767731285
11,9,233.76432767731285
11,10,233.76432767731285
11,11,233.76432767731285
11,12,233.76432767731285
11,13,233.76432767731285
11,14,233.76432767731285
11,15,233.76432767731285
11,16,233.76432767731285
11,17,233.76432767731285
11,18,233.76432767731285
11,19,233.76432767731285
11,20,233.76432767731285
11,21,156.7265626933988
11,22,156.7265626933988
11,23,156.7265626933988
12,0,0.0028898252688172
12,1,0.0028898252688172
12,2,0.0028898252688172
12,3,0.0028898252688172
12,4,0.0028898252688172
12,5,0.0028898252688172
12,6,0.0028898252688172
12,7,0.0028898252688172
12,8,0.0028898252688172
12,9,0.0028898252688172
12,10,0.0028898252688172
12,11,0.0028898252688172
12,12,0.0028898252688172
12,13,0.0028898252688172
12,14,0.0028898252688172
12,15,0.0028898252688172
12,16,0.0028898252688172
12,17,0.0028898252688172
12,18,0.0028898252688172
12,19,0.0028898252688172
12,20,0.0028898252688172
12,21,0.0028898252688172
12,22,0.0028898252688172
12,23,0.0028898252688172
