Month,Hour,Cost
1,0,123.0329057926766
1,1,123.0329057926766
1,2,123.0329057926766
1,3,123.0329057926766
1,4,123.0329057926766
1,5,123.0329057926766
1,6,123.0329057926766
1,7,123.0329057926766
1,8,123.0329057926766
1,9,123.0329057926766
1,10,123.0329057926766
1,11,123.0329057926766
1,12,123.0329057926766
1,13,123.0329057926766
1,14,123.0329057926766
1,15,123.0329057926766
1,16,123.0329057926766
1,17,123.0329057926766
1,18,123.0329057926766
1,19,123.0329057926766
1,20,123.0329057926766
1,21,123.0329057926766
1,22,123.0329057926766
1,23,123.0329057926766
2,0,123.69195829639973
2,1,123.69195829639973
2,2,123.69195829639973
2,3,123.69195829639973
2,4,123.69195829639973
2,5,123.69195829639973
2,6,123.69195829639973
2,7,123.69195829639973
2,8,123.69195829639973
2,9,123.69195829639973
2,10,123.69195829639973
2,11,123.69195829639973
2,12,123.69195829639973
2,13,123.69195829639973
2,14,123.69195829639973
2,15,123.69195829639973
2,16,123.69195829639973
2,17,123.69195829639973
2,18,123.69195829639973
2,19,123.69195829639973
2,20,123.69195829639973
2,21,123.69195829639973
2,22,123.69195829639973
2,23,123.69195829639973
3,0,122.83334812994124
3,1,122.83334812994124
3,2,122.83334812994124
3,3,122.83334812994124
3,4,122.83334812994124
3,5,122.83334812994124
3,6,122.83334812994124
3,7,122.83334812994124
3,8,122.83334812994124
3,9,122.83334812994124
3,10,122.83334812994124
3,11,122.83334812994124
3,12,122.83334812994124
3,13,122.83334812994124
3,14,122.83334812994124
3,15,122.83334812994124
3,16,122.83334812994124
3,17,122.83334812994124
3,18,122.83334812994124
3,19,122.83334812994124
3,20,122.83334812994124
3,21,122.83334812994124
3,22,122.83334812994124
3,23,122.83334812994124
4,0,123.45906258343562
4,1,123.45906258343562
4,2,123.45906258343562
4,3,123.45906258343562
4,4,123.45906258343562
4,5,123.45906258343562
4,6,123.45906258343562
4,7,123.45906258343562
4,8,123.45906258343562
4,9,123.45906258343562
4,10,123.45906258343562
4,11,123.45906258343562
4,12,123.45906258343562
4,13,123.45906258343562
4,14,123.45906258343562
4,15,123.45906258343562
4,16,123.45906258343562
4,17,123.45906258343562
4,18,123.45906258343562
4,19,123.45906258343562
4,20,123.45906258343562
4,21,123.45906258343562
4,22,123.45906258343562
4,23,123.45906258343562
5,0,122.92678129544444
5,1,122.92678129544444
5,2,122.92678129544444
5,3,122.92678129544444
5,4,122.92678129544444
5,5,122.92678129544444
5,6,122.92678129544444
5,7,122.92678129544444
5,8,122.92678129544444
5,9,122.92678129544444
5,10,122.92678129544444
5,11,122.92678129544444
5,12,122.92678129544444
5,13,122.92678129544444
5,14,122.92678129544444
5,15,122.92678129544444
5,16,122.92678129544444
5,17,122.92678129544444
5,18,122.92678129544444
5,19,122.92678129544444
5,20,122.92678129544444
5,21,122.92678129544444
5,22,122.92678129544444
5,23,122.92678129544444
6,0,123.6682600036645
6,1,123.6682600036645
6,2,123.6682600036645
6,3,123.6682600036645
6,4,123.6682600036645
6,5,123.6682600036645
6,6,123.6682600036645
6,7,123.6682600036645
6,8,123.6682600036645
6,9,123.6682600036645
6,10,123.6682600036645
6,11,123.6682600036645
6,12,129.50883814523567
6,13,129.50883814523567
6,14,129.50883814523567
6,15,129.50883814523567
6,16,129.50883814523567
6,17,129.50883814523567
6,18,129.50883814523567
6,19,129.50883814523567
6,20,123.6682600036645
6,21,123.6682600036645
6,22,123.6682600036645
6,23,123.6682600036645
7,0,123.35616980824534
7,1,123.35616980824534
7,2,123.35616980824534
7,3,123.35616980824534
7,4,123.35616980824534
7,5,123.35616980824534
7,6,123.35616980824534
7,7,123.35616980824534
7,8,123.35616980824534
7,9,123.35616980824534
7,10,123.35616980824534
7,11,123.35616980824534
7,12,129.3341651666744
7,13,129.3341651666744
7,14,129.3341651666744
7,15,129.3341651666744
7,16,129.3341651666744
7,17,129.3341651666744
7,18,129.3341651666744
7,19,129.3341651666744
7,20,123.35616980824534
7,21,123.35616980824534
7,22,123.35616980824534
7,23,123.35616980824534
8,0,123.18363084794102
8,1,123.18363084794102
8,2,123.18363084794102
8,3,123.18363084794102
8,4,123.18363084794102
8,5,123.18363084794102
8,6,123.18363084794102
8,7,123.18363084794102
8,8,123.18363084794102
8,9,123.18363084794102
8,10,123.18363084794102
8,11,123.18363084794102
8,12,128.59350277546577
8,13,128.59350277546577
8,14,128.59350277546577
8,15,128.59350277546577
8,16,128.59350277546577
8,17,128.59350277546577
8,18,128.59350277546577
8,19,128.59350277546577
8,20,123.18363084794102
8,21,123.18363084794102
8,22,123.18363084794102
8,23,123.18363084794102
9,0,123.55299260724264
9,1,123.55299260724264
9,2,123.55299260724264
9,3,123.55299260724264
9,4,123.55299260724264
9,5,123.55299260724264
9,6,123.55299260724264
9,7,123.55299260724264
9,8,123.55299260724264
9,9,123.55299260724264
9,10,123.55299260724264
9,11,123.55299260724264
9,12,129.29465593933583
9,13,129.29465593933583
9,14,129.29465593933583
9,15,129.29465593933583
9,16,129.29465593933583
9,17,129.29465593933583
9,18,129.29465593933583
9,19,129.29465593933583
9,20,123.55299260724264
9,21,123.55299260724264
9,22,123.55299260724264
9,23,123.55299260724264
10,0,123.41688496845718
10,1,123.41688496845718
10,2,123.41688496845718
10,3,123.41688496845718
10,4,123.41688496845718
10,5,123.41688496845718
10,6,123.41688496845718
10,7,123.41688496845718
10,8,123.41688496845718
10,9,123.41688496845718
10,10,123.41688496845718
10,11,123.41688496845718
10,12,128.8193387271944
10,13,128.8193387271944
10,14,128.8193387271944
10,15,128.8193387271944
10,16,128.8193387271944
10,17,128.8193387271944
10,18,128.8193387271944
10,19,128.8193387271944
10,20,123.41688496845718
10,21,123.41688496845718
10,22,123.41688496845718
10,23,123.41688496845718
11,0,123.3219219382048
11,1,123.3219219382048
11,2,123.3219219382048
11,3,123.3219219382048
11,4,123.3219219382048
11,5,123.3219219382048
11,6,123.3219219382048
11,7,123.3219219382048
11,8,123.3219219382048
11,9,123.3219219382048
11,10,123.3219219382048
11,11,123.3219219382048
11,12,123.3219219382048
11,13,123.3219219382048
11,14,123.3219219382048
11,15,123.3219219382048
11,16,123.3219219382048
11,17,123.3219219382048
11,18,123.3219219382048
11,19,123.3219219382048
11,20,123.3219219382048
11,21,123.3219219382048
11,22,123.3219219382048
11,23,123.3219219382048
12,0,0.4188978494623656
12,1,0.4188978494623656
12,2,0.4188978494623656
12,3,0.4188978494623656
12,4,0.4188978494623656
12,5,0.4188978494623656
12,6,0.4188978494623656
12,7,0.4188978494623656
12,8,0.4188978494623656
12,9,0.4188978494623656
12,10,0.4188978494623656
12,11,0.4188978494623656
12,12,0.4188978494623656
12,13,0.4188978494623656
12,14,0.4188978494623656
12,15,0.4188978494623656
12,16,0.4188978494623656
12,17,0.4188978494623656
12,18,0.4188978494623656
12,19,0.4188978494623656
12,20,0.4188978494623656
12,21,0.4188978494623656
12,22,0.4188978494623656
12,23,0.4188978494623656
