Month,Hour,Cost
1,0,112.28597147158408
1,1,112.28597147158408
1,2,112.28597147158408
1,3,112.28597147158408
1,4,112.28597147158408
1,5,112.28597147158408
1,6,112.28597147158408
1,7,112.28597147158408
1,8,126.11997558273713
1,9,126.11997558273713
1,10,126.11997558273713
1,11,126.11997558273713
1,12,126.11997558273713
1,13,126.11997558273713
1,14,126.11997558273713
1,15,126.11997558273713
1,16,413.5254501660599
1,17,413.5254501660599
1,18,413.5254501660599
1,19,413.5254501660599
1,20,413.5254501660599
1,21,112.28597147158408
1,22,112.28597147158408
1,23,112.28597147158408
2,0,114.4061624537386
2,1,114.4061624537386
2,2,114.4061624537386
2,3,114.4061624537386
2,4,114.4061624537386
2,5,114.4061624537386
2,6,114.4061624537386
2,7,114.4061624537386
2,8,125.39310279405886
2,9,125.39310279405886
2,10,125.39310279405886
2,11,125.39310279405886
2,12,125.39310279405886
2,13,125.39310279405886
2,14,125.39310279405886
2,15,125.39310279405886
2,16,408.0931128404948
2,17,408.0931128404948
2,18,408.0931128404948
2,19,408.0931128404948
2,20,408.0931128404948
2,21,114.4061624537386
2,22,114.4061624537386
2,23,114.4061624537386
3,0,112.94454971733892
3,1,112.94454971733892
3,2,112.94454971733892
3,3,112.94454971733892
3,4,112.94454971733892
3,5,112.94454971733892
3,6,112.94454971733892
3,7,112.94454971733892
3,8,126.49546277247998
3,9,126.49546277247998
3,10,126.49546277247998
3,11,126.49546277247998
3,12,126.49546277247998
3,13,126.49546277247998
3,14,126.49546277247998
3,15,126.49546277247998
3,16,407.59044457753424
3,17,407.59044457753424
3,18,407.59044457753424
3,19,407.59044457753424
3,20,407.59044457753424
3,21,112.94454971733892
3,22,112.94454971733892
3,23,112.94454971733892
4,0,107.51050412508016
4,1,107.51050412508016
4,2,107.51050412508016
4,3,107.51050412508016
4,4,107.51050412508016
4,5,107.51050412508016
4,6,107.51050412508016
4,7,107.51050412508016
4,8,129.58842039188968
4,9,129.58842039188968
4,10,129.58842039188968
4,11,129.58842039188968
4,12,129.58842039188968
4,13,129.58842039188968
4,14,129.58842039188968
4,15,129.58842039188968
4,16,417.64057188231374
4,17,417.64057188231374
4,18,417.64057188231374
4,19,417.64057188231374
4,20,417.64057188231374
4,21,107.51050412508016
4,22,107.51050412508016
4,23,107.51050412508016
5,0,103.5738763532732
5,1,103.5738763532732
5,2,103.5738763532732
5,3,103.5738763532732
5,4,103.5738763532732
5,5,103.5738763532732
5,6,103.5738763532732
5,7,103.5738763532732
5,8,131.0901664392722
5,9,131.0901664392722
5,10,131.0901664392722
5,11,131.0901664392722
5,12,131.0901664392722
5,13,131.0901664392722
5,14,131.0901664392722
5,15,131.0901664392722
5,16,428.8811271047204
5,17,428.8811271047204
5,18,428.8811271047204
5,19,428.8811271047204
5,20,428.8811271047204
5,21,103.5738763532732
5,22,103.5738763532732
5,23,103.5738763532732
6,0,141.51023565993893
6,1,141.51023565993893
6,2,141.51023565993893
6,3,141.51023565993893
6,4,141.51023565993893
6,5,141.51023565993893
6,6,141.51023565993893
6,7,141.51023565993893
6,8,141.51023565993893
6,9,141.51023565993893
6,10,141.51023565993893
6,11,141.51023565993893
6,12,141.51023565993893
6,13,141.51023565993893
6,14,141.51023565993893
6,15,141.51023565993893
6,16,625.5873711538212
6,17,625.5873711538212
6,18,625.5873711538212
6,19,625.5873711538212
6,20,625.5873711538212
6,21,141.51023565993893
6,22,141.51023565993893
6,23,141.51023565993893
7,0,141.2580898508148
7,1,141.2580898508148
7,2,141.2580898508148
7,3,141.2580898508148
7,4,141.2580898508148
7,5,141.2580898508148
7,6,141.2580898508148
7,7,141.2580898508148
7,8,141.2580898508148
7,9,141.2580898508148
7,10,141.2580898508148
7,11,141.2580898508148
7,12,141.2580898508148
7,13,141.2580898508148
7,14,141.2580898508148
7,15,141.2580898508148
7,16,614.0247596746965
7,17,614.0247596746965
7,18,614.0247596746965
7,19,614.0247596746965
7,20,614.0247596746965
7,21,141.2580898508148
7,22,141.2580898508148
7,23,141.2580898508148
8,0,141.3023397560489
8,1,141.3023397560489
8,2,141.3023397560489
8,3,141.3023397560489
8,4,141.3023397560489
8,5,141.3023397560489
8,6,141.3023397560489
8,7,141.3023397560489
8,8,141.3023397560489
8,9,141.3023397560489
8,10,141.3023397560489
8,11,141.3023397560489
8,12,141.3023397560489
8,13,141.3023397560489
8,14,141.3023397560489
8,15,141.3023397560489
8,16,629.4530516068836
8,17,629.4530516068836
8,18,629.4530516068836
8,19,629.4530516068836
8,20,629.4530516068836
8,21,141.3023397560489
8,22,141.3023397560489
8,23,141.3023397560489
9,0,142.30410045158635
9,1,142.30410045158635
9,2,142.30410045158635
9,3,142.30410045158635
9,4,142.30410045158635
9,5,142.30410045158635
9,6,142.30410045158635
9,7,142.30410045158635
9,8,142.30410045158635
9,9,142.30410045158635
9,10,142.30410045158635
9,11,142.30410045158635
9,12,142.30410045158635
9,13,142.30410045158635
9,14,142.30410045158635
9,15,142.30410045158635
9,16,607.1349308361382
9,17,607.1349308361382
9,18,607.1349308361382
9,19,607.1349308361382
9,20,607.1349308361382
9,21,142.30410045158635
9,22,142.30410045158635
9,23,142.30410045158635
10,0,105.437710274662
10,1,105.437710274662
10,2,105.437710274662
10,3,105.437710274662
10,4,105.437710274662
10,5,105.437710274662
10,6,105.437710274662
10,7,105.437710274662
10,8,130.19949047403364
10,9,130.19949047403364
10,10,130.19949047403364
10,11,130.19949047403364
10,12,130.19949047403364
10,13,130.19949047403364
10,14,130.19949047403364
10,15,130.19949047403364
10,16,424.4988591902274
10,17,424.4988591902274
10,18,424.4988591902274
10,19,424.4988591902274
10,20,424.4988591902274
10,21,105.437710274662
10,22,105.437710274662
10,23,105.437710274662
11,0,107.26653908751037
11,1,107.26653908751037
11,2,107.26653908751037
11,3,107.26653908751037
11,4,107.26653908751037
11,5,107.26653908751037
11,6,107.26653908751037
11,7,107.26653908751037
