Month,Hour,Cost
1,0,167.35078770818606
1,1,167.35078770818606
1,2,167.35078770818606
1,3,167.35078770818606
1,4,167.35078770818606
1,5,167.35078770818606
1,6,167.35078770818606
1,7,167.35078770818606
1,8,119.68464340178367
1,9,119.68464340178367
1,10,119.68464340178367
1,11,119.68464340178367
1,12,119.68464340178367
1,13,119.68464340178367
1,14,119.68464340178367
1,15,119.68464340178367
1,16,446.29912243763994
1,17,446.29912243763994
1,18,446.29912243763994
1,19,446.29912243763994
1,20,446.29912243763994
1,21,167.35078770818606
1,22,167.35078770818606
1,23,167.35078770818606
2,0,169.03910629883282
2,1,169.03910629883282
2,2,169.03910629883282
2,3,169.03910629883282
2,4,169.03910629883282
2,5,169.03910629883282
2,6,169.03910629883282
2,7,169.03910629883282
2,8,119.5297172092309
2,9,119.5297172092309
2,10,119.5297172092309
2,11,119.5297172092309
2,12,119.5297172092309
2,13,119.5297172092309
2,14,119.5297172092309
2,15,119.5297172092309
2,16,438.9038835933987
2,17,438.9038835933987
2,18,438.9038835933987
2,19,438.9038835933987
2,20,438.9038835933987
2,21,169.03910629883282
2,22,169.03910629883282
2,23,169.03910629883282
3,0,169.27636472276637
3,1,169.27636472276637
3,2,169.27636472276637
3,3,169.27636472276637
3,4,169.27636472276637
3,5,169.27636472276637
3,6,169.27636472276637
3,7,169.27636472276637
3,8,119.63301896511958
3,9,119.63301896511958
3,10,119.63301896511958
3,11,119.63301896511958
3,12,119.63301896511958
3,13,119.63301896511958
3,14,119.63301896511958
3,15,119.63301896511958
3,16,436.5969788202443
3,17,436.5969788202443
3,18,436.5969788202443
3,19,436.5969788202443
3,20,436.5969788202443
3,21,169.27636472276637
3,22,169.27636472276637
3,23,169.27636472276637
4,0,168.4891858323807
4,1,168.4891858323807
4,2,168.4891858323807
4,3,168.4891858323807
4,4,168.4891858323807
4,5,168.4891858323807
4,6,168.4891858323807
4,7,168.4891858323807
4,8,120.89584008531725
4,9,120.89584008531725
4,10,120.89584008531725
4,11,120.89584008531725
4,12,120.89584008531725
4,13,120.89584008531725
4,14,120.89584008531725
4,15,120.89584008531725
4,16,432.43416461500095
4,17,432.43416461500095
4,18,432.43416461500095
4,19,432.43416461500095
4,20,432.43416461500095
4,21,168.4891858323807
4,22,168.4891858323807
4,23,168.4891858323807
5,0,166.70048591176428
5,1,166.70048591176428
5,2,166.70048591176428
5,3,166.70048591176428
5,4,166.70048591176428
5,5,166.70048591176428
5,6,166.70048591176428
5,7,166.70048591176428
5,8,121.28384430950224
5,9,121.28384430950224
5,10,121.28384430950224
5,11,121.28384430950224
5,12,121.28384430950224
5,13,121.28384430950224
5,14,121.28384430950224
5,15,121.28384430950224
5,16,439.06867115613954
5,17,439.06867115613954
5,18,439.06867115613954
5,19,439.06867115613954
5,20,439.06867115613954
5,21,166.70048591176428
5,22,166.70048591176428
5,23,166.70048591176428
6,0,173.32791868270832
6,1,173.32791868270832
6,2,173.32791868270832
6,3,173.32791868270832
6,4,173.32791868270832
