Month,Hour,Cost
1,0,100.88565331246376
1,1,100.88565331246376
1,2,100.88565331246376
1,3,100.88565331246376
1,4,100.88565331246376
1,5,100.88565331246376
1,6,128.70156048993874
1,7,128.70156048993874
1,8,128.70156048993874
1,9,128.70156048993874
1,10,128.70156048993874
1,11,128.70156048993874
1,12,128.70156048993874
1,13,128.70156048993874
1,14,138.37665863862568
1,15,138.37665863862568
1,16,202.9937686944279
1,17,202.9937686944279
1,18,202.9937686944279
1,19,202.9937686944279
1,20,202.9937686944279
1,21,138.37665863862568
1,22,138.37665863862568
1,23,138.37665863862568
2,0,101.08839531484644
2,1,101.08839531484644
2,2,101.08839531484644
2,3,101.08839531484644
2,4,101.08839531484644
2,5,101.08839531484644
2,6,128.71794677305175
2,7,128.71794677305175
2,8,128.71794677305175
2,9,128.71794677305175
2,10,128.71794677305175
2,11,128.71794677305175
2,12,128.71794677305175
2,13,128.71794677305175
2,14,139.76976735633386
2,15,139.76976735633386
2,16,202.1870049675227
2,17,202.1870049675227
2,18,202.1870049675227
2,19,202.1870049675227
2,20,202.1870049675227
2,21,139.76976735633386
2,22,139.76976735633386
2,23,139.76976735633386
3,0,104.41147039369022
3,1,104.41147039369022
3,2,104.41147039369022
3,3,104.41147039369022
3,4,104.41147039369022
3,5,104.41147039369022
3,6,124.0390875999478
3,7,124.0390875999478
3,8,124.0390875999478
3,9,124.0390875999478
3,10,104.41147039369022
3,11,104.41147039369022
3,12,104.41147039369022
3,13,104.41147039369022
3,14,132.0685673661441
3,15,132.0685673661441
3,16,196.8859743184908
3,17,196.8859743184908
3,18,196.8859743184908
3,19,196.8859743184908
3,20,196.8859743184908
3,21,132.0685673661441
3,22,132.0685673661441
3,23,132.0685673661441
4,0,105.85989732322824
4,1,105.85989732322824
4,2,105.85989732322824
4,3,105.85989732322824
4,4,105.85989732322824
4,5,105.85989732322824
4,6,126.3873593392986
4,7,126.3873593392986
4,8,126.3873593392986
4,9,126.3873593392986
4,10,105.85989732322824
4,11,105.85989732322824
4,12,105.85989732322824
4,13,105.85989732322824
4,14,135.1848430604716
4,15,135.1848430604716
4,16,201.0492626566899
4,17,201.0492626566899
4,18,201.0492626566899
4,19,201.0492626566899
4,20,201.0492626566899
4,21,135.1848430604716
4,22,135.1848430604716
4,23,135.1848430604716
5,0,98.5149830606313
5,1,98.5149830606313
5,2,98.5149830606313
5,3,98.5149830606313
5,4,98.5149830606313
5,5,98.5149830606313
5,6,127.19852178730915
5,7,127.19852178730915
5,8,127.19852178730915
5,9,127.19852178730915
5,10,127.19852178730915
5,11,127.19852178730915
5,12,127.19852178730915
5,13,127.19852178730915
5,14,137.17540482267535
5,15,137.17540482267535
5,16,200.9622997471727
5,17,200.9622997471727
5,18,200.9622997471727
5,19,200.9622997471727
5,20,200.9622997471727
5,21,137.17540482267535
5,22,137.17540482267535
5,23,137.17540482267535
6,0,104.0925667835118
6,1,104.0925667835118
6,2,104.0925667835118
6,3,104.0925667835118
6,4,104.0925667835118
6,5,104.0925667835118
6,6,162.99230000233803
6,7,162.99230000233803
6,8,162.99230000233803
6,9,162.99230000233803
6,10,162.99230000233803
6,11,162.99230000233803
6,12,162.99230000233803
6,13,162.99230000233803
6,14,188.2350428104064
6,15,188.2350428104064
6,16,461.08020017233673
6,17,461.08020017233673
6,18,461.08020017233673
6,19,461.08020017233673
6,20,461.08020017233673
6,21,188.2350428104064
6,22,188.2350428104064
6,23,188.2350428104064
7,0,103.5228559978492
7,1,103.5228559978492
7,2,103.5228559978492
7,3,103.5228559978492
7,4,103.5228559978492
7,5,103.5228559978492
7,6,164.0040872411255
7,7,164.0040872411255
7,8,164.0040872411255
7,9,164.0040872411255
7,10,164.0040872411255
7,11,164.0040872411255
7,12,164.0040872411255
7,13,164.0040872411255
7,14,188.74640911337488
7,15,188.74640911337488
7,16,464.5705973748875
7,17,464.5705973748875
7,18,464.5705973748875
7,19,464.5705973748875
7,20,464.5705973748875
7,21,188.74640911337488
7,22,188.74640911337488
7,23,188.74640911337488
8,0,109.97413106806131
8,1,109.97413106806131
8,2,109.97413106806131
8,3,109.97413106806131
8,4,109.97413106806131
8,5,109.97413106806131
8,6,171.30051200547837
8,7,171.30051200547837
8,8,171.30051200547837
8,9,171.30051200547837
8,10,171.30051200547837
8,11,171.30051200547837
8,12,171.30051200547837
8,13,171.30051200547837
8,14,192.63142711414517
8,15,192.63142711414517
8,16,472.8932129666679
8,17,472.8932129666679
8,18,472.8932129666679
8,19,472.8932129666679
8,20,472.8932129666679
8,21,192.63142711414517
8,22,192.63142711414517
8,23,192.63142711414517
9,0,104.44310473526784
9,1,104.44310473526784
9,2,104.44310473526784
9,3,104.44310473526784
9,4,104.44310473526784
9,5,104.44310473526784
9,6,161.56515918296807
9,7,161.56515918296807
9,8,161.56515918296807
9,9,161.56515918296807
9,10,161.56515918296807
9,11,161.56515918296807
9,12,161.56515918296807
9,13,161.56515918296807
9,14,190.12618640681816
9,15,190.12618640681816
9,16,461.4101921283375
9,17,461.4101921283375
9,18,461.4101921283375
9,19,461.4101921283375
9,20,461.4101921283375
9,21,190.12618640681816
9,22,190.12618640681816
9,23,190.12618640681816
10,0,102.26968053617446
10,1,102.26968053617446
10,2,102.26968053617446
10,3,102.26968053617446
10,4,102.26968053617446
10,5,102.26968053617446
10,6,164.70829817731112
10,7,164.70829817731112
10,8,164.70829817731112
10,9,164.70829817731112
10,10,164.70829817731112
10,11,164.70829817731112
10,12,164.70829817731112
10,13,164.70829817731112
10,14,186.42607822640215
10,15,186.42607822640215
10,16,457.8905854604807
10,17,457.8905854604807
10,18,457.8905854604807
10,19,457.8905854604807
10,20,457.8905854604807
10,21,186.42607822640215
10,22,186.42607822640215
10,23,186.42607822640215
11,0,98.35872957442994
11,1,98.35872957442994
11,2,98.35872957442994
11,3,98.35872957442994
11,4,98.35872957442994
11,5,98.35872957442994
11,6,127.39175967609121
11,7,127.39175967609121
11,8,127.39175967609121
11,9,127.39175967609121
11,10,127.39175967609121
11,11,127.39175967609121
11,12,127.39175967609121
11,13,127.39175967609121
11,14,137.9492251676044
11,15,137.9492251676044
11,16,201.30701627295292
11,17,201.30701627295292
11,18,201.30701627295292
11,19,201.30701627295292
11,20,201.30701627295292
11,21,137.9492251676044
11,22,137.9492251676044
11,23,137.9492251676044
12,0,1.5590725806451613
12,1,1.5590725806451613
12,2,1.5590725806451613
12,3,1.5590725806451613
12,4,1.5590725806451613
12,5,1.5590725806451613
12,6,1.5590725806451613
12,7,1.5590725806451613
12,8,1.5590725806451613
12,9,1.5590725806451613
12,10,1.5590725806451613
12,11,1.5590725806451613
12,12,1.5590725806451613
12,13,1.5590725806451613
12,14,1.5590725806451613
12,15,1.5590725806451613
12,16,1.5590725806451613
12,17,1.5590725806451613
