Month,Hour,Cost
1,0,142.0299872741966
1,1,142.0299872741966
1,2,142.0299872741966
1,3,142.0299872741966
1,4,142.0299872741966
1,5,142.0299872741966
1,6,142.0299872741966
1,7,142.0299872741966
1,8,142.0299872741966
1,9,142.0299872741966
1,10,142.0299872741966
1,11,142.0299872741966
1,12,142.0299872741966
1,13,142.0299872741966
1,14,142.0299872741966
1,15,142.0299872741966
1,16,142.0299872741966
1,17,142.0299872741966
1,18,142.0299872741966
1,19,142.0299872741966
1,20,142.0299872741966
1,21,142.0299872741966
1,22,142.0299872741966
1,23,142.0299872741966
2,0,145.15210083989464
2,1,145.15210083989464
2,2,145.15210083989464
2,3,145.15210083989464
2,4,145.15210083989464
2,5,145.15210083989464
2,6,145.15210083989464
2,7,145.15210083989464
2,8,145.15210083989464
2,9,145.15210083989464
2,10,145.15210083989464
2,11,145.15210083989464
2,12,145.15210083989464
2,13,145.15210083989464
2,14,145.15210083989464
2,15,145.15210083989464
2,16,145.15210083989464
2,17,145.15210083989464
2,18,145.15210083989464
2,19,145.15210083989464
2,20,145.15210083989464
2,21,145.15210083989464
2,22,145.15210083989464
2,23,145.15210083989464
3,0,141.98576779974132
3,1,141.98576779974132
3,2,141.98576779974132
3,3,141.98576779974132
3,4,141.98576779974132
3,5,141.98576779974132
3,6,141.98576779974132
3,7,141.98576779974132
3,8,141.98576779974132
3,9,141.98576779974132
3,10,141.98576779974132
3,11,141.98576779974132
3,12,141.98576779974132
3,13,141.98576779974132
3,14,141.98576779974132
3,15,141.98576779974132
3,16,141.98576779974132
3,17,141.98576779974132
3,18,141.98576779974132
3,19,141.98576779974132
3,20,141.98576779974132
3,21,141.98576779974132
3,22,141.98576779974132
3,23,141.98576779974132
4,0,144.7140458064466
4,1,144.7140458064466
4,2,144.7140458064466
4,3,144.7140458064466
4,4,144.7140458064466
4,5,144.7140458064466
4,6,144.7140458064466
4,7,144.7140458064466
4,8,144.7140458064466
4,9,144.7140458064466
4,10,144.7140458064466
4,11,144.7140458064466
4,12,144.7140458064466
4,13,144.7140458064466
4,14,144.7140458064466
