Month,Hour,Cost
1,0,44.737497659648994
1,1,44.737497659648994
1,2,44.737497659648994
1,3,44.737497659648994
1,4,44.737497659648994
1,5,44.737497659648994
1,6,58.68358639082592
1,7,58.68358639082592
1,8,58.68358639082592
1,9,58.68358639082592
1,10,110.41144420184892
1,11,110.41144420184892
1,12,110.41144420184892
1,13,110.41144420184892
1,14,110.41144420184892
1,15,110.41144420184892
1,16,110.41144420184892
1,17,120.58422789310093
1,18,120.58422789310093
1,19,120.58422789310093
1,20,120.58422789310093
1,21,110.41144420184892
1,22,58.68358639082592
1,23,44.737497659648994
2,0,45.016161195622715
2,1,45.016161195622715
2,2,45.016161195622715
2,3,45.016161195622715
2,4,45.016161195622715
2,5,45.016161195622715
2,6,59.40043819589774
2,7,59.40043819589774
2,8,59.40043819589774
2,9,59.40043819589774
2,10,116.2935110213218
2,11,116.2935110213218
2,12,116.2935110213218
2,13,116.2935110213218
2,14,116.2935110213218
2,15,116.2935110213218
2,16,116.2935110213218
2,17,125.57953671549741
2,18,125.57953671549741
2,19,125.57953671549741
2,20,125.57953671549741
2,21,116.2935110213218
2,22,59.40043819589774
2,23,45.016161195622715
3,0,44.39342295418883
3,1,44.39342295418883
3,2,44.39342295418883
3,3,44.39342295418883
3,4,44.39342295418883
3,5,44.39342295418883
3,6,58.33009847708695
3,7,58.33009847708695
3,8,58.33009847708695
3,9,58.33009847708695
3,10,108.31154575599334
3,11,108.31154575599334
3,12,108.31154575599334
3,13,108.31154575599334
3,14,108.31154575599334
3,15,108.31154575599334
3,16,108.31154575599334
3,17,108.31154575599334
3,18,108.31154575599334
3,19,108.31154575599334
3,20,108.31154575599334
3,21,108.31154575599334
3,22,58.33009847708695
3,23,44.39342295418883
4,0,44.99482721039649
4,1,44.99482721039649
4,2,44.99482721039649
4,3,44.99482721039649
4,4,44.99482721039649
4,5,44.99482721039649
4,6,57.84449200880905
4,7,57.84449200880905
4,8,57.84449200880905
4,9,57.84449200880905
4,10,112.40089975634575
4,11,112.40089975634575
4,12,112.40089975634575
4,13,112.40089975634575
4,14,112.40089975634575
4,15,112.40089975634575
4,16,112.40089975634575
4,17,112.40089975634575
4,18,112.40089975634575
4,19,112.40089975634575
4,20,112.40089975634575
4,21,112.40089975634575
4,22,57.84449200880905
4,23,44.99482721039649
5,0,44.43052085370552
5,1,44.43052085370552
5,2,44.43052085370552
5,3,44.43052085370552
5,4,44.43052085370552
5,5,44.43052085370552
5,6,58.40602457692391
5,7,58.40602457692391
5,8,58.40602457692391
5,9,58.40602457692391
5,10,109.11043145454954
5,11,109.11043145454954
5,12,109.11043145454954
5,13,109.11043145454954
5,14,109.11043145454954
5,15,109.11043145454954
5,16,109.11043145454954
5,17,109.11043145454954
5,18,109.11043145454954
5,19,109.11043145454954
5,20,109.11043145454954
5,21,109.11043145454954
5,22,58.40602457692391
5,23,44.43052085370552
6,0,43.97212659615116
6,1,43.97212659615116
6,2,43.97212659615116
6,3,43.97212659615116
6,4,43.97212659615116
6,5,43.97212659615116
6,6,56.341938204299474
6,7,56.341938204299474
6,8,56.341938204299474
6,9,56.341938204299474
6,10,109.71943304909512
6,11,130.51477211745242
6,12,130.51477211745242
6,13,130.51477211745242
6,14,130.51477211745242
6,15,130.51477211745242
6,16,130.51477211745242
6,17,130.51477211745242
6,18,130.51477211745242
6,19,109.71943304909512
6,20,109.71943304909512
6,21,109.71943304909512
6,22,56.341938204299474
6,23,43.97212659615116
7,0,44.15039433632449
7,1,44.15039433632449
