Month,Hour,Cost
1,0,147.61468727256783
1,1,147.61468727256783
1,2,147.61468727256783
1,3,147.61468727256783
1,4,147.61468727256783
1,5,147.61468727256783
1,6,147.61468727256783
1,7,147.61468727256783
1,8,147.61468727256783
1,9,147.61468727256783
1,10,185.98218879137832
1,11,185.98218879137832
1,12,185.98218879137832
1,13,230.4278229841726
1,14,230.4278229841726
1,15,230.4278229841726
1,16,230.4278229841726
1,17,185.98218879137832
1,18,185.98218879137832
1,19,185.98218879137832
1,20,147.61468727256783
1,21,147.61468727256783
1,22,147.61468727256783
1,23,147.61468727256783
2,0,147.14934065781276
2,1,147.14934065781276
2,2,147.14934065781276
2,3,147.14934065781276
2,4,147.14934065781276
2,5,147.14934065781276
2,6,147.14934065781276
2,7,147.14934065781276
2,8,147.14934065781276
2,9,147.14934065781276
2,10,186.6531769980018
2,11,186.6531769980018
2,12,186.6531769980018
2,13,231.55969952655826
2,14,231.55969952655826
2,15,231.55969952655826
2,16,231.55969952655826
2,17,186.6531769980018
2,18,186.6531769980018
2,19,186.6531769980018
2,20,147.14934065781276
2,21,147.14934065781276
2,22,147.14934065781276
2,23,147.14934065781276
3,0,145.6694714456194
3,1,145.6694714456194
3,2,145.6694714456194
3,3,145.6694714456194
3,4,145.6694714456194
3,5,145.6694714456194
3,6,145.6694714456194
3,7,145.6694714456194
3,8,145.6694714456194
3,9,145.6694714456194
3,10,184.73531269695664
3,11,184.73531269695664
3,12,184.73531269695664
3,13,224.74899117338265
3,14,224.74899117338265
3,15,224.74899117338265
3,16,224.74899117338265
3,17,184.73531269695664
3,18,184.73531269695664
3,19,184.73531269695664
3,20,145.6694714456194
3,21,145.6694714456194
3,22,145.6694714456194
3,23,145.6694714456194
4,0,145.40725897610315
4,1,145.40725897610315
4,2,145.40725897610315
4,3,145.40725897610315
4,4,145.40725897610315
4,5,145.40725897610315
4,6,145.40725897610315
4,7,145.40725897610315
4,8,145.40725897610315
4,9,145.40725897610315
4,10,187.66312181318705
4,11,187.66312181318705
4,12,187.66312181318705
4,13,230.81784780815914
4,14,230.81784780815914
4,15,230.81784780815914
4,16,230.81784780815914
4,17,187.66312181318705
4,18,187.66312181318705
4,19,187.66312181318705
4,20,145.40725897610315
4,21,145.40725897610315
4,22,145.40725897610315
4,23,145.40725897610315
5,0,146.05652811575592
5,1,146.05652811575592
5,2,146.05652811575592
5,3,146.05652811575592
5,4,146.05652811575592
5,5,146.05652811575592
5,6,146.05652811575592
5,7,146.05652811575592
5,8,146.05652811575592
5,9,146.05652811575592
5,10,186.32633803275982
5,11,186.32633803275982
5,12,186.32633803275982
5,13,228.94652642305235
5,14,228.94652642305235
5,15,228.94652642305235
5,16,228.94652642305235
5,17,186.32633803275982
5,18,186.32633803275982
5,19,186.32633803275982
5,20,146.05652811575592
5,21,146.05652811575592
5,22,146.05652811575592
5,23,146.05652811575592
6,0,141.00987068985336
6,1,141.00987068985336
6,2,141.00987068985336
6,3,141.00987068985336
6,4,141.00987068985336
6,5,141.00987068985336
6,6,141.00987068985336
6,7,141.00987068985336
6,8,141.00987068985336
6,9,141.00987068985336
6,10,205.12087761097663
6,11,205.12087761097663
6,12,205.12087761097663
6,13,251.72590444157785
6,14,251.72590444157785
6,15,251.72590444157785
