Month,Hour,Cost
1,0,62.836381003499774
1,1,62.836381003499774
1,2,62.836381003499774
1,3,62.836381003499774
1,4,62.836381003499774
1,5,62.836381003499774
1,6,62.836381003499774
1,7,62.836381003499774
1,8,75.0064175193458
1,9,75.0064175193458
1,10,75.0064175193458
1,11,75.0064175193458
1,12,75.0064175193458
1,13,76.6549036988636
1,14,76.6549036988636
1,15,76.6549036988636
1,16,76.6549036988636
1,17,76.6549036988636
1,18,75.0064175193458
1,19,75.0064175193458
1,20,75.0064175193458
1,21,75.0064175193458
1,22,62.836381003499774
1,23,62.836381003499774
2,0,64.80152994166681
2,1,64.80152994166681
2,2,64.80152994166681
2,3,64.80152994166681
2,4,64.80152994166681
2,5,64.80152994166681
2,6,64.80152994166681
2,7,64.80152994166681
2,8,75.98926708357534
2,9,75.98926708357534
2,10,75.98926708357534
2,11,75.98926708357534
2,12,75.98926708357534
2,13,77.75495101516852
2,14,77.75495101516852
2,15,77.75495101516852
2,16,77.75495101516852
2,17,77.75495101516852
2,18,75.98926708357534
2,19,75.98926708357534
2,20,75.98926708357534
2,21,75.98926708357534
2,22,64.80152994166681
2,23,64.80152994166681
3,0,62.971310254172295
3,1,62.971310254172295
3,2,62.971310254172295
3,3,62.971310254172295
3,4,62.971310254172295
3,5,62.971310254172295
3,6,62.971310254172295
3,7,62.971310254172295
3,8,74.16307612768445
3,9,74.16307612768445
3,10,74.16307612768445
3,11,74.16307612768445
3,12,74.16307612768445
3,13,75.60156173015923
3,14,75.60156173015923
3,15,75.60156173015923
3,16,75.60156173015923
3,17,75.60156173015923
3,18,74.16307612768445
3,19,74.16307612768445
3,20,74.16307612768445
3,21,74.16307612768445
3,22,62.971310254172295
3,23,62.971310254172295
4,0,64.073568118425
4,1,64.073568118425
4,2,64.073568118425
4,3,64.073568118425
4,4,64.073568118425
4,5,64.073568118425
4,6,64.073568118425
4,7,64.073568118425
4,8,75.35755969587632
4,9,75.35755969587632
4,10,75.35755969587632
4,11,75.35755969587632
4,12,75.35755969587632
4,13,78.1169812543005
4,14,78.1169812543005
4,15,78.1169812543005
4,16,78.1169812543005
4,17,78.1169812543005
4,18,75.35755969587632
4,19,75.35755969587632
4,20,75.35755969587632
4,21,75.35755969587632
4,22,64.073568118425
4,23,64.073568118425
5,0,62.38694977359005
5,1,62.38694977359005
5,2,62.38694977359005
5,3,62.38694977359005
5,4,62.38694977359005
5,5,62.38694977359005
5,6,62.38694977359005
5,7,62.38694977359005
5,8,74.42222333165019
5,9,74.42222333165019
5,10,74.42222333165019
5,11,74.42222333165019
5,12,74.42222333165019
5,13,77.44661515328265
5,14,77.44661515328265
5,15,77.44661515328265
5,16,77.44661515328265
5,17,77.44661515328265
5,18,74.42222333165019
5,19,74.42222333165019
5,20,74.42222333165019
5,21,74.42222333165019
5,22,62.38694977359005
5,23,62.38694977359005
6,0,62.22158306609645
6,1,62.22158306609645
6,2,62.22158306609645
6,3,62.22158306609645
6,4,62.22158306609645
6,5,62.22158306609645
6,6,62.22158306609645
6,7,62.22158306609645
6,8,93.93973373088842
6,9,93.93973373088842
6,10,93.93973373088842
6,11,93.93973373088842
6,12,93.93973373088842
6,13,180.61597659179202
6,14,180.61597659179202
6,15,180.61597659179202
6,16,180.61597659179202
6,17,180.61597659179202
6,18,93.93973373088842
6,19,93.93973373088842
6,20,93.93973373088842
6,21,93.93973373088842
6,22,62.22158306609645
6,23,62.22158306609645
7,0,61.96238799575426
7,1,61.96238799575426
7,2,61.96238799575426
7,3,61.96238799575426
7,4,61.96238799575426
7,5,61.96238799575426
7,6,61.96238799575426
7,7,61.96238799575426
7,8,92.97612289983785
7,9,92.97612289983785
7,10,92.97612289983785
7,11,92.97612289983785
7,12,92.97612289983785
7,13,174.99822467101117
7,14,174.99822467101117
7,15,174.99822467101117
7,16,174.99822467101117
7,17,174.99822467101117
7,18,92.97612289983785
7,19,92.97612289983785
7,20,92.97612289983785
7,21,92.97612289983785
7,22,61.96238799575426
7,23,61.96238799575426
8,0,62.097086106378
8,1,62.097086106378
8,2,62.097086106378
8,3,62.097086106378
8,4,62.097086106378
8,5,62.097086106378
8,6,62.097086106378
8,7,62.097086106378
8,8,92.02733444347844
8,9,92.02733444347844
8,10,92.02733444347844
8,11,92.02733444347844
8,12,92.02733444347844
8,13,177.89192405558003
8,14,177.89192405558003
8,15,177.89192405558003
8,16,177.89192405558003
8,17,177.89192405558003
8,18,92.02733444347844
8,19,92.02733444347844
8,20,92.02733444347844
8,21,92.02733444347844
8,22,62.097086106378
8,23,62.097086106378
9,0,62.47783883582441
9,1,62.47783883582441
9,2,62.47783883582441
9,3,62.47783883582441
9,4,62.47783883582441
9,5,62.47783883582441
9,6,62.47783883582441
9,7,62.47783883582441
9,8,93.77731924210204
9,9,93.77731924210204
9,10,93.77731924210204
9,11,93.77731924210204
9,12,93.77731924210204
9,13,174.4102053039918
9,14,174.4102053039918
9,15,174.4102053039918
9,16,174.4102053039918
9,17,174.4102053039918
9,18,93.77731924210204
9,19,93.77731924210204
9,20,93.77731924210204
9,21,93.77731924210204
9,22,62.47783883582441
9,23,62.47783883582441
10,0,61.94618870960341
10,1,61.94618870960341
10,2,61.94618870960341
10,3,61.94618870960341
10,4,61.94618870960341
10,5,61.94618870960341
10,6,61.94618870960341
10,7,61.94618870960341
10,8,75.42155322634503
10,9,75.42155322634503
10,10,75.42155322634503
10,11,75.42155322634503
10,12,75.42155322634503
10,13,77.81008457826707
10,14,77.81008457826707
10,15,77.81008457826707
10,16,77.81008457826707
10,17,77.81008457826707
10,18,75.42155322634503
10,19,75.42155322634503
10,20,75.42155322634503
10,21,75.42155322634503
10,22,61.94618870960341
10,23,61.94618870960341
11,0,62.59784605844581
11,1,62.59784605844581
11,2,62.59784605844581
11,3,62.59784605844581
11,4,62.59784605844581
11,5,62.59784605844581
11,6,62.59784605844581
11,7,62.59784605844581
11,8,75.95841808207686
11,9,75.95841808207686
11,10,75.95841808207686
11,11,75.95841808207686
11,12,75.95841808207686
11,13,78.60154852221976
11,14,78.60154852221976
11,15,78.60154852221976
11,16,78.60154852221976
11,17,78.60154852221976
11,18,75.95841808207686
11,19,75.95841808207686
11,20,75.95841808207686
11,21,75.95841808207686
11,22,62.59784605844581
11,23,62.59784605844581
12,0,0.0268817204301075
12,1,0.0268817204301075
12,2,0.0268817204301075
12,3,0.0268817204301075
12,4,0.0268817204301075
12,5,0.0268817204301075
12,6,0.0268817204301075
12,7,0.0268817204301075
12,8,0.0268817204301075
12,9,0.0268817204301075
12,10,0.0268817204301075
12,11,0.0268817204301075
12,12,0.0268817204301075
12,13,0.0268817204301075
12,14,0.0268817204301075
12,15,0.0268817204301075
12,16,0.0268817204301075
12,17,0.0268817204301075
12,18,0.0268817204301075
12,19,0.0268817204301075
12,20,0.0268817204301075
12,21,0.0268817204301075
12,22,0.0268817204301075
