Month,Hour,Cost
1,0,117.05516402789326
1,1,117.05516402789326
1,2,117.05516402789326
1,3,117.05516402789326
1,4,117.05516402789326
1,5,117.05516402789326
1,6,140.26050424130233
1,7,140.26050424130233
1,8,140.26050424130233
1,9,140.26050424130233
1,10,140.26050424130233
1,11,140.26050424130233
1,12,140.26050424130233
1,13,140.26050424130233
1,14,117.05516402789326
1,15,117.05516402789326
1,16,117.05516402789326
1,17,117.05516402789326
1,18,140.26050424130233
1,19,140.26050424130233
1,20,140.26050424130233
1,21,117.05516402789326
1,22,117.05516402789326
1,23,117.05516402789326
2,0,117.26837590661157
2,1,117.26837590661157
2,2,117.26837590661157
2,3,117.26837590661157
2,4,117.26837590661157
2,5,117.26837590661157
2,6,142.07525116179576
2,7,142.07525116179576
2,8,142.07525116179576
2,9,142.07525116179576
2,10,142.07525116179576
2,11,142.07525116179576
2,12,142.07525116179576
2,13,142.07525116179576
2,14,117.26837590661157
2,15,117.26837590661157
2,16,117.26837590661157
2,17,117.26837590661157
2,18,142.07525116179576
2,19,142.07525116179576
2,20,142.07525116179576
2,21,117.26837590661157
2,22,117.26837590661157
2,23,117.26837590661157
3,0,118.40478176449544
3,1,118.40478176449544
3,2,118.40478176449544
3,3,118.40478176449544
3,4,118.40478176449544
3,5,118.40478176449544
3,6,144.74451577648796
3,7,144.74451577648796
3,8,144.74451577648796
3,9,144.74451577648796
3,10,144.74451577648796
3,11,144.74451577648796
3,12,144.74451577648796
3,13,144.74451577648796
3,14,118.40478176449544
3,15,118.40478176449544
3,16,118.40478176449544
3,17,118.40478176449544
3,18,144.74451577648796
3,19,144.74451577648796
3,20,144.74451577648796
3,21,118.40478176449544
3,22,118.40478176449544
3,23,118.40478176449544
4,0,121.62912560561855
4,1,121.62912560561855
4,2,121.62912560561855
4,3,121.62912560561855
4,4,121.62912560561855
4,5,121.62912560561855
4,6,121.62912560561855
4,7,121.62912560561855
4,8,121.62912560561855
4,9,121.62912560561855
4,10,121.62912560561855
4,11,121.62912560561855
4,12,121.62912560561855
4,13,121.62912560561855
4,14,121.62912560561855
4,15,121.62912560561855
4,16,121.62912560561855
4,17,121.62912560561855
4,18,121.62912560561855
4,19,121.62912560561855
4,20,121.62912560561855
4,21,121.62912560561855
4,22,121.62912560561855
4,23,121.62912560561855
5,0,121.57500904796068
5,1,121.57500904796068
5,2,121.57500904796068
5,3,121.57500904796068
5,4,121.57500904796068
5,5,121.57500904796068
5,6,121.57500904796068
5,7,121.57500904796068
5,8,121.57500904796068
5,9,121.57500904796068
5,10,121.57500904796068
5,11,121.57500904796068
5,12,121.57500904796068
5,13,121.57500904796068
5,14,121.57500904796068
5,15,121.57500904796068
5,16,121.57500904796068
5,17,121.57500904796068
5,18,121.57500904796068
5,19,121.57500904796068
5,20,121.57500904796068
5,21,121.57500904796068
5,22,121.57500904796068
5,23,121.57500904796068
6,0,114.79620151251612
6,1,114.79620151251612
6,2,114.79620151251612
6,3,114.79620151251612
6,4,114.79620151251612
6,5,114.79620151251612
6,6,114.79620151251612
6,7,114.79620151251612
6,8,114.79620151251612
6,9,114.79620151251612
6,10,114.79620151251612
6,11,183.11658887416988
6,12,183.11658887416988
6,13,183.11658887416988
6,14,183.11658887416988
6,15,183.11658887416988
6,16,183.11658887416988
6,17,183.11658887416988
6,18,114.79620151251612
6,19,114.79620151251612
6,20,114.79620151251612
6,21,114.79620151251612
6,22,114.79620151251612
6,23,114.79620151251612
7,0,114.82007873293676
7,1,114.82007873293676
7,2,114.82007873293676
7,3,114.82007873293676
7,4,114.82007873293676
7,5,114.82007873293676
7,6,114.82007873293676
7,7,114.82007873293676
7,8,114.82007873293676
7,9,114.82007873293676
7,10,114.82007873293676
7,11,179.4070900417516
7,12,179.4070900417516
7,13,179.4070900417516
7,14,179.4070900417516
7,15,179.4070900417516
7,16,179.4070900417516
7,17,179.4070900417516
7,18,114.82007873293676
7,19,114.82007873293676
7,20,114.82007873293676
7,21,114.82007873293676
7,22,114.82007873293676
7,23,114.82007873293676
8,0,115.01558400247346
8,1,115.01558400247346
8,2,115.01558400247346
8,3,115.01558400247346
8,4,115.01558400247346
8,5,115.01558400247346
8,6,115.01558400247346
8,7,115.01558400247346
8,8,115.01558400247346
8,9,115.01558400247346
8,10,115.01558400247346
8,11,181.32070520389655
8,12,181.32070520389655
8,13,181.32070520389655
8,14,181.32070520389655
8,15,181.32070520389655
8,16,181.32070520389655
8,17,181.32070520389655
8,18,115.01558400247346
8,19,115.01558400247346
8,20,115.01558400247346
8,21,115.01558400247346
8,22,115.01558400247346
8,23,115.01558400247346
9,0,115.10599847271824
9,1,115.10599847271824
9,2,115.10599847271824
9,3,115.10599847271824
9,4,115.10599847271824
9,5,115.10599847271824
9,6,115.10599847271824
9,7,115.10599847271824
9,8,115.10599847271824
9,9,115.10599847271824
9,10,115.10599847271824
9,11,182.2644956728546
9,12,182.2644956728546
9,13,182.2644956728546
9,14,182.2644956728546
9,15,182.2644956728546
9,16,182.2644956728546
9,17,182.2644956728546
9,18,115.10599847271824
9,19,115.10599847271824
9,20,115.10599847271824
9,21,115.10599847271824
9,22,115.10599847271824
9,23,115.10599847271824
10,0,121.4370595374412
10,1,121.4370595374412
10,2,121.4370595374412
10,3,121.4370595374412
10,4,121.4370595374412
10,5,121.4370595374412
10,6,121.4370595374412
10,7,121.4370595374412
10,8,121.4370595374412
10,9,121.4370595374412
10,10,121.4370595374412
10,11,121.4370595374412
10,12,121.4370595374412
10,13,121.4370595374412
10,14,121.4370595374412
10,15,121.4370595374412
10,16,121.4370595374412
10,17,121.4370595374412
10,18,121.4370595374412
10,19,121.4370595374412
10,20,121.4370595374412
10,21,121.4370595374412
10,22,121.4370595374412
10,23,121.4370595374412
11,0,121.5537582343688
11,1,121.5537582343688
11,2,121.5537582343688
11,3,121.5537582343688
11,4,121.5537582343688
11,5,121.5537582343688
11,6,121.5537582343688
11,7,121.5537582343688
11,8,121.5537582343688
11,9,121.5537582343688
11,10,121.5537582343688
11,11,121.5537582343688
11,12,121.5537582343688
11,13,121.5537582343688
11,14,121.5537582343688
11,15,121.5537582343688
11,16,121.5537582343688
11,17,121.5537582343688
11,18,121.5537582343688
11,19,121.5537582343688
11,20,121.5537582343688
11,21,121.5537582343688
11,22,121.5537582343688
11,23,121.5537582343688
12,0,0.44489247311827945
12,1,0.44489247311827945
12,2,0.44489247311827945
12,3,0.44489247311827945
12,4,0.44489247311827945
12,5,0.44489247311827945
12,6,0.44489247311827945
12,7,0.44489247311827945
12,8,0.44489247311827945
12,9,0.44489247311827945
12,10,0.44489247311827945
12,11,0.44489247311827945
12,12,0.44489247311827945
12,13,0.44489247311827945
12,14,0.44489247311827945
12,15,0.44489247311827945
12,16,0.44489247311827945
12,17,0.44489247311827945
12,18,0.44489247311827945
12,19,0.44489247311827945
12,20,0.44489247311827945
12,21,0.44489247311827945
12,22,0.44489247311827945
12,23,0.44489247311827945
