Month,Hour,Cost
1,0,59.528653527841755
1,1,59.528653527841755
1,2,59.528653527841755
1,3,59.528653527841755
1,4,59.528653527841755
1,5,59.528653527841755
1,6,59.528653527841755
1,7,126.54615216989754
1,8,126.54615216989754
1,9,126.54615216989754
1,10,126.54615216989754
1,11,126.54615216989754
1,12,126.54615216989754
1,13,126.54615216989754
1,14,126.54615216989754
1,15,126.54615216989754
1,16,126.54615216989754
1,17,126.54615216989754
1,18,126.54615216989754
1,19,126.54615216989754
1,20,126.54615216989754
1,21,126.54615216989754
1,22,126.54615216989754
1,23,59.528653527841755
2,0,59.549823231482165
2,1,59.549823231482165
2,2,59.549823231482165
2,3,59.549823231482165
2,4,59.549823231482165
2,5,59.549823231482165
2,6,59.549823231482165
2,7,132.36526517056862
2,8,132.36526517056862
2,9,132.36526517056862
2,10,132.36526517056862
2,11,132.36526517056862
2,12,132.36526517056862
2,13,132.36526517056862
2,14,132.36526517056862
2,15,132.36526517056862
2,16,132.36526517056862
2,17,132.36526517056862
2,18,132.36526517056862
2,19,132.36526517056862
2,20,132.36526517056862
2,21,132.36526517056862
2,22,132.36526517056862
2,23,59.549823231482165
3,0,58.26717883954344
3,1,58.26717883954344
3,2,58.26717883954344
3,3,58.26717883954344
3,4,58.26717883954344
3,5,58.26717883954344
3,6,58.26717883954344
3,7,126.89802338046167
3,8,126.89802338046167
3,9,126.89802338046167
3,10,126.89802338046167
3,11,126.89802338046167
3,12,126.89802338046167
3,13,126.89802338046167
3,14,126.89802338046167
3,15,126.89802338046167
3,16,126.89802338046167
3,17,126.89802338046167
3,18,126.89802338046167
3,19,126.89802338046167
3,20,126.89802338046167
3,21,126.89802338046167
3,22,126.89802338046167
3,23,58.26717883954344
4,0,69.0684990885628
4,1,69.0684990885628
4,2,69.0684990885628
4,3,69.0684990885628
4,4,69.0684990885628
4,5,69.0684990885628
4,6,69.0684990885628
4,7,69.0684990885628
4,8,69.0684990885628
4,9,69.0684990885628
4,10,69.0684990885628
4,11,69.0684990885628
4,12,69.0684990885628
4,13,69.0684990885628
4,14,69.0684990885628
4,15,69.0684990885628
4,16,69.0684990885628
4,17,69.0684990885628
4,18,69.0684990885628
4,19,69.0684990885628
4,20,69.0684990885628
4,21,69.0684990885628
4,22,69.0684990885628
4,23,69.0684990885628
5,0,68.50142252191202
5,1,68.50142252191202
5,2,68.50142252191202
5,3,68.50142252191202
5,4,68.50142252191202
5,5,68.50142252191202
5,6,68.50142252191202
5,7,68.50142252191202
5,8,68.50142252191202
5,9,68.50142252191202
5,10,68.50142252191202
5,11,68.50142252191202
5,12,68.50142252191202
5,13,68.50142252191202
5,14,68.50142252191202
5,15,68.50142252191202
5,16,68.50142252191202
5,17,68.50142252191202
5,18,68.50142252191202
5,19,68.50142252191202
5,20,68.50142252191202
5,21,68.50142252191202
5,22,68.50142252191202
5,23,68.50142252191202
6,0,56.26647407741404
6,1,56.26647407741404
6,2,56.26647407741404
6,3,56.26647407741404
6,4,56.26647407741404
6,5,56.26647407741404
6,6,56.26647407741404
6,7,124.13677858282038
6,8,124.13677858282038
6,9,124.13677858282038
6,10,124.13677858282038
6,11,124.13677858282038
6,12,124.13677858282038
6,13,124.13677858282038
6,14,124.13677858282038
6,15,124.13677858282038
6,16,124.13677858282038
6,17,124.13677858282038
6,18,124.13677858282038
6,19,124.13677858282038
6,20,124.13677858282038
6,21,124.13677858282038
