Month,Hour,Cost
1,0,44.47683370511195
1,1,44.47683370511195
1,2,44.47683370511195
1,3,44.47683370511195
1,4,44.47683370511195
1,5,44.47683370511195
1,6,85.41401338894828
1,7,85.41401338894828
1,8,85.41401338894828
1,9,85.41401338894828
1,10,85.41401338894828
1,11,85.41401338894828
1,12,85.41401338894828
1,13,85.41401338894828
1,14,85.41401338894828
1,15,85.41401338894828
1,16,85.41401338894828
1,17,85.41401338894828
1,18,85.41401338894828
1,19,85.41401338894828
1,20,85.41401338894828
1,21,85.41401338894828
1,22,35.86914647974207
1,23,35.86914647974207
2,0,46.18813456056218
2,1,46.18813456056218
2,2,46.18813456056218
2,3,46.18813456056218
2,4,46.18813456056218
2,5,46.18813456056218
2,6,88.20065271658655
2,7,88.20065271658655
2,8,88.20065271658655
2,9,88.20065271658655
2,10,88.20065271658655
2,11,88.20065271658655
2,12,88.20065271658655
2,13,88.20065271658655
2,14,88.20065271658655
2,15,88.20065271658655
2,16,88.20065271658655
2,17,88.20065271658655
2,18,88.20065271658655
2,19,88.20065271658655
2,20,88.20065271658655
2,21,88.20065271658655
2,22,36.65027099327904
2,23,36.65027099327904
3,0,45.12309462804254
3,1,45.12309462804254
3,2,45.12309462804254
3,3,45.12309462804254
3,4,45.12309462804254
3,5,45.12309462804254
3,6,84.15743620206567
3,7,84.15743620206567
3,8,84.15743620206567
3,9,84.15743620206567
3,10,84.15743620206567
3,11,84.15743620206567
3,12,84.15743620206567
3,13,84.15743620206567
3,14,84.15743620206567
3,15,84.15743620206567
3,16,84.15743620206567
3,17,84.15743620206567
3,18,84.15743620206567
3,19,84.15743620206567
3,20,84.15743620206567
3,21,84.15743620206567
3,22,36.32369773083466
3,23,36.32369773083466
4,0,45.28978878274059
4,1,45.28978878274059
4,2,45.28978878274059
4,3,45.28978878274059
4,4,45.28978878274059
4,5,45.28978878274059
4,6,87.21763926149454
4,7,87.21763926149454
4,8,87.21763926149454
4,9,87.21763926149454
4,10,87.21763926149454
4,11,87.21763926149454
4,12,87.21763926149454
4,13,87.21763926149454
4,14,87.21763926149454
4,15,87.21763926149454
4,16,87.21763926149454
4,17,87.21763926149454
4,18,87.21763926149454
4,19,87.21763926149454
4,20,87.21763926149454
4,21,87.21763926149454
4,22,36.259073681051426
4,23,36.259073681051426
5,0,44.685704553724726
5,1,44.685704553724726
5,2,44.685704553724726
5,3,44.685704553724726
5,4,44.685704553724726
5,5,44.685704553724726
5,6,84.78956612513196
5,7,84.78956612513196
5,8,84.78956612513196
5,9,84.78956612513196
5,10,84.78956612513196
5,11,84.78956612513196
5,12,84.78956612513196
5,13,84.78956612513196
5,14,84.78956612513196
5,15,84.78956612513196
5,16,84.78956612513196
5,17,84.78956612513196
5,18,84.78956612513196
5,19,84.78956612513196
5,20,84.78956612513196
5,21,84.78956612513196
5,22,36.04834330206792
5,23,36.04834330206792
6,0,43.89107284862871
6,1,43.89107284862871
6,2,43.89107284862871
6,3,43.89107284862871
6,4,43.89107284862871
6,5,43.89107284862871
6,6,86.56915808394082
6,7,86.56915808394082
6,8,86.56915808394082
6,9,86.56915808394082
6,10,86.56915808394082
6,11,86.56915808394082
6,12,86.56915808394082
6,13,86.56915808394082
6,14,86.56915808394082
6,15,86.56915808394082
6,16,86.56915808394082
6,17,86.56915808394082
6,18,86.56915808394082
6,19,86.56915808394082
6,20,86.56915808394082
6,21,86.56915808394082
6,22,35.73477009605327
6,23,35.73477009605327
7,0,44.11818126025066
7,1,44.11818126025066
7,2,44.11818126025066
7,3,44.11818126025066
7,4,44.11818126025066
7,5,44.11818126025066
7,6,85.3235400942735
7,7,85.3235400942735
7,8,85.3235400942735
7,9,85.3235400942735
7,10,85.3235400942735
7,11,85.3235400942735
7,12,85.3235400942735
7,13,85.3235400942735
7,14,85.3235400942735
7,15,85.3235400942735
7,16,85.3235400942735
7,17,85.3235400942735
7,18,85.3235400942735
7,19,85.3235400942735
7,20,85.3235400942735
7,21,85.3235400942735
7,22,35.908161466968174
7,23,35.908161466968174
8,0,44.47963247474072
8,1,44.47963247474072
8,2,44.47963247474072
8,3,44.47963247474072
8,4,44.47963247474072
8,5,44.47963247474072
8,6,83.89311633826816
8,7,83.89311633826816
8,8,83.89311633826816
8,9,83.89311633826816
8,10,83.89311633826816
8,11,83.89311633826816
8,12,83.89311633826816
8,13,83.89311633826816
8,14,83.89311633826816
8,15,83.89311633826816
8,16,83.89311633826816
8,17,83.89311633826816
8,18,83.89311633826816
8,19,83.89311633826816
8,20,83.89311633826816
8,21,83.89311633826816
8,22,36.33157566531269
8,23,36.33157566531269
9,0,44.02313973824855
9,1,44.02313973824855
9,2,44.02313973824855
9,3,44.02313973824855
9,4,44.02313973824855
9,5,44.02313973824855
9,6,86.21170488828876
9,7,86.21170488828876
9,8,86.21170488828876
9,9,86.21170488828876
9,10,86.21170488828876
9,11,86.21170488828876
9,12,86.21170488828876
9,13,86.21170488828876
9,14,86.21170488828876
9,15,86.21170488828876
9,16,86.21170488828876
9,17,86.21170488828876
9,18,86.21170488828876
9,19,86.21170488828876
9,20,86.21170488828876
9,21,86.21170488828876
9,22,35.78220977979774
9,23,35.78220977979774
10,0,43.2257723794531
10,1,43.2257723794531
10,2,43.2257723794531
10,3,43.2257723794531
10,4,43.2257723794531
10,5,43.2257723794531
10,6,85.92272412384227
10,7,85.92272412384227
10,8,85.92272412384227
10,9,85.92272412384227
10,10,85.92272412384227
