Month,Hour,Cost
1,0,73.66120559439966
1,1,73.66120559439966
1,2,73.66120559439966
1,3,73.66120559439966
1,4,73.66120559439966
1,5,73.66120559439966
1,6,73.66120559439966
1,7,782.6925656749991
1,8,782.6925656749991
1,9,782.6925656749991
1,10,782.6925656749991
1,11,782.6925656749991
1,12,782.6925656749991
1,13,782.6925656749991
1,14,782.6925656749991
1,15,782.6925656749991
1,16,782.6925656749991
1,17,782.6925656749991
1,18,782.6925656749991
1,19,782.6925656749991
1,20,782.6925656749991
1,21,73.66120559439966
1,22,73.66120559439966
1,23,73.66120559439966
2,0,76.53174258610777
2,1,76.53174258610777
2,2,76.53174258610777
2,3,76.53174258610777
2,4,76.53174258610777
2,5,76.53174258610777
2,6,76.53174258610777
2,7,790.7231449221316
2,8,790.7231449221316
2,9,790.7231449221316
2,10,790.7231449221316
2,11,790.7231449221316
2,12,790.7231449221316
2,13,790.7231449221316
2,14,790.7231449221316
2,15,790.7231449221316
2,16,790.7231449221316
2,17,790.7231449221316
2,18,790.7231449221316
2,19,790.7231449221316
2,20,790.7231449221316
2,21,76.53174258610777
2,22,76.53174258610777
2,23,76.53174258610777
3,0,72.61689817657734
3,1,72.61689817657734
3,2,72.61689817657734
3,3,72.61689817657734
3,4,72.61689817657734
3,5,72.61689817657734
3,6,72.61689817657734
3,7,810.112212203573
3,8,810.112212203573
3,9,810.112212203573
3,10,810.112212203573
3,11,810.112212203573
3,12,810.112212203573
3,13,810.112212203573
3,14,810.112212203573
3,15,810.112212203573
3,16,810.112212203573
3,17,810.112212203573
3,18,810.112212203573
3,19,810.112212203573
3,20,810.112212203573
3,21,72.61689817657734
3,22,72.61689817657734
3,23,72.61689817657734
4,0,75.74320663829513
4,1,75.74320663829513
4,2,75.74320663829513
4,3,75.74320663829513
4,4,75.74320663829513
4,5,75.74320663829513
4,6,75.74320663829513
4,7,746.8513170265368
4,8,746.8513170265368
4,9,746.8513170265368
4,10,746.8513170265368
4,11,746.8513170265368
4,12,746.8513170265368
4,13,746.8513170265368
4,14,746.8513170265368
4,15,746.8513170265368
4,16,746.8513170265368
4,17,746.8513170265368
4,18,746.8513170265368
4,19,746.8513170265368
4,20,746.8513170265368
4,21,75.74320663829513
4,22,75.74320663829513
4,23,75.74320663829513
5,0,72.93157891339706
5,1,72.93157891339706
5,2,72.93157891339706
5,3,72.93157891339706
5,4,72.93157891339706
5,5,72.93157891339706
5,6,72.93157891339706
5,7,813.040935694381
5,8,813.040935694381
5,9,813.040935694381
5,10,813.040935694381
5,11,813.040935694381
5,12,813.040935694381
5,13,813.040935694381
5,14,813.040935694381
5,15,813.040935694381
5,16,813.040935694381
5,17,813.040935694381
5,18,813.040935694381
5,19,813.040935694381
5,20,813.040935694381
5,21,72.93157891339706
5,22,72.93157891339706
5,23,72.93157891339706
6,0,73.65265326674256
6,1,73.65265326674256
6,2,73.65265326674256
6,3,73.65265326674256
6,4,73.65265326674256
6,5,73.65265326674256
6,6,73.65265326674256
6,7,821.1863577820848
6,8,821.1863577820848
6,9,821.1863577820848
6,10,821.1863577820848
6,11,821.1863577820848
6,12,821.1863577820848
6,13,821.1863577820848
6,14,821.1863577820848
6,15,821.1863577820848
6,16,821.1863577820848
6,17,821.1863577820848
6,18,821.1863577820848
6,19,821.1863577820848
6,20,821.1863577820848
6,21,73.65265326674256
6,22,73.65265326674256
6,23,73.65265326674256
7,0,73.03592370226343
7,1,73.03592370226343
7,2,73.03592370226343
7,3,73.03592370226343
7,4,73.03592370226343
7,5,73.03592370226343
7,6,73.03592370226343
7,7,767.2402650625598
7,8,767.2402650625598
7,9,767.2402650625598
7,10,767.2402650625598
7,11,767.2402650625598
7,12,767.2402650625598
7,13,767.2402650625598
7,14,767.2402650625598
7,15,767.2402650625598
7,16,767.2402650625598
7,17,767.2402650625598
7,18,767.2402650625598
7,19,767.2402650625598
7,20,767.2402650625598
7,21,73.03592370226343
7,22,73.03592370226343
7,23,73.03592370226343
8,0,72.13516650862223
8,1,72.13516650862223
8,2,72.13516650862223
8,3,72.13516650862223
8,4,72.13516650862223
8,5,72.13516650862223
8,6,72.13516650862223
8,7,813.9781301038064
8,8,813.9781301038064
8,9,813.9781301038064
8,10,813.9781301038064
8,11,813.9781301038064
8,12,813.9781301038064
8,13,813.9781301038064
8,14,813.9781301038064
8,15,813.9781301038064
8,16,813.9781301038064
8,17,813.9781301038064
8,18,813.9781301038064
8,19,813.9781301038064
8,20,813.9781301038064
8,21,72.13516650862223
8,22,72.13516650862223
8,23,72.13516650862223
9,0,73.72985482799855
9,1,73.72985482799855
9,2,73.72985482799855
9,3,73.72985482799855
9,4,73.72985482799855
9,5,73.72985482799855
9,6,73.72985482799855
9,7,785.9157589738974
9,8,785.9157589738974
9,9,785.9157589738974
9,10,785.9157589738974
9,11,785.9157589738974
9,12,785.9157589738974
9,13,785.9157589738974
9,14,785.9157589738974
9,15,785.9157589738974
9,16,785.9157589738974
9,17,785.9157589738974
9,18,785.9157589738974
9,19,785.9157589738974
9,20,785.9157589738974
9,21,73.72985482799855
9,22,73.72985482799855
9,23,73.72985482799855
10,0,72.9739027294528
10,1,72.9739027294528
10,2,72.9739027294528
10,3,72.9739027294528
10,4,72.9739027294528
10,5,72.9739027294528
10,6,72.9739027294528
10,7,796.1657733630705
10,8,796.1657733630705
10,9,796.1657733630705
10,10,796.1657733630705
10,11,796.1657733630705
10,12,796.1657733630705
10,13,796.1657733630705
10,14,796.1657733630705
10,15,796.1657733630705
10,16,796.1657733630705
10,17,796.1657733630705
10,18,796.1657733630705
10,19,796.1657733630705
10,20,796.1657733630705
10,21,72.9739027294528
10,22,72.9739027294528
10,23,72.9739027294528
11,0,74.02571549770352
11,1,74.02571549770352
11,2,74.02571549770352
11,3,74.02571549770352
11,4,74.02571549770352
11,5,74.02571549770352
11,6,74.02571549770352
11,7,821.635220034155
11,8,821.635220034155
11,9,821.635220034155
11,10,821.635220034155
11,11,821.635220034155
11,12,821.635220034155
11,13,821.635220034155
11,14,821.635220034155
11,15,821.635220034155
11,16,821.635220034155
11,17,821.635220034155
11,18,821.635220034155
11,19,821.635220034155
11,20,821.635220034155
11,21,74.02571549770352
11,22,74.02571549770352
11,23,74.02571549770352
12,0,0.0331317204301075
12,1,0.0331317204301075
12,2,0.0331317204301075
12,3,0.0331317204301075
12,4,0.0331317204301075
12,5,0.0331317204301075
12,6,0.0331317204301075
12,7,0.0331317204301075
12,8,0.0331317204301075
12,9,0.0331317204301075
12,10,0.0331317204301075
12,11,0.0331317204301075
12,12,0.0331317204301075
12,13,0.0331317204301075
12,14,0.0331317204301075
12,15,0.0331317204301075
12,16,0.0331317204301075
12,17,0.0331317204301075
12,18,0.0331317204301075
12,19,0.0331317204301075
12,20,0.0331317204301075
12,21,0.0331317204301075
12,22,0.0331317204301075
12,23,0.0331317204301075
