Month,Hour,Cost
1,0,65.27791142972534
1,1,65.27791142972534
1,2,65.27791142972534
1,3,65.27791142972534
1,4,65.27791142972534
1,5,65.27791142972534
1,6,65.27791142972534
1,7,93.3524566060887
1,8,93.3524566060887
1,9,93.3524566060887
1,10,93.3524566060887
1,11,93.3524566060887
1,12,93.3524566060887
1,13,93.3524566060887
1,14,93.3524566060887
1,15,93.3524566060887
1,16,93.3524566060887
1,17,93.3524566060887
1,18,93.3524566060887
1,19,93.3524566060887
1,20,93.3524566060887
1,21,93.3524566060887
1,22,65.27791142972534
1,23,65.27791142972534
2,0,66.99773319805136
2,1,66.99773319805136
2,2,66.99773319805136
2,3,66.99773319805136
2,4,66.99773319805136
2,5,66.99773319805136
2,6,66.99773319805136
2,7,95.64754534873182
2,8,95.64754534873182
2,9,95.64754534873182
2,10,95.64754534873182
2,11,95.64754534873182
2,12,95.64754534873182
2,13,95.64754534873182
2,14,95.64754534873182
2,15,95.64754534873182
2,16,95.64754534873182
2,17,95.64754534873182
2,18,95.64754534873182
2,19,95.64754534873182
2,20,95.64754534873182
2,21,95.64754534873182
2,22,66.99773319805136
2,23,66.99773319805136
3,0,64.27742203364855
3,1,64.27742203364855
3,2,64.27742203364855
3,3,64.27742203364855
3,4,64.27742203364855
3,5,64.27742203364855
3,6,64.27742203364855
3,7,94.68654277534435
3,8,94.68654277534435
3,9,94.68654277534435
3,10,94.68654277534435
3,11,94.68654277534435
3,12,94.68654277534435
3,13,94.68654277534435
3,14,94.68654277534435
3,15,94.68654277534435
3,16,94.68654277534435
3,17,94.68654277534435
3,18,94.68654277534435
3,19,94.68654277534435
3,20,94.68654277534435
3,21,94.68654277534435
3,22,64.27742203364855
3,23,64.27742203364855
4,0,66.78752486333501
4,1,66.78752486333501
4,2,66.78752486333501
4,3,66.78752486333501
4,4,66.78752486333501
4,5,66.78752486333501
4,6,66.78752486333501
4,7,95.01665792385798
4,8,95.01665792385798
4,9,95.01665792385798
4,10,95.01665792385798
4,11,95.01665792385798
4,12,95.01665792385798
4,13,95.01665792385798
4,14,95.01665792385798
4,15,95.01665792385798
4,16,95.01665792385798
4,17,95.01665792385798
4,18,95.01665792385798
4,19,95.01665792385798
4,20,95.01665792385798
4,21,95.01665792385798
4,22,66.78752486333501
4,23,66.78752486333501
5,0,62.471702901087134
5,1,62.471702901087134
5,2,62.471702901087134
5,3,62.471702901087134
5,4,62.471702901087134
5,5,62.471702901087134
5,6,62.471702901087134
5,7,94.83812288565503
5,8,94.83812288565503
5,9,94.83812288565503
5,10,94.83812288565503
5,11,94.83812288565503
5,12,94.83812288565503
5,13,94.83812288565503
5,14,94.83812288565503
5,15,94.83812288565503
5,16,94.83812288565503
5,17,94.83812288565503
5,18,94.83812288565503
5,19,94.83812288565503
5,20,94.83812288565503
5,21,94.83812288565503
5,22,62.471702901087134
5,23,62.471702901087134
6,0,61.77720407320344
6,1,61.77720407320344
6,2,61.77720407320344
6,3,61.77720407320344
6,4,61.77720407320344
6,5,61.77720407320344
6,6,61.77720407320344
6,7,94.60325542051098
6,8,94.60325542051098
6,9,94.60325542051098
6,10,94.60325542051098
6,11,94.60325542051098
6,12,94.60325542051098
6,13,94.60325542051098
6,14,94.60325542051098
6,15,94.60325542051098
6,16,94.60325542051098
6,17,94.60325542051098
6,18,94.60325542051098
6,19,94.60325542051098
6,20,94.60325542051098
6,21,94.60325542051098
6,22,61.77720407320344
6,23,61.77720407320344
7,0,62.51232841583266
7,1,62.51232841583266
7,2,62.51232841583266
7,3,62.51232841583266
7,4,62.51232841583266
7,5,62.51232841583266
7,6,62.51232841583266
7,7,90.68661846332188
7,8,90.68661846332188
7,9,90.68661846332188
7,10,90.68661846332188
7,11,90.68661846332188
7,12,90.68661846332188
7,13,90.68661846332188
7,14,90.68661846332188
7,15,90.68661846332188
7,16,90.68661846332188
7,17,90.68661846332188
7,18,90.68661846332188
7,19,90.68661846332188
7,20,90.68661846332188
7,21,90.68661846332188
7,22,62.51232841583266
7,23,62.51232841583266
8,0,63.002593265370955
8,1,63.002593265370955
8,2,63.002593265370955
8,3,63.002593265370955
8,4,63.002593265370955
8,5,63.002593265370955
8,6,63.002593265370955
8,7,90.98413154227994
8,8,90.98413154227994
8,9,90.98413154227994
8,10,90.98413154227994
8,11,90.98413154227994
8,12,90.98413154227994
8,13,90.98413154227994
8,14,90.98413154227994
8,15,90.98413154227994
8,16,90.98413154227994
8,17,90.98413154227994
8,18,90.98413154227994
8,19,90.98413154227994
8,20,90.98413154227994
8,21,90.98413154227994
8,22,63.002593265370955
8,23,63.002593265370955
9,0,63.38897897279722
9,1,63.38897897279722
9,2,63.38897897279722
9,3,63.38897897279722
9,4,63.38897897279722
9,5,63.38897897279722
9,6,63.38897897279722
9,7,93.63715892751279
9,8,93.63715892751279
9,9,93.63715892751279
9,10,93.63715892751279
9,11,93.63715892751279
9,12,93.63715892751279
9,13,93.63715892751279
9,14,93.63715892751279
9,15,93.63715892751279
9,16,93.63715892751279
9,17,93.63715892751279
9,18,93.63715892751279
9,19,93.63715892751279
9,20,93.63715892751279
9,21,93.63715892751279
9,22,63.38897897279722
9,23,63.38897897279722
10,0,64.09340509005057
10,1,64.09340509005057
10,2,64.09340509005057
10,3,64.09340509005057
10,4,64.09340509005057
10,5,64.09340509005057
10,6,64.09340509005057
10,7,94.85617480559057
10,8,94.85617480559057
10,9,94.85617480559057
10,10,94.85617480559057
10,11,94.85617480559057
10,12,94.85617480559057
10,13,94.85617480559057
10,14,94.85617480559057
10,15,94.85617480559057
10,16,94.85617480559057
10,17,94.85617480559057
10,18,94.85617480559057
10,19,94.85617480559057
10,20,94.85617480559057
10,21,94.85617480559057
10,22,64.09340509005057
10,23,64.09340509005057
11,0,65.23909115641173
11,1,65.23909115641173
11,2,65.23909115641173
11,3,65.23909115641173
11,4,65.23909115641173
11,5,65.23909115641173
11,6,65.23909115641173
11,7,97.24238159307444
11,8,97.24238159307444
11,9,97.24238159307444
11,10,97.24238159307444
11,11,97.24238159307444
11,12,97.24238159307444
11,13,97.24238159307444
11,14,97.24238159307444
11,15,97.24238159307444
11,16,97.24238159307444
11,17,97.24238159307444
11,18,97.24238159307444
11,19,97.24238159307444
11,20,97.24238159307444
11,21,97.24238159307444
11,22,65.23909115641173
11,23,65.23909115641173
12,0,1.02002688172043
12,1,1.02002688172043
12,2,1.02002688172043
12,3,1.02002688172043
12,4,1.02002688172043
12,5,1.02002688172043
12,6,1.02002688172043
12,7,1.02002688172043
12,8,1.02002688172043
12,9,1.02002688172043
12,10,1.02002688172043
12,11,1.02002688172043
12,12,1.02002688172043
12,13,1.02002688172043
12,14,1.02002688172043
12,15,1.02002688172043
12,16,1.02002688172043
12,17,1.02002688172043
12,18,1.02002688172043
12,19,1.02002688172043
12,20,1.02002688172043
12,21,1.02002688172043
12,22,1.02002688172043
12,23,1.02002688172043
