Month,Hour,Cost
1,0,116.74278387096774
1,1,116.74278387096774
1,2,116.74278387096774
1,3,116.74278387096774
1,4,116.74278387096774
1,5,116.74278387096774
1,6,116.74278387096774
1,7,116.74278387096774
1,8,116.74278387096774
1,9,116.74278387096774
1,10,116.74278387096774
1,11,116.74278387096774
1,12,116.74278387096774
1,13,116.74278387096774
1,14,116.74278387096774
1,15,116.74278387096774
1,16,116.74278387096774
1,17,116.74278387096774
1,18,116.74278387096774
1,19,116.74278387096774
1,20,116.74278387096774
1,21,116.74278387096774
1,22,116.74278387096774
1,23,116.74278387096774
2,0,116.7430821428572
2,1,116.7430821428572
2,2,116.7430821428572
2,3,116.7430821428572
2,4,116.7430821428572
2,5,116.7430821428572
2,6,116.7430821428572
2,7,116.7430821428572
2,8,116.7430821428572
2,9,116.7430821428572
2,10,116.7430821428572
2,11,116.7430821428572
2,12,116.7430821428572
2,13,116.7430821428572
2,14,116.7430821428572
2,15,116.7430821428572
2,16,116.7430821428572
2,17,116.7430821428572
2,18,116.7430821428572
2,19,116.7430821428572
2,20,116.7430821428572
2,21,116.7430821428572
2,22,116.7430821428572
2,23,116.7430821428572
3,0,116.74278387096784
3,1,116.74278387096784
3,2,116.74278387096784
3,3,116.74278387096784
3,4,116.74278387096784
3,5,116.74278387096784
3,6,116.74278387096784
3,7,116.74278387096784
3,8,116.74278387096784
3,9,116.74278387096784
3,10,116.74278387096784
3,11,116.74278387096784
3,12,116.74278387096784
3,13,116.74278387096784
3,14,116.74278387096784
3,15,116.74278387096784
3,16,116.74278387096784
3,17,116.74278387096784
3,18,116.74278387096784
3,19,116.74278387096784
3,20,116.74278387096784
3,21,116.74278387096784
3,22,116.74278387096784
3,23,116.74278387096784
4,0,116.74287666666667
4,1,116.74287666666667
4,2,116.74287666666667
4,3,116.74287666666667
4,4,116.74287666666667
4,5,116.74287666666667
4,6,116.74287666666667
4,7,116.74287666666667
4,8,116.74287666666667
4,9,116.74287666666667
4,10,116.74287666666667
4,11,116.74287666666667
4,12,116.74287666666667
4,13,116.74287666666667
4,14,116.74287666666667
4,15,116.74287666666667
4,16,116.74287666666667
4,17,116.74287666666667
4,18,116.74287666666667
4,19,116.74287666666667
4,20,116.74287666666667
4,21,116.74287666666667
4,22,116.74287666666667
4,23,116.74287666666667
5,0,116.7427838709677
5,1,116.7427838709677
5,2,116.7427838709677
5,3,116.7427838709677
5,4,116.7427838709677
5,5,116.7427838709677
5,6,116.7427838709677
5,7,116.7427838709677
5,8,116.7427838709677
5,9,116.7427838709677
5,10,116.7427838709677
5,11,116.7427838709677
5,12,116.7427838709677
5,13,116.7427838709677
5,14,116.7427838709677
5,15,116.7427838709677
5,16,116.7427838709677
5,17,116.7427838709677
5,18,116.7427838709677
5,19,116.7427838709677
5,20,116.7427838709677
5,21,116.7427838709677
5,22,116.7427838709677
5,23,116.7427838709677
6,0,116.74287666666672
6,1,116.74287666666672
6,2,116.74287666666672
6,3,116.74287666666672
6,4,116.74287666666672
6,5,116.74287666666672
6,6,116.74287666666672
6,7,116.74287666666672
6,8,116.74287666666672
6,9,116.74287666666672
6,10,116.74287666666672
6,11,116.74287666666672
6,12,116.74287666666672
6,13,116.74287666666672
6,14,116.74287666666672
6,15,116.74287666666672
6,16,116.74287666666672
6,17,116.74287666666672
6,18,116.74287666666672
6,19,116.74287666666672
6,20,116.74287666666672
6,21,116.74287666666672
6,22,116.74287666666672
6,23,116.74287666666672
7,0,116.7427838709676
7,1,116.7427838709676
7,2,116.7427838709676
7,3,116.7427838709676
7,4,116.7427838709676
7,5,116.7427838709676
7,6,116.7427838709676
7,7,116.7427838709676
7,8,116.7427838709676
7,9,116.7427838709676
7,10,116.7427838709676
7,11,116.7427838709676
7,12,116.7427838709676
7,13,116.7427838709676
7,14,116.7427838709676
7,15,116.7427838709676
7,16,116.7427838709676
7,17,116.7427838709676
7,18,116.7427838709676
7,19,116.7427838709676
7,20,116.7427838709676
7,21,116.7427838709676
7,22,116.7427838709676
7,23,116.7427838709676
8,0,116.74278387096776
8,1,116.74278387096776
8,2,116.74278387096776
8,3,116.74278387096776
8,4,116.74278387096776
