Month,Hour,Cost
1,0,118.16498083474475
1,1,118.16498083474475
1,2,118.16498083474475
1,3,118.16498083474475
1,4,118.16498083474475
1,5,118.16498083474475
1,6,118.16498083474475
1,7,118.16498083474475
1,8,118.16498083474475
1,9,118.16498083474475
1,10,118.16498083474475
1,11,118.16498083474475
1,12,118.16498083474475
1,13,118.16498083474475
1,14,118.16498083474475
1,15,118.16498083474475
1,16,118.16498083474475
1,17,118.16498083474475
1,18,118.16498083474475
1,19,118.16498083474475
1,20,166.03300898834487
1,21,166.03300898834487
1,22,166.03300898834487
1,23,166.03300898834487
2,0,124.04077603342088
2,1,124.04077603342088
2,2,124.04077603342088
2,3,124.04077603342088
2,4,124.04077603342088
2,5,124.04077603342088
2,6,124.04077603342088
2,7,124.04077603342088
2,8,124.04077603342088
2,9,124.04077603342088
2,10,124.04077603342088
2,11,124.04077603342088
2,12,124.04077603342088
2,13,124.04077603342088
2,14,124.04077603342088
2,15,124.04077603342088
2,16,124.04077603342088
2,17,124.04077603342088
2,18,124.04077603342088
2,19,124.04077603342088
2,20,177.7132220518999
2,21,177.7132220518999
2,22,177.7132220518999
2,23,177.7132220518999
3,0,117.9719006104912
3,1,117.9719006104912
3,2,117.9719006104912
3,3,117.9719006104912
3,4,117.9719006104912
3,5,117.9719006104912
3,6,117.9719006104912
3,7,117.9719006104912
3,8,117.9719006104912
3,9,117.9719006104912
3,10,117.9719006104912
3,11,117.9719006104912
3,12,117.9719006104912
3,13,117.9719006104912
3,14,117.9719006104912
3,15,117.9719006104912
3,16,117.9719006104912
3,17,117.9719006104912
3,18,117.9719006104912
3,19,117.9719006104912
3,20,165.35595087444844
3,21,165.35595087444844
3,22,165.35595087444844
3,23,165.35595087444844
4,0,124.18202459967954
4,1,124.18202459967954
4,2,124.18202459967954
4,3,124.18202459967954
4,4,124.18202459967954
4,5,124.18202459967954
4,6,124.18202459967954
4,7,124.18202459967954
4,8,124.18202459967954
4,9,124.18202459967954
4,10,124.18202459967954
4,11,124.18202459967954
4,12,124.18202459967954
4,13,124.18202459967954
4,14,124.18202459967954
4,15,124.18202459967954
4,16,124.18202459967954
4,17,124.18202459967954
4,18,124.18202459967954
4,19,124.18202459967954
4,20,175.43778745082506
4,21,175.43778745082506
4,22,175.43778745082506
4,23,175.43778745082506
5,0,115.51604910781118
5,1,115.51604910781118
5,2,115.51604910781118
5,3,115.51604910781118
5,4,115.51604910781118
5,5,115.51604910781118
5,6,115.51604910781118
5,7,115.51604910781118
5,8,115.51604910781118
5,9,115.51604910781118
5,10,115.51604910781118
5,11,115.51604910781118
5,12,115.51604910781118
5,13,115.51604910781118
5,14,115.51604910781118
5,15,115.51604910781118
5,16,115.51604910781118
5,17,115.51604910781118
5,18,115.51604910781118
5,19,115.51604910781118
5,20,161.6857789044328
5,21,161.6857789044328
5,22,161.6857789044328
5,23,161.6857789044328
6,0,114.21672252229531
6,1,114.21672252229531
6,2,114.21672252229531
6,3,114.21672252229531
6,4,114.21672252229531
6,5,114.21672252229531
6,6,114.21672252229531
6,7,114.21672252229531
6,8,114.21672252229531
6,9,114.21672252229531
6,10,114.21672252229531
6,11,114.21672252229531
6,12,114.21672252229531
6,13,114.21672252229531
6,14,114.21672252229531
6,15,114.21672252229531
6,16,114.21672252229531
6,17,114.21672252229531
6,18,114.21672252229531
6,19,114.21672252229531
6,20,164.83335853384017
6,21,164.83335853384017
6,22,164.83335853384017
6,23,164.83335853384017
7,0,110.53627616034132
7,1,110.53627616034132
7,2,110.53627616034132
7,3,110.53627616034132
7,4,110.53627616034132
7,5,110.53627616034132
7,6,110.53627616034132
7,7,110.53627616034132
7,8,110.53627616034132
7,9,110.53627616034132
7,10,110.53627616034132
7,11,110.53627616034132
7,12,110.53627616034132
7,13,110.53627616034132
7,14,110.53627616034132
7,15,110.53627616034132
7,16,110.53627616034132
7,17,110.53627616034132
7,18,110.53627616034132
7,19,110.53627616034132
7,20,159.5130521588504
7,21,159.5130521588504
7,22,159.5130521588504
7,23,159.5130521588504
8,0,110.02644466972676
8,1,110.02644466972676
8,2,110.02644466972676
8,3,110.02644466972676
8,4,110.02644466972676
8,5,110.02644466972676
8,6,110.02644466972676
8,7,110.02644466972676
8,8,110.02644466972676
8,9,110.02644466972676
8,10,110.02644466972676
8,11,110.02644466972676
8,12,110.02644466972676
8,13,110.02644466972676
8,14,110.02644466972676
8,15,110.02644466972676
8,16,110.02644466972676
8,17,110.02644466972676
8,18,110.02644466972676
8,19,110.02644466972676
8,20,157.9870643316747
8,21,157.9870643316747
8,22,157.9870643316747
8,23,157.9870643316747
9,0,115.93512490465235
9,1,115.93512490465235
9,2,115.93512490465235
9,3,115.93512490465235
9,4,115.93512490465235
9,5,115.93512490465235
9,6,115.93512490465235
9,7,115.93512490465235
9,8,115.93512490465235
9,9,115.93512490465235
9,10,115.93512490465235
9,11,115.93512490465235
9,12,115.93512490465235
9,13,115.93512490465235
9,14,115.93512490465235
9,15,115.93512490465235
9,16,115.93512490465235
9,17,115.93512490465235
9,18,115.93512490465235
9,19,115.93512490465235
9,20,165.12458993483727
9,21,165.12458993483727
9,22,165.12458993483727
9,23,165.12458993483727
10,0,118.81667307654018
10,1,118.81667307654018
10,2,118.81667307654018
10,3,118.81667307654018
10,4,118.81667307654018
10,5,118.81667307654018
10,6,118.81667307654018
10,7,118.81667307654018
10,8,118.81667307654018
10,9,118.81667307654018
10,10,118.81667307654018
10,11,118.81667307654018
10,12,118.81667307654018
10,13,118.81667307654018
10,14,118.81667307654018
10,15,118.81667307654018
10,16,118.81667307654018
10,17,118.81667307654018
10,18,118.81667307654018
10,19,118.81667307654018
10,20,167.9937933828588
10,21,167.9937933828588
10,22,167.9937933828588
10,23,167.9937933828588
11,0,123.70446768101094
11,1,123.70446768101094
11,2,123.70446768101094
11,3,123.70446768101094
11,4,123.70446768101094
11,5,123.70446768101094
11,6,123.70446768101094
11,7,123.70446768101094
11,8,123.70446768101094
11,9,123.70446768101094
11,10,123.70446768101094
11,11,123.70446768101094
11,12,123.70446768101094
11,13,123.70446768101094
11,14,123.70446768101094
11,15,123.70446768101094
11,16,123.70446768101094
11,17,123.70446768101094
11,18,123.70446768101094
11,19,123.70446768101094
11,20,174.2477453674009
11,21,174.2477453674009
11,22,174.2477453674009
11,23,174.2477453674009
12,0,0.275510752688172
12,1,0.275510752688172
12,2,0.275510752688172
12,3,0.275510752688172
12,4,0.275510752688172
12,5,0.275510752688172
12,6,0.275510752688172
12,7,0.275510752688172
12,8,0.275510752688172
12,9,0.275510752688172
12,10,0.275510752688172
12,11,0.275510752688172
12,12,0.275510752688172
12,13,0.275510752688172
12,14,0.275510752688172
12,15,0.275510752688172
12,16,0.275510752688172
12,17,0.275510752688172
12,18,0.275510752688172
12,19,0.275510752688172
12,20,0.275510752688172
12,21,0.275510752688172
12,22,0.275510752688172
12,23,0.275510752688172
