Month,Hour,Cost
1,0,213.60318005836265
1,1,213.60318005836265
1,2,213.60318005836265
1,3,213.60318005836265
1,4,213.60318005836265
1,5,213.60318005836265
1,6,213.60318005836265
1,7,213.60318005836265
1,8,235.53342290593247
1,9,235.53342290593247
1,10,235.53342290593247
1,11,235.53342290593247
1,12,234.8989235253646
1,13,234.8989235253646
1,14,234.8989235253646
1,15,234.8989235253646
1,16,234.8989235253646
1,17,234.8989235253646
1,18,234.8989235253646
1,19,234.8989235253646
1,20,213.60318005836265
1,21,213.60318005836265
1,22,213.60318005836265
1,23,213.60318005836265
2,0,213.73559749654356
2,1,213.73559749654356
2,2,213.73559749654356
2,3,213.73559749654356
2,4,213.73559749654356
2,5,213.73559749654356
2,6,213.73559749654356
2,7,213.73559749654356
2,8,237.51026453571572
2,9,237.51026453571572
2,10,237.51026453571572
2,11,237.51026453571572
2,12,235.46921618328565
2,13,235.46921618328565
2,14,235.46921618328565
2,15,235.46921618328565
2,16,235.46921618328565
2,17,235.46921618328565
2,18,235.46921618328565
2,19,235.46921618328565
2,20,213.73559749654356
2,21,213.73559749654356
2,22,213.73559749654356
2,23,213.73559749654356
3,0,210.31791807190953
3,1,210.31791807190953
3,2,210.31791807190953
3,3,210.31791807190953
3,4,210.31791807190953
3,5,210.31791807190953
3,6,210.31791807190953
3,7,210.31791807190953
3,8,243.3590564850929
3,9,243.3590564850929
3,10,243.3590564850929
3,11,243.3590564850929
3,12,235.75182581939478
3,13,235.75182581939478
3,14,235.75182581939478
3,15,235.75182581939478
3,16,235.75182581939478
3,17,235.75182581939478
3,18,235.75182581939478
3,19,235.75182581939478
3,20,210.31791807190953
3,21,210.31791807190953
3,22,210.31791807190953
3,23,210.31791807190953
4,0,210.21093095736072
4,1,210.21093095736072
4,2,210.21093095736072
4,3,210.21093095736072
4,4,210.21093095736072
4,5,210.21093095736072
4,6,210.21093095736072
4,7,210.21093095736072
4,8,242.4791005328467
4,9,242.4791005328467
