Month,Hour,Cost
1,0,49.10913068881643
1,1,49.10913068881643
1,2,49.10913068881643
1,3,49.10913068881643
1,4,49.10913068881643
1,5,49.10913068881643
1,6,49.10913068881643
1,7,49.10913068881643
1,8,49.10913068881643
1,9,49.10913068881643
1,10,49.10913068881643
1,11,49.10913068881643
1,12,49.10913068881643
1,13,49.10913068881643
1,14,49.10913068881643
1,15,49.10913068881643
1,16,49.10913068881643
1,17,49.10913068881643
1,18,49.10913068881643
1,19,49.10913068881643
1,20,49.10913068881643
1,21,49.10913068881643
1,22,49.10913068881643
1,23,49.10913068881643
2,0,52.26769412740996
2,1,52.26769412740996
2,2,52.26769412740996
2,3,52.26769412740996
2,4,52.26769412740996
2,5,52.26769412740996
2,6,52.26769412740996
2,7,52.26769412740996
2,8,52.26769412740996
2,9,52.26769412740996
2,10,52.26769412740996
2,11,52.26769412740996
2,12,52.26769412740996
2,13,52.26769412740996
2,14,52.26769412740996
2,15,52.26769412740996
2,16,52.26769412740996
2,17,52.26769412740996
2,18,52.26769412740996
2,19,52.26769412740996
2,20,52.26769412740996
2,21,52.26769412740996
2,22,52.26769412740996
2,23,52.26769412740996
3,0,49.06501503414467
3,1,49.06501503414467
3,2,49.06501503414467
3,3,49.06501503414467
3,4,49.06501503414467
3,5,49.06501503414467
3,6,49.06501503414467
3,7,49.06501503414467
3,8,49.06501503414467
3,9,49.06501503414467
3,10,49.06501503414467
3,11,49.06501503414467
3,12,49.06501503414467
3,13,49.06501503414467
3,14,49.06501503414467
3,15,49.06501503414467
3,16,49.06501503414467
3,17,49.06501503414467
3,18,49.06501503414467
3,19,49.06501503414467
3,20,49.06501503414467
3,21,49.06501503414467
3,22,49.06501503414467
3,23,49.06501503414467
4,0,51.048916699941714
4,1,51.048916699941714
4,2,51.048916699941714
4,3,51.048916699941714
4,4,51.048916699941714
4,5,51.048916699941714
4,6,51.048916699941714
4,7,51.048916699941714
4,8,51.048916699941714
4,9,51.048916699941714
4,10,51.048916699941714
4,11,51.048916699941714
4,12,51.048916699941714
4,13,51.048916699941714
4,14,51.048916699941714
4,15,51.048916699941714
4,16,51.048916699941714
4,17,51.048916699941714
4,18,51.048916699941714
4,19,51.048916699941714
4,20,51.048916699941714
4,21,51.048916699941714
4,22,51.048916699941714
4,23,51.048916699941714
5,0,48.50389336963392
5,1,48.50389336963392
5,2,48.50389336963392
5,3,48.50389336963392
5,4,48.50389336963392
5,5,48.50389336963392
5,6,48.50389336963392
5,7,48.50389336963392
5,8,48.50389336963392
5,9,48.50389336963392
5,10,48.50389336963392
5,11,48.50389336963392
5,12,48.50389336963392
5,13,48.50389336963392
5,14,48.50389336963392
5,15,48.50389336963392
5,16,48.50389336963392
5,17,48.50389336963392
5,18,48.50389336963392
5,19,48.50389336963392
5,20,48.50389336963392
5,21,48.50389336963392
5,22,48.50389336963392
5,23,48.50389336963392
6,0,48.772009125150575
6,1,48.772009125150575
6,2,48.772009125150575
6,3,48.772009125150575
6,4,48.772009125150575
6,5,48.772009125150575
6,6,48.772009125150575
6,7,48.772009125150575
6,8,48.772009125150575
6,9,48.772009125150575
6,10,48.772009125150575
