Month,Hour,Cost
1,0,61.585250209083576
1,1,61.585250209083576
1,2,61.585250209083576
1,3,61.585250209083576
1,4,61.585250209083576
1,5,61.585250209083576
1,6,89.36990115258128
1,7,89.36990115258128
1,8,89.36990115258128
1,9,61.585250209083576
1,10,61.585250209083576
1,11,61.585250209083576
1,12,61.585250209083576
1,13,61.585250209083576
1,14,61.585250209083576
1,15,61.585250209083576
1,16,89.36990115258128
1,17,89.36990115258128
1,18,89.36990115258128
1,19,89.36990115258128
1,20,89.36990115258128
1,21,89.36990115258128
1,22,61.585250209083576
1,23,61.585250209083576
2,0,62.51425259821048
2,1,62.51425259821048
2,2,62.51425259821048
2,3,62.51425259821048
2,4,62.51425259821048
2,5,62.51425259821048
2,6,93.10228693536249
2,7,93.10228693536249
2,8,93.10228693536249
2,9,62.51425259821048
2,10,62.51425259821048
2,11,62.51425259821048
2,12,62.51425259821048
2,13,62.51425259821048
2,14,62.51425259821048
2,15,62.51425259821048
2,16,93.10228693536249
2,17,93.10228693536249
2,18,93.10228693536249
2,19,93.10228693536249
2,20,93.10228693536249
2,21,93.10228693536249
2,22,62.51425259821048
2,23,62.51425259821048
3,0,61.77811220552411
3,1,61.77811220552411
3,2,61.77811220552411
3,3,61.77811220552411
3,4,61.77811220552411
3,5,61.77811220552411
3,6,87.09905378130041
3,7,87.09905378130041
3,8,87.09905378130041
3,9,61.77811220552411
3,10,61.77811220552411
3,11,61.77811220552411
3,12,61.77811220552411
3,13,61.77811220552411
3,14,61.77811220552411
3,15,61.77811220552411
3,16,87.09905378130041
3,17,87.09905378130041
3,18,87.09905378130041
3,19,87.09905378130041
3,20,87.09905378130041
3,21,87.09905378130041
3,22,61.77811220552411
3,23,61.77811220552411
4,0,62.56945256374847
4,1,62.56945256374847
4,2,62.56945256374847
4,3,62.56945256374847
4,4,62.56945256374847
4,5,62.56945256374847
4,6,90.55437076694396
4,7,90.55437076694396
4,8,90.55437076694396
4,9,62.56945256374847
4,10,62.56945256374847
4,11,62.56945256374847
4,12,62.56945256374847
4,13,62.56945256374847
4,14,62.56945256374847
4,15,62.56945256374847
4,16,90.55437076694396
4,17,90.55437076694396
4,18,90.55437076694396
4,19,90.55437076694396
4,20,90.55437076694396
4,21,90.55437076694396
4,22,62.56945256374847
4,23,62.56945256374847
5,0,62.20801216399001
5,1,62.20801216399001
5,2,62.20801216399001
5,3,62.20801216399001
5,4,62.20801216399001
5,5,62.20801216399001
5,6,86.9686826644518
5,7,86.9686826644518
5,8,86.9686826644518
5,9,62.20801216399001
5,10,62.20801216399001
5,11,62.20801216399001
5,12,62.20801216399001
5,13,62.20801216399001
5,14,62.20801216399001
5,15,62.20801216399001
5,16,86.9686826644518
5,17,86.9686826644518
5,18,86.9686826644518
5,19,86.9686826644518
5,20,86.9686826644518
5,21,86.9686826644518
5,22,62.20801216399001
5,23,62.20801216399001
6,0,60.72908301203401
6,1,60.72908301203401
6,2,60.72908301203401
6,3,60.72908301203401
6,4,60.72908301203401
6,5,60.72908301203401
6,6,60.72908301203401
6,7,60.72908301203401
6,8,60.72908301203401
6,9,60.72908301203401
6,10,60.72908301203401
6,11,60.72908301203401
6,12,60.72908301203401
6,13,92.59827947374444
6,14,92.59827947374444
6,15,92.59827947374444
6,16,92.59827947374444
6,17,92.59827947374444
6,18,92.59827947374444
6,19,92.59827947374444
6,20,92.59827947374444
6,21,92.59827947374444
6,22,60.72908301203401
6,23,60.72908301203401
7,0,60.230376008013806
7,1,60.230376008013806
7,2,60.230376008013806
7,3,60.230376008013806
7,4,60.230376008013806
7,5,60.230376008013806
7,6,60.230376008013806
7,7,60.230376008013806
7,8,60.230376008013806
7,9,60.230376008013806
7,10,60.230376008013806
7,11,60.230376008013806
7,12,60.230376008013806
7,13,92.08457104774338
7,14,92.08457104774338
7,15,92.08457104774338
7,16,92.08457104774338
7,17,92.08457104774338
7,18,92.08457104774338
7,19,92.08457104774338
7,20,92.08457104774338
7,21,92.08457104774338
7,22,60.230376008013806
7,23,60.230376008013806
8,0,60.27951866961191
8,1,60.27951866961191
8,2,60.27951866961191
8,3,60.27951866961191
8,4,60.27951866961191
8,5,60.27951866961191
8,6,60.27951866961191
8,7,60.27951866961191
8,8,60.27951866961191
8,9,60.27951866961191
8,10,60.27951866961191
8,11,60.27951866961191
8,12,60.27951866961191
8,13,89.5162115106214
8,14,89.5162115106214
8,15,89.5162115106214
8,16,89.5162115106214
8,17,89.5162115106214
8,18,89.5162115106214
8,19,89.5162115106214
8,20,89.5162115106214
