Month,Hour,Cost
1,0,125.17996973361288
1,1,125.17996973361288
1,2,125.17996973361288
1,3,125.17996973361288
1,4,125.17996973361288
1,5,125.17996973361288
1,6,125.17996973361288
1,7,125.17996973361288
1,8,125.17996973361288
1,9,125.17996973361288
1,10,125.17996973361288
1,11,125.17996973361288
1,12,125.17996973361288
1,13,125.17996973361288
1,14,125.17996973361288
1,15,125.17996973361288
1,16,125.17996973361288
1,17,125.17996973361288
1,18,125.17996973361288
1,19,125.17996973361288
1,20,125.17996973361288
1,21,125.17996973361288
1,22,125.17996973361288
1,23,125.17996973361288
2,0,126.6010957826514
2,1,126.6010957826514
2,2,126.6010957826514
2,3,126.6010957826514
2,4,126.6010957826514
2,5,126.6010957826514
2,6,126.6010957826514
2,7,126.6010957826514
2,8,126.6010957826514
2,9,126.6010957826514
2,10,126.6010957826514
2,11,126.6010957826514
2,12,126.6010957826514
2,13,126.6010957826514
2,14,126.6010957826514
2,15,126.6010957826514
2,16,126.6010957826514
2,17,126.6010957826514
2,18,126.6010957826514
2,19,126.6010957826514
2,20,126.6010957826514
2,21,126.6010957826514
2,22,126.6010957826514
2,23,126.6010957826514
3,0,124.7269952503016
3,1,124.7269952503016
3,2,124.7269952503016
3,3,124.7269952503016
3,4,124.7269952503016
3,5,124.7269952503016
3,6,124.7269952503016
3,7,124.7269952503016
3,8,124.7269952503016
3,9,124.7269952503016
3,10,124.7269952503016
3,11,124.7269952503016
3,12,124.7269952503016
3,13,124.7269952503016
3,14,124.7269952503016
3,15,124.7269952503016
3,16,124.7269952503016
3,17,124.7269952503016
3,18,124.7269952503016
3,19,124.7269952503016
3,20,124.7269952503016
3,21,124.7269952503016
3,22,124.7269952503016
3,23,124.7269952503016
4,0,125.1818906679624
4,1,125.1818906679624
4,2,125.1818906679624
4,3,125.1818906679624
4,4,125.1818906679624
4,5,125.1818906679624
4,6,125.1818906679624
4,7,125.1818906679624
4,8,125.1818906679624
4,9,125.1818906679624
4,10,125.1818906679624
4,11,125.1818906679624
4,12,125.1818906679624
4,13,125.1818906679624
4,14,125.1818906679624
4,15,125.1818906679624
4,16,125.1818906679624
4,17,125.1818906679624
4,18,125.1818906679624
4,19,125.1818906679624
4,20,125.1818906679624
4,21,125.1818906679624
4,22,125.1818906679624
4,23,125.1818906679624
5,0,125.09123082324004
5,1,125.09123082324004
5,2,125.09123082324004
5,3,125.09123082324004
5,4,125.09123082324004
5,5,125.09123082324004
5,6,125.09123082324004
5,7,125.09123082324004
5,8,125.09123082324004
5,9,125.09123082324004
5,10,125.09123082324004
5,11,125.09123082324004
5,12,125.09123082324004
5,13,125.09123082324004
5,14,125.09123082324004
5,15,125.09123082324004
5,16,125.09123082324004
5,17,125.09123082324004
5,18,125.09123082324004
5,19,125.09123082324004
5,20,125.09123082324004
5,21,125.09123082324004
5,22,125.09123082324004
5,23,125.09123082324004
6,0,125.13123946204271
6,1,125.13123946204271
6,2,125.13123946204271
6,3,125.13123946204271
6,4,125.13123946204271
6,5,125.13123946204271
6,6,125.13123946204271
6,7,125.13123946204271
6,8,125.13123946204271
6,9,125.13123946204271
6,10,125.13123946204271
6,11,125.13123946204271
6,12,125.13123946204271
6,13,125.13123946204271
6,14,125.13123946204271
6,15,125.13123946204271
6,16,125.13123946204271
6,17,125.13123946204271
6,18,125.13123946204271
6,19,125.13123946204271
6,20,125.13123946204271
6,21,125.13123946204271
6,22,125.13123946204271
6,23,125.13123946204271
7,0,124.34210202673796
7,1,124.34210202673796
7,2,124.34210202673796
7,3,124.34210202673796
7,4,124.34210202673796
7,5,124.34210202673796
7,6,124.34210202673796
7,7,124.34210202673796
7,8,124.34210202673796
7,9,124.34210202673796
7,10,124.34210202673796
7,11,124.34210202673796
7,12,124.34210202673796
7,13,124.34210202673796
7,14,124.34210202673796
7,15,124.34210202673796
7,16,124.34210202673796
7,17,124.34210202673796
7,18,124.34210202673796
7,19,124.34210202673796
7,20,124.34210202673796
7,21,124.34210202673796
7,22,124.34210202673796
7,23,124.34210202673796
8,0,124.78928513756584
8,1,124.78928513756584
8,2,124.78928513756584
8,3,124.78928513756584
8,4,124.78928513756584
8,5,124.78928513756584
8,6,124.78928513756584
8,7,124.78928513756584
8,8,124.78928513756584
8,9,124.78928513756584
8,10,124.78928513756584
8,11,124.78928513756584
8,12,124.78928513756584
8,13,124.78928513756584
8,14,124.78928513756584
8,15,124.78928513756584
8,16,124.78928513756584
8,17,124.78928513756584
8,18,124.78928513756584
8,19,124.78928513756584
8,20,124.78928513756584
8,21,124.78928513756584
8,22,124.78928513756584
8,23,124.78928513756584
9,0,125.26818889798068
9,1,125.26818889798068
9,2,125.26818889798068
9,3,125.26818889798068
9,4,125.26818889798068
9,5,125.26818889798068
9,6,125.26818889798068
9,7,125.26818889798068
9,8,125.26818889798068
9,9,125.26818889798068
9,10,125.26818889798068
9,11,125.26818889798068
9,12,125.26818889798068
9,13,125.26818889798068
9,14,125.26818889798068
9,15,125.26818889798068
9,16,125.26818889798068
9,17,125.26818889798068
9,18,125.26818889798068
9,19,125.26818889798068
9,20,125.26818889798068
9,21,125.26818889798068
9,22,125.26818889798068
9,23,125.26818889798068
10,0,124.77849683864136
10,1,124.77849683864136
10,2,124.77849683864136
10,3,124.77849683864136
10,4,124.77849683864136
10,5,124.77849683864136
10,6,124.77849683864136
10,7,124.77849683864136
10,8,124.77849683864136
10,9,124.77849683864136
10,10,124.77849683864136
10,11,124.77849683864136
10,12,124.77849683864136
10,13,124.77849683864136
10,14,124.77849683864136
10,15,124.77849683864136
10,16,124.77849683864136
10,17,124.77849683864136
10,18,124.77849683864136
10,19,124.77849683864136
10,20,124.77849683864136
10,21,124.77849683864136
10,22,124.77849683864136
10,23,124.77849683864136
11,0,125.01103150194606
11,1,125.01103150194606
11,2,125.01103150194606
11,3,125.01103150194606
11,4,125.01103150194606
11,5,125.01103150194606
11,6,125.01103150194606
11,7,125.01103150194606
11,8,125.01103150194606
11,9,125.01103150194606
11,10,125.01103150194606
11,11,125.01103150194606
11,12,125.01103150194606
11,13,125.01103150194606
11,14,125.01103150194606
11,15,125.01103150194606
11,16,125.01103150194606
11,17,125.01103150194606
11,18,125.01103150194606
11,19,125.01103150194606
11,20,125.01103150194606
11,21,125.01103150194606
11,22,125.01103150194606
11,23,125.01103150194606
12,0,0.0967741935483871
12,1,0.0967741935483871
12,2,0.0967741935483871
12,3,0.0967741935483871
12,4,0.0967741935483871
12,5,0.0967741935483871
12,6,0.0967741935483871
12,7,0.0967741935483871
12,8,0.0967741935483871
12,9,0.0967741935483871
12,10,0.0967741935483871
12,11,0.0967741935483871
12,12,0.0967741935483871
12,13,0.0967741935483871
12,14,0.0967741935483871
12,15,0.0967741935483871
12,16,0.0967741935483871
12,17,0.0967741935483871
12,18,0.0967741935483871
12,19,0.0967741935483871
12,20,0.0967741935483871
12,21,0.0967741935483871
12,22,0.0967741935483871
12,23,0.0967741935483871
