Month,Hour,Cost
1,0,122.77052091410263
1,1,122.77052091410263
1,2,122.77052091410263
1,3,122.77052091410263
1,4,122.77052091410263
1,5,122.77052091410263
1,6,122.77052091410263
1,7,104.48370330119356
1,8,104.48370330119356
1,9,104.48370330119356
1,10,104.48370330119356
1,11,104.48370330119356
1,12,104.48370330119356
1,13,104.48370330119356
1,14,104.48370330119356
1,15,104.48370330119356
1,16,104.48370330119356
1,17,104.48370330119356
1,18,104.48370330119356
1,19,104.48370330119356
1,20,104.48370330119356
1,21,122.77052091410263
1,22,122.77052091410263
1,23,122.77052091410263
2,0,131.24670303373117
2,1,131.24670303373117
2,2,131.24670303373117
2,3,131.24670303373117
2,4,131.24670303373117
2,5,131.24670303373117
2,6,131.24670303373117
2,7,110.81454335290339
2,8,110.81454335290339
2,9,110.81454335290339
2,10,110.81454335290339
2,11,110.81454335290339
2,12,110.81454335290339
2,13,110.81454335290339
2,14,110.81454335290339
2,15,110.81454335290339
2,16,110.81454335290339
2,17,110.81454335290339
2,18,110.81454335290339
2,19,110.81454335290339
2,20,110.81454335290339
2,21,131.24670303373117
2,22,131.24670303373117
2,23,131.24670303373117
3,0,122.93084520905532
3,1,122.93084520905532
3,2,122.93084520905532
3,3,122.93084520905532
3,4,122.93084520905532
3,5,122.93084520905532
3,6,122.93084520905532
3,7,104.2750240455176
3,8,104.2750240455176
3,9,104.2750240455176
3,10,104.2750240455176
3,11,104.2750240455176
3,12,104.2750240455176
3,13,104.2750240455176
3,14,104.2750240455176
3,15,104.2750240455176
3,16,104.2750240455176
3,17,104.2750240455176
3,18,104.2750240455176
3,19,104.2750240455176
3,20,104.2750240455176
3,21,122.93084520905532
3,22,122.93084520905532
3,23,122.93084520905532
4,0,131.1811176557575
4,1,131.1811176557575
4,2,131.1811176557575
4,3,131.1811176557575
4,4,131.1811176557575
4,5,131.1811176557575
4,6,131.1811176557575
4,7,110.98074912594303
4,8,110.98074912594303
4,9,110.98074912594303
4,10,110.98074912594303
4,11,110.98074912594303
4,12,110.98074912594303
4,13,110.98074912594303
4,14,110.98074912594303
4,15,110.98074912594303
4,16,110.98074912594303
4,17,110.98074912594303
4,18,110.98074912594303
4,19,110.98074912594303
4,20,110.98074912594303
4,21,131.1811176557575
4,22,131.1811176557575
4,23,131.1811176557575
5,0,119.23514824499925
5,1,119.23514824499925
5,2,119.23514824499925
5,3,119.23514824499925
5,4,119.23514824499925
5,5,119.23514824499925
