Month,Hour,Cost
1,0,79.90612571370944
1,1,79.90612571370944
1,2,79.90612571370944
1,3,79.90612571370944
1,4,79.90612571370944
1,5,79.90612571370944
1,6,79.90612571370944
1,7,79.90612571370944
1,8,79.90612571370944
1,9,79.90612571370944
1,10,79.90612571370944
1,11,79.90612571370944
1,12,79.90612571370944
1,13,79.90612571370944
1,14,79.90612571370944
1,15,79.90612571370944
1,16,79.90612571370944
1,17,79.90612571370944
1,18,79.90612571370944
1,19,79.90612571370944
1,20,79.90612571370944
1,21,79.90612571370944
1,22,79.90612571370944
1,23,79.90612571370944
2,0,81.38903493640318
2,1,81.38903493640318
2,2,81.38903493640318
2,3,81.38903493640318
2,4,81.38903493640318
2,5,81.38903493640318
2,6,81.38903493640318
2,7,81.38903493640318
2,8,81.38903493640318
2,9,81.38903493640318
2,10,81.38903493640318
2,11,81.38903493640318
2,12,81.38903493640318
2,13,81.38903493640318
2,14,81.38903493640318
2,15,81.38903493640318
2,16,81.38903493640318
2,17,81.38903493640318
2,18,81.38903493640318
2,19,81.38903493640318
2,20,81.38903493640318
2,21,81.38903493640318
2,22,81.38903493640318
2,23,81.38903493640318
3,0,79.4370296380302
3,1,79.4370296380302
3,2,79.4370296380302
3,3,79.4370296380302
3,4,79.4370296380302
3,5,79.4370296380302
3,6,79.4370296380302
3,7,79.4370296380302
3,8,79.4370296380302
3,9,79.4370296380302
3,10,79.4370296380302
3,11,79.4370296380302
3,12,79.4370296380302
3,13,79.4370296380302
3,14,79.4370296380302
3,15,79.4370296380302
3,16,79.4370296380302
3,17,79.4370296380302
3,18,79.4370296380302
3,19,79.4370296380302
3,20,79.4370296380302
3,21,79.4370296380302
3,22,79.4370296380302
3,23,79.4370296380302
4,0,80.88725331495529
4,1,80.88725331495529
4,2,80.88725331495529
4,3,80.88725331495529
4,4,80.88725331495529
4,5,80.88725331495529
4,6,80.88725331495529
4,7,80.88725331495529
4,8,80.88725331495529
4,9,80.88725331495529
4,10,80.88725331495529
4,11,80.88725331495529
4,12,80.88725331495529
4,13,80.88725331495529
4,14,80.88725331495529
4,15,80.88725331495529
4,16,80.88725331495529
4,17,80.88725331495529
4,18,80.88725331495529
4,19,80.88725331495529
4,20,80.88725331495529
4,21,80.88725331495529
4,22,80.88725331495529
4,23,80.88725331495529
5,0,79.65666105019947
5,1,79.65666105019947
