Month,Hour,Cost
1,0,83.89855814946102
1,1,83.89855814946102
1,2,83.89855814946102
1,3,83.89855814946102
1,4,83.89855814946102
1,5,83.89855814946102
1,6,116.78035299942573
1,7,116.78035299942573
1,8,116.78035299942573
1,9,116.78035299942573
1,10,116.78035299942573
1,11,116.78035299942573
1,12,120.92341759850721
1,13,120.92341759850721
1,14,120.92341759850721
1,15,120.92341759850721
1,16,120.92341759850721
1,17,120.92341759850721
1,18,48.70092882822879
1,19,48.70092882822879
1,20,48.70092882822879
1,21,48.70092882822879
1,22,48.923897886819965
1,23,48.923897886819965
2,0,86.81584921978659
2,1,86.81584921978659
2,2,86.81584921978659
2,3,86.81584921978659
2,4,86.81584921978659
2,5,86.81584921978659
2,6,121.55256784749103
2,7,121.55256784749103
2,8,121.55256784749103
2,9,121.55256784749103
2,10,121.55256784749103
2,11,121.55256784749103
2,12,124.61523598027097
2,13,124.61523598027097
2,14,124.61523598027097
2,15,124.61523598027097
2,16,124.61523598027097
2,17,124.61523598027097
2,18,51.96739706569664
2,19,51.96739706569664
2,20,51.96739706569664
2,21,51.96739706569664
2,22,52.21731589686548
2,23,52.21731589686548
3,0,82.12166560297501
3,1,82.12166560297501
3,2,82.12166560297501
3,3,82.12166560297501
3,4,82.12166560297501
3,5,82.12166560297501
3,6,119.12180356850355
3,7,119.12180356850355
3,8,119.12180356850355
3,9,119.12180356850355
3,10,119.12180356850355
3,11,119.12180356850355
3,12,122.05373546923308
3,13,122.05373546923308
3,14,122.05373546923308
3,15,122.05373546923308
3,16,122.05373546923308
3,17,122.05373546923308
3,18,46.60153620475548
3,19,46.60153620475548
3,20,46.60153620475548
3,21,46.60153620475548
3,22,46.844559540376615
3,23,46.844559540376615
4,0,85.6959039122184
4,1,85.6959039122184
4,2,85.6959039122184
4,3,85.6959039122184
4,4,85.6959039122184
4,5,85.6959039122184
4,6,120.19494618364917
4,7,120.19494618364917
4,8,120.19494618364917
4,9,120.19494618364917
4,10,120.19494618364917
4,11,120.19494618364917
4,12,125.90245169390646
4,13,125.90245169390646
4,14,125.90245169390646
4,15,125.90245169390646
4,16,125.90245169390646
4,17,125.90245169390646
4,18,53.6311604662219
4,19,53.6311604662219
4,20,53.6311604662219
4,21,53.6311604662219
4,22,53.836427132888566
4,23,53.836427132888566
5,0,80.89758221231092
5,1,80.89758221231092
5,2,80.89758221231092
5,3,80.89758221231092
5,4,80.89758221231092
5,5,80.89758221231092
5,6,117.9725973578162
5,7,117.9725973578162
5,8,117.9725973578162
5,9,117.9725973578162
5,10,117.9725973578162
5,11,117.9725973578162
5,12,127.42427519367178
