Month,Hour,Cost
1,0,104.63147139665844
1,1,104.63147139665844
1,2,104.63147139665844
1,3,104.63147139665844
1,4,104.63147139665844
1,5,104.63147139665844
1,6,104.63147139665844
1,7,126.3797536572424
1,8,126.3797536572424
1,9,126.3797536572424
1,10,126.3797536572424
1,11,126.3797536572424
1,12,126.3797536572424
1,13,126.3797536572424
1,14,126.3797536572424
1,15,126.3797536572424
1,16,126.3797536572424
1,17,136.95690173971946
1,18,136.95690173971946
1,19,136.95690173971946
1,20,136.95690173971946
1,21,104.63147139665844
1,22,104.63147139665844
1,23,104.63147139665844
2,0,105.34454772470094
2,1,105.34454772470094
2,2,105.34454772470094
2,3,105.34454772470094
2,4,105.34454772470094
2,5,105.34454772470094
2,6,105.34454772470094
2,7,126.36856473516256
2,8,126.36856473516256
2,9,126.36856473516256
2,10,126.36856473516256
2,11,126.36856473516256
2,12,126.36856473516256
2,13,126.36856473516256
2,14,126.36856473516256
2,15,126.36856473516256
2,16,126.36856473516256
2,17,136.3240668451036
2,18,136.3240668451036
2,19,136.3240668451036
2,20,136.3240668451036
2,21,105.34454772470094
2,22,105.34454772470094
2,23,105.34454772470094
3,0,104.36263157365126
3,1,104.36263157365126
3,2,104.36263157365126
3,3,104.36263157365126
3,4,104.36263157365126
3,5,104.36263157365126
3,6,104.36263157365126
3,7,124.34959816718568
3,8,124.34959816718568
3,9,124.34959816718568
3,10,124.34959816718568
3,11,124.34959816718568
3,12,124.34959816718568
3,13,124.34959816718568
3,14,124.34959816718568
3,15,124.34959816718568
3,16,124.34959816718568
3,17,132.85629771472148
3,18,132.85629771472148
3,19,132.85629771472148
3,20,132.85629771472148
3,21,104.36263157365126
3,22,104.36263157365126
3,23,104.36263157365126
4,0,104.03169496108389
4,1,104.03169496108389
4,2,104.03169496108389
4,3,104.03169496108389
4,4,104.03169496108389
4,5,104.03169496108389
4,6,104.03169496108389
4,7,126.3982572037411
4,8,126.3982572037411
4,9,126.3982572037411
4,10,126.3982572037411
4,11,126.3982572037411
4,12,126.3982572037411
4,13,126.3982572037411
4,14,126.3982572037411
4,15,126.3982572037411
4,16,126.3982572037411
4,17,135.36590068463104
4,18,135.36590068463104
4,19,135.36590068463104
4,20,135.36590068463104
4,21,104.03169496108389
4,22,104.03169496108389
4,23,104.03169496108389
5,0,103.85770164203235
5,1,103.85770164203235
5,2,103.85770164203235
5,3,103.85770164203235
5,4,103.85770164203235
5,5,103.85770164203235
5,6,103.85770164203235
5,7,125.66436463662404
5,8,125.66436463662404
5,9,125.66436463662404
5,10,125.66436463662404
5,11,125.66436463662404
5,12,125.66436463662404
5,13,125.66436463662404
5,14,125.66436463662404
5,15,125.66436463662404
5,16,125.66436463662404
5,17,135.3690563209689
5,18,135.3690563209689
5,19,135.3690563209689
5,20,135.3690563209689
5,21,103.85770164203235
5,22,103.85770164203235
5,23,103.85770164203235
6,0,103.96843113865076
6,1,103.96843113865076
6,2,103.96843113865076
6,3,103.96843113865076
6,4,103.96843113865076
6,5,103.96843113865076
6,6,103.96843113865076
6,7,125.50345217650496
6,8,125.50345217650496
6,9,125.50345217650496
6,10,125.50345217650496
6,11,125.50345217650496
6,12,125.50345217650496
6,13,125.50345217650496
6,14,125.50345217650496
6,15,125.50345217650496
6,16,125.50345217650496
6,17,135.41577672354947
6,18,135.41577672354947
6,19,135.41577672354947
6,20,135.41577672354947
6,21,103.96843113865076
6,22,103.96843113865076
6,23,103.96843113865076
7,0,115.17766690731686
7,1,115.17766690731686
7,2,115.17766690731686
7,3,115.17766690731686
7,4,115.17766690731686
7,5,115.17766690731686
7,6,115.17766690731686
7,7,115.17766690731686
7,8,115.17766690731686
7,9,115.17766690731686
7,10,199.47936683056056
7,11,199.47936683056056
7,12,199.47936683056056
7,13,284.87590232362584
7,14,284.87590232362584
7,15,284.87590232362584
7,16,284.87590232362584
7,17,284.87590232362584
7,18,199.47936683056056
7,19,199.47936683056056
7,20,199.47936683056056
7,21,115.17766690731686
7,22,115.17766690731686
7,23,115.17766690731686
8,0,118.06541166453805
8,1,118.06541166453805
8,2,118.06541166453805
8,3,118.06541166453805
8,4,118.06541166453805
8,5,118.06541166453805
8,6,118.06541166453805
8,7,118.06541166453805
8,8,118.06541166453805
8,9,118.06541166453805
8,10,206.29835353877755
8,11,206.29835353877755
8,12,206.29835353877755
8,13,301.81008274360573
8,14,301.81008274360573
8,15,301.81008274360573
8,16,301.81008274360573
8,17,301.81008274360573
8,18,206.29835353877755
8,19,206.29835353877755
8,20,206.29835353877755
8,21,118.06541166453805
8,22,118.06541166453805
8,23,118.06541166453805
9,0,115.35565128361404
9,1,115.35565128361404
9,2,115.35565128361404
9,3,115.35565128361404
9,4,115.35565128361404
9,5,115.35565128361404
9,6,115.35565128361404
9,7,115.35565128361404
9,8,115.35565128361404
9,9,115.35565128361404
9,10,198.3909146701393
9,11,198.3909146701393
9,12,198.3909146701393
9,13,283.12276608274044
9,14,283.12276608274044
9,15,283.12276608274044
9,16,283.12276608274044
9,17,283.12276608274044
9,18,198.3909146701393
9,19,198.3909146701393
9,20,198.3909146701393
9,21,115.35565128361404
9,22,115.35565128361404
9,23,115.35565128361404
10,0,103.0473472030946
10,1,103.0473472030946
10,2,103.0473472030946
10,3,103.0473472030946
10,4,103.0473472030946
10,5,103.0473472030946
10,6,103.0473472030946
10,7,125.16686553966089
10,8,125.16686553966089
10,9,125.16686553966089
10,10,125.16686553966089
10,11,125.16686553966089
10,12,125.16686553966089
10,13,125.16686553966089
10,14,125.16686553966089
10,15,125.16686553966089
10,16,125.16686553966089
10,17,134.28272949079695
10,18,134.28272949079695
10,19,134.28272949079695
10,20,134.28272949079695
10,21,103.0473472030946
10,22,103.0473472030946
10,23,103.0473472030946
11,0,103.54685791018431
11,1,103.54685791018431
11,2,103.54685791018431
11,3,103.54685791018431
11,4,103.54685791018431
11,5,103.54685791018431
11,6,103.54685791018431
11,7,126.1221887745967
11,8,126.1221887745967
11,9,126.1221887745967
11,10,126.1221887745967
11,11,126.1221887745967
11,12,126.1221887745967
11,13,126.1221887745967
11,14,126.1221887745967
11,15,126.1221887745967
11,16,126.1221887745967
11,17,135.8106272889905
11,18,135.8106272889905
11,19,135.8106272889905
11,20,135.8106272889905
11,21,103.54685791018431
11,22,103.54685791018431
11,23,103.54685791018431
12,0,0.721236559139785
12,1,0.721236559139785
12,2,0.721236559139785
12,3,0.721236559139785
12,4,0.721236559139785
12,5,0.721236559139785
12,6,0.721236559139785
12,7,0.721236559139785
12,8,0.721236559139785
12,9,0.721236559139785
12,10,0.721236559139785
12,11,0.721236559139785
12,12,0.721236559139785
12,13,0.721236559139785
12,14,0.721236559139785
12,15,0.721236559139785
12,16,0.721236559139785
12,17,0.721236559139785
12,18,0.721236559139785
12,19,0.721236559139785
12,20,0.721236559139785
12,21,0.721236559139785
12,22,0.721236559139785
12,23,0.721236559139785
