Month,Hour,Cost
1,0,94.89440772556416
1,1,94.89440772556416
1,2,94.89440772556416
1,3,94.89440772556416
1,4,94.89440772556416
1,5,94.89440772556416
1,6,94.89440772556416
1,7,113.5850268184952
1,8,113.5850268184952
1,9,113.5850268184952
1,10,113.5850268184952
1,11,113.5850268184952
1,12,113.5850268184952
1,13,113.5850268184952
1,14,113.5850268184952
1,15,113.5850268184952
1,16,113.5850268184952
1,17,116.86464510487552
1,18,116.86464510487552
1,19,116.86464510487552
1,20,116.86464510487552
1,21,94.89440772556416
1,22,94.89440772556416
1,23,94.89440772556416
2,0,95.24871311290842
2,1,95.24871311290842
2,2,95.24871311290842
2,3,95.24871311290842
2,4,95.24871311290842
2,5,95.24871311290842
2,6,95.24871311290842
2,7,114.53154841602388
2,8,114.53154841602388
2,9,114.53154841602388
2,10,114.53154841602388
2,11,114.53154841602388
2,12,114.53154841602388
2,13,114.53154841602388
2,14,114.53154841602388
2,15,114.53154841602388
2,16,114.53154841602388
2,17,117.63020053148084
2,18,117.63020053148084
2,19,117.63020053148084
2,20,117.63020053148084
2,21,95.24871311290842
2,22,95.24871311290842
2,23,95.24871311290842
3,0,93.50623927606767
3,1,93.50623927606767
3,2,93.50623927606767
3,3,93.50623927606767
3,4,93.50623927606767
3,5,93.50623927606767
3,6,93.50623927606767
3,7,114.07576579030928
3,8,114.07576579030928
3,9,114.07576579030928
3,10,114.07576579030928
3,11,114.07576579030928
3,12,114.07576579030928
3,13,114.07576579030928
3,14,114.07576579030928
3,15,114.07576579030928
3,16,114.07576579030928
3,17,118.26598112625446
3,18,118.26598112625446
3,19,118.26598112625446
3,20,118.26598112625446
3,21,93.50623927606767
3,22,93.50623927606767
3,23,93.50623927606767
4,0,93.14285141735036
4,1,93.14285141735036
4,2,93.14285141735036
4,3,93.14285141735036
4,4,93.14285141735036
4,5,93.14285141735036
4,6,93.14285141735036
4,7,114.45202157252628
4,8,114.45202157252628
4,9,114.45202157252628
4,10,114.45202157252628
4,11,114.45202157252628
4,12,114.45202157252628
4,13,114.45202157252628
4,14,114.45202157252628
4,15,114.45202157252628
4,16,114.45202157252628
4,17,119.97195464083688
4,18,119.97195464083688
4,19,119.97195464083688
4,20,119.97195464083688
4,21,93.14285141735036
4,22,93.14285141735036
4,23,93.14285141735036
5,0,92.74631558549596
5,1,92.74631558549596
5,2,92.74631558549596
5,3,92.74631558549596
5,4,92.74631558549596
5,5,92.74631558549596
5,6,92.74631558549596
5,7,114.78509336034726
5,8,114.78509336034726
5,9,114.78509336034726
5,10,114.78509336034726
5,11,114.78509336034726
5,12,114.78509336034726
5,13,114.78509336034726
5,14,114.78509336034726
5,15,114.78509336034726
5,16,114.78509336034726
5,17,119.29148247259936
5,18,119.29148247259936
5,19,119.29148247259936
5,20,119.29148247259936
5,21,92.74631558549596
5,22,92.74631558549596
5,23,92.74631558549596
6,0,92.31093446404756
6,1,92.31093446404756
6,2,92.31093446404756
6,3,92.31093446404756
6,4,92.31093446404756
6,5,92.31093446404756
6,6,92.31093446404756
6,7,115.08830935994258
6,8,115.08830935994258
6,9,115.08830935994258
6,10,115.08830935994258
6,11,115.08830935994258
6,12,115.08830935994258
6,13,115.08830935994258
6,14,115.08830935994258
6,15,115.08830935994258
6,16,115.08830935994258
6,17,120.7261965506214
6,18,120.7261965506214
6,19,120.7261965506214
6,20,120.7261965506214
6,21,92.31093446404756
6,22,92.31093446404756
6,23,92.31093446404756
7,0,112.69586094675952
7,1,112.69586094675952
7,2,112.69586094675952
7,3,112.69586094675952
7,4,112.69586094675952
7,5,112.69586094675952
7,6,112.69586094675952
7,7,112.69586094675952
7,8,112.69586094675952
7,9,112.69586094675952
7,10,170.60637278172715
7,11,170.60637278172715
7,12,170.60637278172715
7,13,234.26850523641505
7,14,234.26850523641505
7,15,234.26850523641505
7,16,234.26850523641505
7,17,234.26850523641505
7,18,170.60637278172715
7,19,170.60637278172715
7,20,170.60637278172715
7,21,112.69586094675952
7,22,112.69586094675952
7,23,112.69586094675952
8,0,112.92498406083725
8,1,112.92498406083725
8,2,112.92498406083725
8,3,112.92498406083725
8,4,112.92498406083725
8,5,112.92498406083725
8,6,112.92498406083725
8,7,112.92498406083725
8,8,112.92498406083725
8,9,112.92498406083725
8,10,172.60526889479542
8,11,172.60526889479542
8,12,172.60526889479542
8,13,240.0144512381338
8,14,240.0144512381338
8,15,240.0144512381338
8,16,240.0144512381338
8,17,240.0144512381338
8,18,172.60526889479542
8,19,172.60526889479542
8,20,172.60526889479542
8,21,112.92498406083725
8,22,112.92498406083725
8,23,112.92498406083725
9,0,113.13054532218662
9,1,113.13054532218662
9,2,113.13054532218662
9,3,113.13054532218662
9,4,113.13054532218662
9,5,113.13054532218662
9,6,113.13054532218662
9,7,113.13054532218662
9,8,113.13054532218662
9,9,113.13054532218662
9,10,171.6730539285018
9,11,171.6730539285018
9,12,171.6730539285018
9,13,240.0794155665595
9,14,240.0794155665595
9,15,240.0794155665595
9,16,240.0794155665595
9,17,240.0794155665595
9,18,171.6730539285018
9,19,171.6730539285018
9,20,171.6730539285018
9,21,113.13054532218662
9,22,113.13054532218662
9,23,113.13054532218662
10,0,91.62789298144872
10,1,91.62789298144872
10,2,91.62789298144872
10,3,91.62789298144872
10,4,91.62789298144872
10,5,91.62789298144872
10,6,91.62789298144872
10,7,115.28801925991598
10,8,115.28801925991598
10,9,115.28801925991598
10,10,115.28801925991598
10,11,115.28801925991598
10,12,115.28801925991598
10,13,115.28801925991598
10,14,115.28801925991598
10,15,115.28801925991598
10,16,115.28801925991598
10,17,120.47328004910509
10,18,120.47328004910509
10,19,120.47328004910509
10,20,120.47328004910509
10,21,91.62789298144872
10,22,91.62789298144872
10,23,91.62789298144872
11,0,92.22974170460093
11,1,92.22974170460093
11,2,92.22974170460093
11,3,92.22974170460093
11,4,92.22974170460093
11,5,92.22974170460093
11,6,92.22974170460093
11,7,114.783102517497
11,8,114.783102517497
11,9,114.783102517497
11,10,114.783102517497
11,11,114.783102517497
11,12,114.783102517497
11,13,114.783102517497
11,14,114.783102517497
11,15,114.783102517497
11,16,114.783102517497
11,17,121.16712155431009
11,18,121.16712155431009
11,19,121.16712155431009
11,20,121.16712155431009
11,21,92.22974170460093
11,22,92.22974170460093
11,23,92.22974170460093
12,0,0.2880376344086021
12,1,0.2880376344086021
12,2,0.2880376344086021
12,3,0.2880376344086021
12,4,0.2880376344086021
12,5,0.2880376344086021
12,6,0.2880376344086021
12,7,0.2880376344086021
12,8,0.2880376344086021
12,9,0.2880376344086021
12,10,0.2880376344086021
12,11,0.2880376344086021
12,12,0.2880376344086021
12,13,0.2880376344086021
12,14,0.2880376344086021
12,15,0.2880376344086021
12,16,0.2880376344086021
12,17,0.2880376344086021
12,18,0.2880376344086021
12,19,0.2880376344086021
12,20,0.2880376344086021
12,21,0.2880376344086021
12,22,0.2880376344086021
12,23,0.2880376344086021
