Month,Hour,Cost
1,0,98.69246092891346
1,1,98.69246092891346
1,2,98.69246092891346
1,3,98.69246092891346
1,4,98.69246092891346
1,5,98.69246092891346
1,6,98.69246092891346
1,7,98.69246092891346
1,8,98.69246092891346
1,9,98.69246092891346
1,10,98.69246092891346
1,11,98.69246092891346
1,12,98.69246092891346
1,13,98.69246092891346
1,14,98.69246092891346
1,15,98.69246092891346
1,16,98.69246092891346
1,17,98.69246092891346
1,18,98.69246092891346
1,19,98.69246092891346
1,20,98.69246092891346
1,21,98.69246092891346
1,22,98.69246092891346
1,23,98.69246092891346
2,0,102.21951485270036
2,1,102.21951485270036
2,2,102.21951485270036
2,3,102.21951485270036
2,4,102.21951485270036
2,5,102.21951485270036
2,6,102.21951485270036
2,7,102.21951485270036
2,8,102.21951485270036
2,9,102.21951485270036
2,10,102.21951485270036
2,11,102.21951485270036
2,12,102.21951485270036
2,13,102.21951485270036
2,14,102.21951485270036
2,15,102.21951485270036
2,16,102.21951485270036
2,17,102.21951485270036
2,18,102.21951485270036
2,19,102.21951485270036
2,20,102.21951485270036
2,21,102.21951485270036
2,22,102.21951485270036
2,23,102.21951485270036
3,0,98.64057966432978
3,1,98.64057966432978
3,2,98.64057966432978
3,3,98.64057966432978
3,4,98.64057966432978
3,5,98.64057966432978
3,6,98.64057966432978
3,7,98.64057966432978
3,8,98.64057966432978
3,9,98.64057966432978
3,10,98.64057966432978
3,11,98.64057966432978
3,12,98.64057966432978
3,13,98.64057966432978
3,14,98.64057966432978
3,15,98.64057966432978
3,16,98.64057966432978
3,17,98.64057966432978
3,18,98.64057966432978
3,19,98.64057966432978
3,20,98.64057966432978
3,21,98.64057966432978
3,22,98.64057966432978
3,23,98.64057966432978
4,0,101.79926180151296
4,1,101.79926180151296
4,2,101.79926180151296
4,3,101.79926180151296
4,4,101.79926180151296
4,5,101.79926180151296
4,6,101.79926180151296
4,7,101.79926180151296
4,8,101.79926180151296
4,9,101.79926180151296
4,10,101.79926180151296
4,11,101.79926180151296
4,12,101.79926180151296
4,13,101.79926180151296
4,14,101.79926180151296
4,15,101.79926180151296
4,16,101.79926180151296
4,17,101.79926180151296
4,18,101.79926180151296
4,19,101.79926180151296
4,20,101.79926180151296
4,21,101.79926180151296
4,22,101.79926180151296
4,23,101.79926180151296
5,0,99.0445142769224
5,1,99.0445142769224
5,2,99.0445142769224
5,3,99.0445142769224
5,4,99.0445142769224
5,5,99.0445142769224
5,6,99.0445142769224
5,7,99.0445142769224
5,8,99.0445142769224
