Month,Hour,Cost
1,0,121.76891323634952
1,1,121.76891323634952
1,2,121.76891323634952
1,3,121.76891323634952
1,4,121.76891323634952
1,5,121.76891323634952
1,6,121.76891323634952
1,7,160.8420528534005
1,8,160.8420528534005
1,9,160.8420528534005
1,10,160.8420528534005
1,11,160.8420528534005
1,12,160.8420528534005
1,13,160.8420528534005
1,14,160.8420528534005
1,15,160.8420528534005
1,16,160.8420528534005
1,17,160.8420528534005
1,18,160.8420528534005
1,19,160.8420528534005
1,20,160.8420528534005
1,21,121.76891323634952
1,22,121.76891323634952
1,23,121.76891323634952
2,0,121.60114627153648
2,1,121.60114627153648
2,2,121.60114627153648
2,3,121.60114627153648
2,4,121.60114627153648
2,5,121.60114627153648
2,6,121.60114627153648
2,7,161.14440431824315
2,8,161.14440431824315
2,9,161.14440431824315
2,10,161.14440431824315
2,11,161.14440431824315
2,12,161.14440431824315
2,13,161.14440431824315
2,14,161.14440431824315
2,15,161.14440431824315
2,16,161.14440431824315
2,17,161.14440431824315
2,18,161.14440431824315
2,19,161.14440431824315
2,20,161.14440431824315
2,21,121.60114627153648
2,22,121.60114627153648
2,23,121.60114627153648
3,0,121.51823671057592
3,1,121.51823671057592
3,2,121.51823671057592
3,3,121.51823671057592
3,4,121.51823671057592
3,5,121.51823671057592
3,6,121.51823671057592
3,7,161.90439465155248
3,8,161.90439465155248
3,9,161.90439465155248
3,10,161.90439465155248
3,11,161.90439465155248
3,12,161.90439465155248
3,13,161.90439465155248
3,14,161.90439465155248
3,15,161.90439465155248
3,16,161.90439465155248
3,17,161.90439465155248
3,18,161.90439465155248
3,19,161.90439465155248
3,20,161.90439465155248
3,21,121.51823671057592
3,22,121.51823671057592
3,23,121.51823671057592
4,0,122.08191052266444
4,1,122.08191052266444
4,2,122.08191052266444
4,3,122.08191052266444
4,4,122.08191052266444
4,5,122.08191052266444
4,6,122.08191052266444
4,7,159.4489562549052
4,8,159.4489562549052
4,9,159.4489562549052
4,10,159.4489562549052
4,11,159.4489562549052
4,12,159.4489562549052
4,13,159.4489562549052
4,14,159.4489562549052
4,15,159.4489562549052
4,16,159.4489562549052
4,17,159.4489562549052
4,18,159.4489562549052
4,19,159.4489562549052
4,20,159.4489562549052
4,21,122.08191052266444
4,22,122.08191052266444
4,23,122.08191052266444
5,0,121.15660865971824
5,1,121.15660865971824
5,2,121.15660865971824
5,3,121.15660865971824
5,4,121.15660865971824
5,5,121.15660865971824
5,6,121.15660865971824
5,7,162.23722922402777
5,8,162.23722922402777
5,9,162.23722922402777
5,10,162.23722922402777
5,11,162.23722922402777
5,12,162.23722922402777
5,13,162.23722922402777
5,14,162.23722922402777
5,15,162.23722922402777
5,16,162.23722922402777
5,17,162.23722922402777
5,18,162.23722922402777
5,19,162.23722922402777
5,20,162.23722922402777
5,21,121.15660865971824
5,22,121.15660865971824
5,23,121.15660865971824
6,0,123.05103298901953
6,1,123.05103298901953
6,2,123.05103298901953
6,3,123.05103298901953
6,4,123.05103298901953
6,5,123.05103298901953
6,6,123.05103298901953
6,7,123.05103298901953
6,8,123.05103298901953
6,9,123.05103298901953
6,10,160.96209638571443
6,11,160.96209638571443
6,12,256.41938051701896
6,13,256.41938051701896
6,14,256.41938051701896
6,15,256.41938051701896
6,16,256.41938051701896
6,17,256.41938051701896
6,18,256.41938051701896
6,19,160.96209638571443
6,20,160.96209638571443
6,21,123.05103298901953
6,22,123.05103298901953
6,23,123.05103298901953
7,0,123.28844614965072
7,1,123.28844614965072
7,2,123.28844614965072
7,3,123.28844614965072
7,4,123.28844614965072
7,5,123.28844614965072
7,6,123.28844614965072
7,7,123.28844614965072
7,8,123.28844614965072
7,9,123.28844614965072
7,10,158.94826693328363
7,11,158.94826693328363
7,12,248.99700873256728
7,13,248.99700873256728
7,14,248.99700873256728
7,15,248.99700873256728
7,16,248.99700873256728
7,17,248.99700873256728
7,18,248.99700873256728
7,19,158.94826693328363
7,20,158.94826693328363
7,21,123.28844614965072
7,22,123.28844614965072
7,23,123.28844614965072
8,0,124.0091241290544
8,1,124.0091241290544
8,2,124.0091241290544
8,3,124.0091241290544
8,4,124.0091241290544
8,5,124.0091241290544
8,6,124.0091241290544
8,7,124.0091241290544
8,8,124.0091241290544
8,9,124.0091241290544
8,10,159.72720596510646
8,11,159.72720596510646
8,12,254.96675052074792
8,13,254.96675052074792
8,14,254.96675052074792
8,15,254.96675052074792
8,16,254.96675052074792
8,17,254.96675052074792
8,18,254.96675052074792
8,19,159.72720596510646
8,20,159.72720596510646
8,21,124.0091241290544
8,22,124.0091241290544
8,23,124.0091241290544
9,0,124.05222720679106
9,1,124.05222720679106
9,2,124.05222720679106
9,3,124.05222720679106
9,4,124.05222720679106
9,5,124.05222720679106
9,6,124.05222720679106
9,7,124.05222720679106
9,8,124.05222720679106
9,9,124.05222720679106
9,10,160.77711151593056
9,11,160.77711151593056
9,12,247.53020749646325
9,13,247.53020749646325
9,14,247.53020749646325
9,15,247.53020749646325
9,16,247.53020749646325
9,17,247.53020749646325
9,18,247.53020749646325
9,19,160.77711151593056
9,20,160.77711151593056
9,21,124.05222720679106
9,22,124.05222720679106
9,23,124.05222720679106
10,0,119.867575929824
10,1,119.867575929824
10,2,119.867575929824
10,3,119.867575929824
10,4,119.867575929824
10,5,119.867575929824
10,6,119.867575929824
10,7,162.6050020572907
10,8,162.6050020572907
10,9,162.6050020572907
10,10,162.6050020572907
10,11,162.6050020572907
10,12,162.6050020572907
10,13,162.6050020572907
10,14,162.6050020572907
10,15,162.6050020572907
10,16,162.6050020572907
10,17,162.6050020572907
10,18,162.6050020572907
10,19,162.6050020572907
10,20,162.6050020572907
10,21,119.867575929824
10,22,119.867575929824
10,23,119.867575929824
11,0,119.16148440364864
11,1,119.16148440364864
11,2,119.16148440364864
11,3,119.16148440364864
11,4,119.16148440364864
11,5,119.16148440364864
11,6,119.16148440364864
11,7,163.86522671810286
11,8,163.86522671810286
11,9,163.86522671810286
11,10,163.86522671810286
11,11,163.86522671810286
11,12,163.86522671810286
11,13,163.86522671810286
11,14,163.86522671810286
11,15,163.86522671810286
11,16,163.86522671810286
11,17,163.86522671810286
11,18,163.86522671810286
11,19,163.86522671810286
11,20,163.86522671810286
11,21,119.16148440364864
11,22,119.16148440364864
11,23,119.16148440364864
12,0,0.1364247311827957
12,1,0.1364247311827957
12,2,0.1364247311827957
12,3,0.1364247311827957
12,4,0.1364247311827957
12,5,0.1364247311827957
12,6,0.1364247311827957
12,7,0.1364247311827957
12,8,0.1364247311827957
12,9,0.1364247311827957
12,10,0.1364247311827957
12,11,0.1364247311827957
12,12,0.1364247311827957
12,13,0.1364247311827957
12,14,0.1364247311827957
12,15,0.1364247311827957
12,16,0.1364247311827957
12,17,0.1364247311827957
12,18,0.1364247311827957
12,19,0.1364247311827957
12,20,0.1364247311827957
12,21,0.1364247311827957
12,22,0.1364247311827957
12,23,0.1364247311827957
