Month,Hour,Cost
1,0,82.54768028244368
1,1,82.54768028244368
1,2,82.54768028244368
1,3,82.54768028244368
1,4,82.54768028244368
1,5,82.54768028244368
1,6,82.54768028244368
1,7,82.54768028244368
1,8,82.54768028244368
1,9,82.54768028244368
1,10,82.54768028244368
1,11,82.54768028244368
1,12,82.54768028244368
1,13,82.54768028244368
1,14,93.11006408130801
1,15,93.11006408130801
1,16,98.75978304552278
1,17,98.75978304552278
1,18,98.75978304552278
1,19,93.11006408130801
1,20,93.11006408130801
1,21,82.54768028244368
1,22,82.54768028244368
1,23,82.54768028244368
2,0,82.86449267917749
2,1,82.86449267917749
2,2,82.86449267917749
2,3,82.86449267917749
2,4,82.86449267917749
2,5,82.86449267917749
2,6,82.86449267917749
2,7,82.86449267917749
2,8,82.86449267917749
2,9,82.86449267917749
2,10,82.86449267917749
2,11,82.86449267917749
2,12,82.86449267917749
2,13,82.86449267917749
2,14,93.6119689357079
2,15,93.6119689357079
2,16,97.62011067385275
2,17,97.62011067385275
2,18,97.62011067385275
2,19,93.6119689357079
2,20,93.6119689357079
2,21,82.86449267917749
2,22,82.86449267917749
2,23,82.86449267917749
3,0,82.75524069030516
3,1,82.75524069030516
3,2,82.75524069030516
3,3,82.75524069030516
3,4,82.75524069030516
3,5,82.75524069030516
3,6,82.75524069030516
3,7,82.75524069030516
3,8,82.75524069030516
3,9,82.75524069030516
3,10,82.75524069030516
3,11,82.75524069030516
3,12,82.75524069030516
3,13,82.75524069030516
3,14,93.9281394918098
3,15,93.9281394918098
3,16,96.70774319609876
3,17,96.70774319609876
3,18,96.70774319609876
3,19,93.9281394918098
3,20,93.9281394918098
3,21,82.75524069030516
3,22,82.75524069030516
3,23,82.75524069030516
4,0,82.82749080748869
4,1,82.82749080748869
4,2,82.82749080748869
4,3,82.82749080748869
4,4,82.82749080748869
4,5,82.82749080748869
4,6,82.82749080748869
4,7,82.82749080748869
4,8,82.82749080748869
4,9,82.82749080748869
4,10,82.82749080748869
4,11,82.82749080748869
4,12,82.82749080748869
4,13,82.82749080748869
4,14,92.89941322196734
4,15,92.89941322196734
4,16,96.874051281284
4,17,96.874051281284
4,18,96.874051281284
4,19,92.89941322196734
4,20,92.89941322196734
4,21,82.82749080748869
4,22,82.82749080748869
4,23,82.82749080748869
5,0,82.48252919710107
5,1,82.48252919710107
5,2,82.48252919710107
5,3,82.48252919710107
5,4,82.48252919710107
5,5,82.48252919710107
5,6,82.48252919710107
5,7,82.48252919710107
5,8,82.48252919710107
5,9,82.48252919710107
5,10,82.48252919710107
5,11,82.48252919710107
5,12,82.48252919710107
5,13,82.48252919710107
5,14,93.85674243143163
5,15,93.85674243143163
5,16,98.85155257710271
5,17,98.85155257710271
5,18,98.85155257710271
5,19,93.85674243143163
5,20,93.85674243143163
5,21,82.48252919710107
5,22,82.48252919710107
5,23,82.48252919710107
6,0,68.03360467889925
6,1,68.03360467889925
6,2,68.03360467889925
6,3,68.03360467889925
6,4,68.03360467889925
6,5,68.03360467889925
6,6,91.26299614376066
6,7,91.26299614376066
6,8,91.26299614376066
6,9,91.26299614376066
6,10,91.26299614376066
6,11,91.26299614376066
6,12,119.36852525013737
6,13,119.36852525013737
6,14,136.6702094636098
6,15,136.6702094636098
6,16,136.6702094636098
6,17,119.36852525013737
6,18,119.36852525013737
6,19,91.26299614376066
6,20,91.26299614376066
6,21,91.26299614376066
6,22,91.26299614376066
6,23,68.03360467889925
7,0,68.50366747528597
7,1,68.50366747528597
7,2,68.50366747528597
7,3,68.50366747528597
7,4,68.50366747528597
7,5,68.50366747528597
7,6,89.76042980411675
7,7,89.76042980411675
7,8,89.76042980411675
7,9,89.76042980411675
7,10,89.76042980411675
7,11,89.76042980411675
7,12,116.85269154228124
7,13,116.85269154228124
7,14,132.81470231792017
7,15,132.81470231792017
7,16,132.81470231792017
7,17,116.85269154228124
7,18,116.85269154228124
7,19,89.76042980411675
7,20,89.76042980411675
7,21,89.76042980411675
7,22,89.76042980411675
7,23,68.50366747528597
8,0,68.68245306816631
8,1,68.68245306816631
8,2,68.68245306816631
8,3,68.68245306816631
8,4,68.68245306816631
8,5,68.68245306816631
8,6,91.06807331978779
8,7,91.06807331978779
8,8,91.06807331978779
8,9,91.06807331978779
8,10,91.06807331978779
8,11,91.06807331978779
8,12,118.94596125063845
8,13,118.94596125063845
8,14,135.32378794936275
8,15,135.32378794936275
8,16,135.32378794936275
8,17,118.94596125063845
8,18,118.94596125063845
8,19,91.06807331978779
8,20,91.06807331978779
8,21,91.06807331978779
8,22,91.06807331978779
8,23,68.68245306816631
9,0,68.4154975719223
9,1,68.4154975719223
9,2,68.4154975719223
9,3,68.4154975719223
9,4,68.4154975719223
9,5,68.4154975719223
9,6,91.46135626645484
9,7,91.46135626645484
9,8,91.46135626645484
9,9,91.46135626645484
9,10,91.46135626645484
9,11,91.46135626645484
9,12,115.84514398773268
9,13,115.84514398773268
9,14,131.85611668615348
9,15,131.85611668615348
9,16,131.85611668615348
9,17,115.84514398773268
9,18,115.84514398773268
9,19,91.46135626645484
9,20,91.46135626645484
9,21,91.46135626645484
9,22,91.46135626645484
9,23,68.4154975719223
10,0,82.18716617647384
10,1,82.18716617647384
10,2,82.18716617647384
10,3,82.18716617647384
10,4,82.18716617647384
10,5,82.18716617647384
10,6,82.18716617647384
10,7,82.18716617647384
10,8,82.18716617647384
10,9,82.18716617647384
10,10,82.18716617647384
10,11,82.18716617647384
10,12,82.18716617647384
10,13,82.18716617647384
10,14,95.00870816997568
10,15,95.00870816997568
10,16,98.54147229540783
10,17,98.54147229540783
10,18,98.54147229540783
10,19,95.00870816997568
10,20,95.00870816997568
10,21,82.18716617647384
10,22,82.18716617647384
10,23,82.18716617647384
11,0,81.95779513740558
11,1,81.95779513740558
11,2,81.95779513740558
11,3,81.95779513740558
11,4,81.95779513740558
