Month,Hour,Cost
1,0,36.77913716268168
1,1,36.77913716268168
1,2,36.77913716268168
1,3,36.77913716268168
1,4,36.77913716268168
1,5,36.77913716268168
1,6,115.58830410469685
1,7,115.58830410469685
1,8,115.58830410469685
1,9,115.58830410469685
1,10,115.58830410469685
1,11,115.58830410469685
1,12,64.25287491252365
1,13,64.25287491252365
1,14,64.25287491252365
1,15,64.25287491252365
1,16,64.25287491252365
1,17,64.25287491252365
1,18,64.25287491252365
1,19,64.25287491252365
1,20,64.25287491252365
1,21,64.25287491252365
1,22,36.77913716268168
1,23,36.77913716268168
2,0,38.0811395052729
2,1,38.0811395052729
2,2,38.0811395052729
2,3,38.0811395052729
2,4,38.0811395052729
2,5,38.0811395052729
2,6,124.0962823792648
2,7,124.0962823792648
2,8,124.0962823792648
2,9,124.0962823792648
2,10,124.0962823792648
2,11,124.0962823792648
2,12,67.69191885274263
2,13,67.69191885274263
2,14,67.69191885274263
2,15,67.69191885274263
2,16,67.69191885274263
2,17,67.69191885274263
2,18,67.69191885274263
2,19,67.69191885274263
2,20,67.69191885274263
2,21,67.69191885274263
2,22,38.0811395052729
2,23,38.0811395052729
3,0,37.57484442071531
3,1,37.57484442071531
3,2,37.57484442071531
3,3,37.57484442071531
3,4,37.57484442071531
3,5,37.57484442071531
3,6,115.20916045368038
3,7,115.20916045368038
3,8,115.20916045368038
3,9,115.20916045368038
3,10,115.20916045368038
3,11,115.20916045368038
3,12,62.15213704597421
3,13,62.15213704597421
3,14,62.15213704597421
3,15,62.15213704597421
3,16,62.15213704597421
3,17,62.15213704597421
3,18,62.15213704597421
3,19,62.15213704597421
3,20,62.15213704597421
3,21,62.15213704597421
3,22,37.57484442071531
3,23,37.57484442071531
4,0,37.33673784201087
4,1,37.33673784201087
4,2,37.33673784201087
4,3,37.33673784201087
4,4,37.33673784201087
4,5,37.33673784201087
4,6,124.59946308712057
4,7,124.59946308712057
4,8,124.59946308712057
4,9,124.59946308712057
4,10,124.59946308712057
4,11,124.59946308712057
4,12,66.60948777750257
4,13,66.60948777750257
4,14,66.60948777750257
4,15,66.60948777750257
4,16,66.60948777750257
4,17,66.60948777750257
4,18,66.60948777750257
4,19,66.60948777750257
4,20,66.60948777750257
4,21,66.60948777750257
4,22,37.33673784201087
4,23,37.33673784201087
5,0,35.200502705047086
5,1,35.200502705047086
5,2,35.200502705047086
5,3,35.200502705047086
5,4,35.200502705047086
5,5,35.200502705047086
5,6,35.200502705047086
5,7,35.200502705047086
5,8,35.200502705047086
5,9,35.200502705047086
5,10,85.1677071275928
5,11,85.1677071275928
5,12,85.1677071275928
5,13,103.84578852597873
5,14,103.84578852597873
5,15,103.84578852597873
5,16,103.84578852597873
5,17,103.84578852597873
5,18,103.84578852597873
5,19,85.1677071275928
5,20,85.1677071275928
5,21,85.1677071275928
5,22,35.200502705047086
5,23,35.200502705047086
6,0,34.96449246490358
6,1,34.96449246490358
6,2,34.96449246490358
6,3,34.96449246490358
6,4,34.96449246490358
6,5,34.96449246490358
6,6,34.96449246490358
6,7,34.96449246490358
6,8,34.96449246490358
6,9,34.96449246490358
6,10,88.79644686698099
6,11,88.79644686698099
6,12,88.79644686698099
6,13,109.23112888353388
6,14,109.23112888353388
6,15,109.23112888353388
6,16,109.23112888353388
6,17,109.23112888353388
6,18,109.23112888353388
6,19,88.79644686698099
6,20,88.79644686698099
6,21,88.79644686698099
6,22,34.96449246490358
6,23,34.96449246490358
7,0,33.979436558733184
7,1,33.979436558733184
7,2,33.979436558733184
7,3,33.979436558733184
7,4,33.979436558733184
7,5,33.979436558733184
7,6,33.979436558733184
7,7,33.979436558733184
7,8,33.979436558733184
7,9,33.979436558733184
7,10,84.63016577626675
7,11,84.63016577626675
7,12,84.63016577626675
7,13,104.3258774574915
7,14,104.3258774574915
7,15,104.3258774574915
7,16,104.3258774574915
7,17,104.3258774574915
7,18,104.3258774574915
7,19,84.63016577626675
7,20,84.63016577626675
7,21,84.63016577626675
7,22,33.979436558733184
7,23,33.979436558733184
8,0,34.435792208233885
8,1,34.435792208233885
8,2,34.435792208233885
8,3,34.435792208233885
8,4,34.435792208233885
8,5,34.435792208233885
8,6,34.435792208233885
8,7,34.435792208233885
8,8,34.435792208233885
8,9,34.435792208233885
8,10,82.41689047949305
8,11,82.41689047949305
8,12,82.41689047949305
8,13,100.58142067346114
8,14,100.58142067346114
8,15,100.58142067346114
8,16,100.58142067346114
8,17,100.58142067346114
8,18,100.58142067346114
8,19,82.41689047949305
8,20,82.41689047949305
8,21,82.41689047949305
8,22,34.435792208233885
8,23,34.435792208233885
9,0,34.99282790217764
9,1,34.99282790217764
9,2,34.99282790217764
9,3,34.99282790217764
9,4,34.99282790217764
9,5,34.99282790217764
9,6,34.99282790217764
9,7,34.99282790217764
9,8,34.99282790217764
9,9,34.99282790217764
9,10,87.56545299012517
9,11,87.56545299012517
9,12,87.56545299012517
9,13,105.14995947257778
9,14,105.14995947257778
9,15,105.14995947257778
9,16,105.14995947257778
9,17,105.14995947257778
9,18,105.14995947257778
9,19,87.56545299012517
9,20,87.56545299012517
9,21,87.56545299012517
9,22,34.99282790217764
9,23,34.99282790217764
10,0,36.40248721191917
10,1,36.40248721191917
10,2,36.40248721191917
10,3,36.40248721191917
10,4,36.40248721191917
10,5,36.40248721191917
10,6,116.39076386502272
10,7,116.39076386502272
10,8,116.39076386502272
10,9,116.39076386502272
10,10,116.39076386502272
10,11,116.39076386502272
10,12,63.226309066751604
10,13,63.226309066751604
10,14,63.226309066751604
10,15,63.226309066751604
10,16,63.226309066751604
10,17,63.226309066751604
10,18,63.226309066751604
10,19,63.226309066751604
10,20,63.226309066751604
10,21,63.226309066751604
10,22,36.40248721191917
10,23,36.40248721191917
11,0,38.17584352809288
11,1,38.17584352809288
11,2,38.17584352809288
11,3,38.17584352809288
11,4,38.17584352809288
11,5,38.17584352809288
11,6,123.46827601827813
11,7,123.46827601827813
11,8,123.46827601827813
11,9,123.46827601827813
11,10,123.46827601827813
11,11,123.46827601827813
11,12,67.34084494133461
11,13,67.34084494133461
11,14,67.34084494133461
11,15,67.34084494133461
11,16,67.34084494133461
11,17,67.34084494133461
11,18,67.34084494133461
11,19,67.34084494133461
11,20,67.34084494133461
11,21,67.34084494133461
11,22,38.17584352809288
11,23,38.17584352809288
12,0,0.0145698924731182
12,1,0.0145698924731182
12,2,0.0145698924731182
12,3,0.0145698924731182
12,4,0.0145698924731182
12,5,0.0145698924731182
12,6,0.0145698924731182
12,7,0.0145698924731182
12,8,0.0145698924731182
12,9,0.0145698924731182
12,10,0.0145698924731182
12,11,0.0145698924731182
12,12,0.0145698924731182
12,13,0.0145698924731182
12,14,0.0145698924731182
12,15,0.0145698924731182
12,16,0.0145698924731182
12,17,0.0145698924731182
12,18,0.0145698924731182
12,19,0.0145698924731182
12,20,0.0145698924731182
12,21,0.0145698924731182
12,22,0.0145698924731182
12,23,0.0145698924731182
