Month,Hour,Cost
1,0,46.621950751998206
1,1,46.621950751998206
1,2,46.621950751998206
1,3,46.621950751998206
1,4,46.621950751998206
1,5,46.621950751998206
1,6,143.4146945295232
1,7,143.4146945295232
1,8,143.4146945295232
1,9,143.4146945295232
1,10,14.215617221720207
1,11,14.215617221720207
1,12,14.215617221720207
1,13,14.215617221720207
1,14,14.215617221720207
1,15,14.215617221720207
1,16,14.215617221720207
1,17,17.386397357730733
1,18,17.386397357730733
1,19,17.386397357730733
1,20,14.215617221720207
1,21,14.215617221720207
1,22,14.215617221720207
1,23,14.215617221720207
2,0,46.35364801907399
2,1,46.35364801907399
2,2,46.35364801907399
2,3,46.35364801907399
2,4,46.35364801907399
2,5,46.35364801907399
2,6,141.59454045407077
2,7,141.59454045407077
2,8,141.59454045407077
2,9,141.59454045407077
2,10,15.509086488997088
2,11,15.509086488997088
2,12,15.509086488997088
2,13,15.509086488997088
2,14,15.509086488997088
2,15,15.509086488997088
2,16,15.509086488997088
2,17,18.44471983144501
2,18,18.44471983144501
2,19,18.44471983144501
2,20,15.509086488997088
2,21,15.509086488997088
2,22,15.509086488997088
2,23,15.509086488997088
3,0,46.20525227613909
3,1,46.20525227613909
3,2,46.20525227613909
3,3,46.20525227613909
3,4,46.20525227613909
3,5,46.20525227613909
3,6,141.4333547760495
3,7,141.4333547760495
3,8,141.4333547760495
3,9,141.4333547760495
3,10,15.452536322982256
3,11,15.452536322982256
3,12,15.452536322982256
3,13,15.452536322982256
3,14,15.452536322982256
3,15,15.452536322982256
3,16,15.452536322982256
3,17,18.000162150945282
3,18,18.000162150945282
3,19,18.000162150945282
3,20,15.452536322982256
3,21,15.452536322982256
3,22,15.452536322982256
3,23,15.452536322982256
4,0,13.574708783635682
4,1,13.574708783635682
4,2,13.574708783635682
4,3,13.574708783635682
4,4,13.574708783635682
4,5,13.574708783635682
4,6,13.574708783635682
4,7,13.574708783635682
4,8,13.574708783635682
4,9,13.574708783635682
4,10,13.574708783635682
4,11,13.574708783635682
4,12,13.574708783635682
4,13,13.574708783635682
4,14,13.574708783635682
4,15,13.574708783635682
4,16,12.383836126257194
4,17,12.383836126257194
4,18,12.383836126257194
4,19,12.383836126257194
4,20,13.574708783635682
4,21,13.574708783635682
4,22,13.574708783635682
4,23,13.574708783635682
5,0,13.194579138594273
5,1,13.194579138594273
5,2,13.194579138594273
5,3,13.194579138594273
5,4,13.194579138594273
5,5,13.194579138594273
5,6,13.194579138594273
5,7,13.194579138594273
5,8,13.194579138594273
5,9,13.194579138594273
5,10,13.194579138594273
5,11,13.194579138594273
5,12,13.194579138594273
5,13,13.194579138594273
5,14,13.194579138594273
5,15,13.194579138594273
5,16,12.783090092625354
5,17,12.783090092625354
5,18,12.783090092625354
5,19,12.783090092625354
5,20,13.194579138594273
5,21,13.194579138594273
5,22,13.194579138594273
5,23,13.194579138594273
6,0,14.720185050033637
6,1,14.720185050033637
6,2,14.720185050033637
6,3,14.720185050033637
6,4,14.720185050033637
6,5,14.720185050033637
6,6,14.720185050033637
6,7,14.720185050033637
6,8,14.720185050033637
6,9,14.720185050033637
6,10,14.720185050033637
6,11,14.720185050033637
6,12,14.720185050033637
6,13,14.720185050033637
6,14,14.720185050033637
6,15,14.720185050033637
6,16,15.98690829316684
6,17,15.98690829316684
6,18,15.98690829316684
6,19,15.98690829316684
6,20,14.720185050033637
6,21,14.720185050033637
6,22,14.720185050033637
6,23,14.720185050033637
7,0,13.307637841076932
7,1,13.307637841076932
7,2,13.307637841076932
7,3,13.307637841076932
7,4,13.307637841076932
7,5,13.307637841076932
7,6,13.307637841076932
7,7,13.307637841076932
7,8,13.307637841076932
7,9,13.307637841076932
7,10,13.307637841076932
7,11,13.307637841076932
7,12,13.307637841076932
7,13,13.307637841076932
7,14,13.307637841076932
7,15,13.307637841076932
7,16,12.137204255419702
7,17,12.137204255419702
7,18,12.137204255419702
7,19,12.137204255419702
7,20,13.307637841076932
7,21,13.307637841076932
7,22,13.307637841076932
7,23,13.307637841076932
8,0,13.602021899120576
8,1,13.602021899120576
8,2,13.602021899120576
8,3,13.602021899120576
8,4,13.602021899120576
8,5,13.602021899120576
8,6,13.602021899120576
8,7,13.602021899120576
8,8,13.602021899120576
8,9,13.602021899120576
8,10,13.602021899120576
8,11,13.602021899120576
8,12,13.602021899120576
8,13,13.602021899120576
8,14,13.602021899120576
8,15,13.602021899120576
8,16,12.388454414458
8,17,12.388454414458
8,18,12.388454414458
8,19,12.388454414458
8,20,13.602021899120576
8,21,13.602021899120576
8,22,13.602021899120576
8,23,13.602021899120576
9,0,14.811208336819464
9,1,14.811208336819464
9,2,14.811208336819464
9,3,14.811208336819464
9,4,14.811208336819464
9,5,14.811208336819464
9,6,14.811208336819464
9,7,14.811208336819464
9,8,14.811208336819464
9,9,14.811208336819464
9,10,14.811208336819464
9,11,14.811208336819464
9,12,14.811208336819464
9,13,14.811208336819464
9,14,14.811208336819464
9,15,14.811208336819464
9,16,13.68121250348613
9,17,13.68121250348613
9,18,13.68121250348613
9,19,13.68121250348613
9,20,14.811208336819464
9,21,14.811208336819464
9,22,14.811208336819464
9,23,14.811208336819464
10,0,12.670965707196427
10,1,12.670965707196427
10,2,12.670965707196427
10,3,12.670965707196427
10,4,12.670965707196427
10,5,12.670965707196427
10,6,12.670965707196427
10,7,12.670965707196427
10,8,12.670965707196427
10,9,12.670965707196427
10,10,12.670965707196427
10,11,12.670965707196427
10,12,12.670965707196427
10,13,12.670965707196427
10,14,12.670965707196427
10,15,12.670965707196427
10,16,16.05344567885215
10,17,16.05344567885215
10,18,16.05344567885215
10,19,16.05344567885215
10,20,12.670965707196427
10,21,12.670965707196427
10,22,12.670965707196427
10,23,12.670965707196427
11,0,13.240839116107402
11,1,13.240839116107402
11,2,13.240839116107402
11,3,13.240839116107402
11,4,13.240839116107402
11,5,13.240839116107402
11,6,15.964925167262038
11,7,15.964925167262038
11,8,15.964925167262038
11,9,15.964925167262038
11,10,13.240839116107402
11,11,13.240839116107402
11,12,13.240839116107402
11,13,13.240839116107402
11,14,13.240839116107402
11,15,13.240839116107402
11,16,13.240839116107402
11,17,15.964925167262038
11,18,15.964925167262038
11,19,15.964925167262038
11,20,13.240839116107402
11,21,13.240839116107402
11,22,13.240839116107402
11,23,13.240839116107402
12,0,0.1730510752688172
12,1,0.1730510752688172
12,2,0.1730510752688172
12,3,0.1730510752688172
12,4,0.1730510752688172
12,5,0.1730510752688172
12,6,0.1730510752688172
12,7,0.1730510752688172
12,8,0.1730510752688172
12,9,0.1730510752688172
12,10,0.1730510752688172
12,11,0.1730510752688172
12,12,0.1730510752688172
12,13,0.1730510752688172
12,14,0.1730510752688172
12,15,0.1730510752688172
12,16,0.1730510752688172
12,17,0.1730510752688172
12,18,0.1730510752688172
12,19,0.1730510752688172
12,20,0.1730510752688172
12,21,0.1730510752688172
12,22,0.1730510752688172
12,23,0.1730510752688172
