Month,Hour,Cost
1,0,28.061727559966062
1,1,28.061727559966062
1,2,28.061727559966062
1,3,28.061727559966062
1,4,28.061727559966062
1,5,28.061727559966062
1,6,28.061727559966062
1,7,28.061727559966062
1,8,28.061727559966062
1,9,28.061727559966062
1,10,28.061727559966062
1,11,28.061727559966062
1,12,28.061727559966062
1,13,28.061727559966062
1,14,28.061727559966062
1,15,28.061727559966062
1,16,28.061727559966062
1,17,28.061727559966062
1,18,28.061727559966062
1,19,28.061727559966062
1,20,28.061727559966062
1,21,28.061727559966062
1,22,28.061727559966062
1,23,28.061727559966062
2,0,28.34739033805291
2,1,28.34739033805291
2,2,28.34739033805291
2,3,28.34739033805291
2,4,28.34739033805291
2,5,28.34739033805291
2,6,28.34739033805291
2,7,28.34739033805291
2,8,28.34739033805291
2,9,28.34739033805291
2,10,28.34739033805291
2,11,28.34739033805291
2,12,28.34739033805291
2,13,28.34739033805291
2,14,28.34739033805291
2,15,28.34739033805291
2,16,28.34739033805291
2,17,28.34739033805291
2,18,28.34739033805291
2,19,28.34739033805291
2,20,28.34739033805291
2,21,28.34739033805291
2,22,28.34739033805291
2,23,28.34739033805291
3,0,28.053648022685078
3,1,28.053648022685078
3,2,28.053648022685078
3,3,28.053648022685078
3,4,28.053648022685078
3,5,28.053648022685078
3,6,28.053648022685078
3,7,28.053648022685078
3,8,28.053648022685078
3,9,28.053648022685078
3,10,28.053648022685078
3,11,28.053648022685078
3,12,28.053648022685078
3,13,28.053648022685078
3,14,28.053648022685078
3,15,28.053648022685078
3,16,28.053648022685078
3,17,28.053648022685078
3,18,28.053648022685078
3,19,28.053648022685078
3,20,28.053648022685078
3,21,28.053648022685078
3,22,28.053648022685078
3,23,28.053648022685078
4,0,28.325891974783907
4,1,28.325891974783907
4,2,28.325891974783907
4,3,28.325891974783907
4,4,28.325891974783907
4,5,28.325891974783907
4,6,28.325891974783907
4,7,28.325891974783907
4,8,28.325891974783907
4,9,28.325891974783907
4,10,28.325891974783907
4,11,28.325891974783907
4,12,28.325891974783907
4,13,28.325891974783907
4,14,28.325891974783907
4,15,28.325891974783907
