Month,Hour,Cost
1,0,309.12244623655914
1,1,309.12244623655914
1,2,309.12244623655914
1,3,309.12244623655914
1,4,309.12244623655914
1,5,309.12244623655914
1,6,309.12244623655914
1,7,309.12244623655914
1,8,309.12244623655914
1,9,309.12244623655914
1,10,309.12244623655914
1,11,309.12244623655914
1,12,309.12244623655914
1,13,309.12244623655914
1,14,309.12244623655914
1,15,309.12244623655914
1,16,309.12244623655914
1,17,309.12244623655914
1,18,309.12244623655914
1,19,309.12244623655914
1,20,309.12244623655914
1,21,309.12244623655914
1,22,309.12244623655914
1,23,309.12244623655914
2,0,309.22020833333346
2,1,309.22020833333346
2,2,309.22020833333346
2,3,309.22020833333346
2,4,309.22020833333346
2,5,309.22020833333346
2,6,309.22020833333346
2,7,309.22020833333346
2,8,309.22020833333346
2,9,309.22020833333346
2,10,309.22020833333346
2,11,309.22020833333346
2,12,309.22020833333346
2,13,309.22020833333346
2,14,309.22020833333346
2,15,309.22020833333346
2,16,309.22020833333346
2,17,309.22020833333346
2,18,309.22020833333346
2,19,309.22020833333346
2,20,309.22020833333346
2,21,309.22020833333346
2,22,309.22020833333346
2,23,309.22020833333346
3,0,309.12244623655886
3,1,309.12244623655886
3,2,309.12244623655886
3,3,309.12244623655886
3,4,309.12244623655886
3,5,309.12244623655886
3,6,309.12244623655886
3,7,309.12244623655886
3,8,309.12244623655886
3,9,309.12244623655886
3,10,309.12244623655886
3,11,309.12244623655886
3,12,309.12244623655886
3,13,309.12244623655886
3,14,309.12244623655886
3,15,309.12244623655886
3,16,309.12244623655886
3,17,309.12244623655886
3,18,309.12244623655886
3,19,309.12244623655886
3,20,309.12244623655886
3,21,309.12244623655886
3,22,309.12244623655886
3,23,309.12244623655886
4,0,309.15286111111106
4,1,309.15286111111106
4,2,309.15286111111106
4,3,309.15286111111106
4,4,309.15286111111106
4,5,309.15286111111106
4,6,309.15286111111106
4,7,309.15286111111106
4,8,309.15286111111106
4,9,309.15286111111106
4,10,309.15286111111106
4,11,309.15286111111106
4,12,309.15286111111106
4,13,309.15286111111106
4,14,309.15286111111106
4,15,309.15286111111106
4,16,309.15286111111106
4,17,309.15286111111106
4,18,309.15286111111106
4,19,309.15286111111106
4,20,309.15286111111106
4,21,309.15286111111106
4,22,309.15286111111106
4,23,309.15286111111106
5,0,309.1224462365592
5,1,309.1224462365592
5,2,309.1224462365592
5,3,309.1224462365592
5,4,309.1224462365592
5,5,309.1224462365592
5,6,309.1224462365592
5,7,309.1224462365592
5,8,309.1224462365592
5,9,309.1224462365592
5,10,309.1224462365592
5,11,309.1224462365592
5,12,309.1224462365592
5,13,309.1224462365592
5,14,309.1224462365592
5,15,309.1224462365592
5,16,309.1224462365592
5,17,309.1224462365592
5,18,309.1224462365592
5,19,309.1224462365592
5,20,309.1224462365592
5,21,309.1224462365592
5,22,309.1224462365592
5,23,309.1224462365592
6,0,348.4746111111109
6,1,348.4746111111109
6,2,348.4746111111109
6,3,348.4746111111109
6,4,348.4746111111109
6,5,348.4746111111109
6,6,348.4746111111109
6,7,348.4746111111109
6,8,348.4746111111109
6,9,348.4746111111109
6,10,348.4746111111109
6,11,348.4746111111109
6,12,348.4746111111109
6,13,348.4746111111109
6,14,348.4746111111109
6,15,348.4746111111109
6,16,348.4746111111109
6,17,348.4746111111109
6,18,348.4746111111109
6,19,348.4746111111109
6,20,348.4746111111109
6,21,348.4746111111109
6,22,348.4746111111109
6,23,348.4746111111109
7,0,348.47672043010726
7,1,348.47672043010726
7,2,348.47672043010726
7,3,348.47672043010726
7,4,348.47672043010726
7,5,348.47672043010726
7,6,348.47672043010726
7,7,348.47672043010726
7,8,348.47672043010726
7,9,348.47672043010726
7,10,348.47672043010726
7,11,348.47672043010726
7,12,348.47672043010726
7,13,348.47672043010726
7,14,348.47672043010726
7,15,348.47672043010726
7,16,348.47672043010726
7,17,348.47672043010726
7,18,348.47672043010726
7,19,348.47672043010726
7,20,348.47672043010726
7,21,348.47672043010726
7,22,348.47672043010726
7,23,348.47672043010726
8,0,348.4767204301075
8,1,348.4767204301075
8,2,348.4767204301075
8,3,348.4767204301075
8,4,348.4767204301075
8,5,348.4767204301075
8,6,348.4767204301075
8,7,348.4767204301075
8,8,348.4767204301075
8,9,348.4767204301075
8,10,348.4767204301075
8,11,348.4767204301075
8,12,348.4767204301075
8,13,348.4767204301075
8,14,348.4767204301075
8,15,348.4767204301075
8,16,348.4767204301075
8,17,348.4767204301075
8,18,348.4767204301075
8,19,348.4767204301075
8,20,348.4767204301075
8,21,348.4767204301075
8,22,348.4767204301075
8,23,348.4767204301075
9,0,348.474611111111
9,1,348.474611111111
9,2,348.474611111111
9,3,348.474611111111
9,4,348.474611111111
9,5,348.474611111111
9,6,348.474611111111
9,7,348.474611111111
9,8,348.474611111111
9,9,348.474611111111
9,10,348.474611111111
9,11,348.474611111111
9,12,348.474611111111
9,13,348.474611111111
9,14,348.474611111111
9,15,348.474611111111
9,16,348.474611111111
9,17,348.474611111111
9,18,348.474611111111
9,19,348.474611111111
9,20,348.474611111111
9,21,348.474611111111
9,22,348.474611111111
9,23,348.474611111111
10,0,308.255134408602
10,1,308.255134408602
10,2,308.255134408602
10,3,308.255134408602
10,4,308.255134408602
10,5,308.255134408602
10,6,308.255134408602
10,7,308.255134408602
10,8,308.255134408602
10,9,308.255134408602
10,10,308.255134408602
10,11,308.255134408602
10,12,308.255134408602
10,13,308.255134408602
10,14,308.255134408602
10,15,308.255134408602
10,16,308.255134408602
10,17,308.255134408602
10,18,308.255134408602
10,19,308.255134408602
10,20,308.255134408602
10,21,308.255134408602
10,22,308.255134408602
10,23,308.255134408602
11,0,308.25663888888874
11,1,308.25663888888874
11,2,308.25663888888874
11,3,308.25663888888874
11,4,308.25663888888874
11,5,308.25663888888874
11,6,308.25663888888874
11,7,308.25663888888874
11,8,308.25663888888874
11,9,308.25663888888874
11,10,308.25663888888874
11,11,308.25663888888874
11,12,308.25663888888874
11,13,308.25663888888874
11,14,308.25663888888874
11,15,308.25663888888874
11,16,308.25663888888874
11,17,308.25663888888874
11,18,308.25663888888874
11,19,308.25663888888874
11,20,308.25663888888874
11,21,308.25663888888874
11,22,308.25663888888874
11,23,308.25663888888874
12,0,0.8736559139784946
12,1,0.8736559139784946
12,2,0.8736559139784946
12,3,0.8736559139784946
12,4,0.8736559139784946
12,5,0.8736559139784946
12,6,0.8736559139784946
12,7,0.8736559139784946
12,8,0.8736559139784946
12,9,0.8736559139784946
12,10,0.8736559139784946
12,11,0.8736559139784946
12,12,0.8736559139784946
12,13,0.8736559139784946
12,14,0.8736559139784946
12,15,0.8736559139784946
12,16,0.8736559139784946
12,17,0.8736559139784946
12,18,0.8736559139784946
12,19,0.8736559139784946
12,20,0.8736559139784946
12,21,0.8736559139784946
12,22,0.8736559139784946
12,23,0.8736559139784946
