Month,Hour,Cost
1,0,35.35322580645155
1,1,35.35322580645155
1,2,35.35322580645155
1,3,35.35322580645155
1,4,35.35322580645155
1,5,35.35322580645155
1,6,35.35322580645155
1,7,35.35322580645148
1,8,35.35322580645148
1,9,35.35322580645148
1,10,35.35322580645148
1,11,35.35322580645148
1,12,35.35322580645148
1,13,35.35322580645148
1,14,35.35322580645148
1,15,35.35322580645148
1,16,35.35322580645148
1,17,35.35322580645148
1,18,35.35322580645148
1,19,35.35322580645148
1,20,35.35322580645148
1,21,35.35322580645155
1,22,35.35322580645155
1,23,35.35322580645155
2,0,36.87965517241372
2,1,36.87965517241372
2,2,36.87965517241372
2,3,36.87965517241372
2,4,36.87965517241372
2,5,36.87965517241372
2,6,36.87965517241372
2,7,36.87965517241365
2,8,36.87965517241365
2,9,36.87965517241365
2,10,36.87965517241365
2,11,36.87965517241365
2,12,36.87965517241365
2,13,36.87965517241365
2,14,36.87965517241365
2,15,36.87965517241365
2,16,36.87965517241365
2,17,36.87965517241365
2,18,36.87965517241365
2,19,36.87965517241365
2,20,36.87965517241365
2,21,36.87965517241372
2,22,36.87965517241372
2,23,36.87965517241372
3,0,35.35322580645157
3,1,35.35322580645157
3,2,35.35322580645157
3,3,35.35322580645157
3,4,35.35322580645157
3,5,35.35322580645157
3,6,35.35322580645157
3,7,35.35322580645148
3,8,35.35322580645148
3,9,35.35322580645148
3,10,35.35322580645148
3,11,35.35322580645148
3,12,35.35322580645148
3,13,35.35322580645148
3,14,35.35322580645148
3,15,35.35322580645148
3,16,35.35322580645148
3,17,35.35322580645148
3,18,35.35322580645148
3,19,35.35322580645148
3,20,35.35322580645148
3,21,35.35322580645157
3,22,35.35322580645157
3,23,35.35322580645157
4,0,36.09099999999994
4,1,36.09099999999994
4,2,36.09099999999994
4,3,36.09099999999994
4,4,36.09099999999994
4,5,36.09099999999994
4,6,36.09099999999994
4,7,36.09099999999986
4,8,36.09099999999986
4,9,36.09099999999986
4,10,36.09099999999986
