Month,Hour,Cost
1,0,123.30437634408592
1,1,123.30437634408592
1,2,123.30437634408592
1,3,123.30437634408592
1,4,123.30437634408592
1,5,123.30437634408592
1,6,123.30437634408592
1,7,123.30437634408592
1,8,123.30437634408592
1,9,123.30437634408592
1,10,123.30437634408592
1,11,123.30437634408592
1,12,123.30437634408592
1,13,123.30437634408592
1,14,123.30437634408592
1,15,123.30437634408592
1,16,123.30437634408592
1,17,123.30437634408592
1,18,123.30437634408592
1,19,123.30437634408592
1,20,123.30437634408592
1,21,123.30437634408592
1,22,123.30437634408592
1,23,123.30437634408592
2,0,123.75227380952389
2,1,123.75227380952389
2,2,123.75227380952389
2,3,123.75227380952389
2,4,123.75227380952389
2,5,123.75227380952389
2,6,123.75227380952389
2,7,123.75227380952389
2,8,123.75227380952389
2,9,123.75227380952389
2,10,123.75227380952389
2,11,123.75227380952389
2,12,123.75227380952389
2,13,123.75227380952389
2,14,123.75227380952389
2,15,123.75227380952389
2,16,123.75227380952389
2,17,123.75227380952389
2,18,123.75227380952389
2,19,123.75227380952389
2,20,123.75227380952389
2,21,123.75227380952389
2,22,123.75227380952389
2,23,123.75227380952389
3,0,123.30437634408621
3,1,123.30437634408621
3,2,123.30437634408621
3,3,123.30437634408621
3,4,123.30437634408621
3,5,123.30437634408621
3,6,123.30437634408621
3,7,123.30437634408621
3,8,123.30437634408621
3,9,123.30437634408621
3,10,123.30437634408621
3,11,123.30437634408621
3,12,123.30437634408621
3,13,123.30437634408621
3,14,123.30437634408621
3,15,123.30437634408621
3,16,123.30437634408621
3,17,123.30437634408621
3,18,123.30437634408621
3,19,123.30437634408621
3,20,123.30437634408621
3,21,123.30437634408621
3,22,123.30437634408621
3,23,123.30437634408621
4,0,123.44372222222204
4,1,123.44372222222204
4,2,123.44372222222204
4,3,123.44372222222204
4,4,123.44372222222204
4,5,123.44372222222204
4,6,123.44372222222204
4,7,123.44372222222204
4,8,123.44372222222204
4,9,123.44372222222204
4,10,123.44372222222204
4,11,123.44372222222204
4,12,123.44372222222204
4,13,123.44372222222204
4,14,123.44372222222204
4,15,123.44372222222204
4,16,123.44372222222204
4,17,123.44372222222204
4,18,123.44372222222204
4,19,123.44372222222204
4,20,123.44372222222204
4,21,123.44372222222204
4,22,123.44372222222204
4,23,123.44372222222204
5,0,123.30437634408614
5,1,123.30437634408614
5,2,123.30437634408614
5,3,123.30437634408614
5,4,123.30437634408614
5,5,123.30437634408614
5,6,123.30437634408614
5,7,123.30437634408614
5,8,123.30437634408614
5,9,123.30437634408614
5,10,123.30437634408614
5,11,123.30437634408614
5,12,123.30437634408614
5,13,123.30437634408614
5,14,123.30437634408614
5,15,123.30437634408614
5,16,123.30437634408614
5,17,123.30437634408614
5,18,123.30437634408614
5,19,123.30437634408614
5,20,123.30437634408614
5,21,123.30437634408614
5,22,123.30437634408614
5,23,123.30437634408614
6,0,123.4437222222223
6,1,123.4437222222223
6,2,123.4437222222223
6,3,123.4437222222223
6,4,123.4437222222223
6,5,123.4437222222223
6,6,123.4437222222223
6,7,123.4437222222223
6,8,123.4437222222223
6,9,123.4437222222223
6,10,123.4437222222223
6,11,123.4437222222223
6,12,123.4437222222223
6,13,123.4437222222223
6,14,123.4437222222223
6,15,123.4437222222223
6,16,123.4437222222223
6,17,123.4437222222223
6,18,123.4437222222223
6,19,123.4437222222223
6,20,123.4437222222223
6,21,123.4437222222223
6,22,123.4437222222223
6,23,123.4437222222223
7,0,123.304376344086
7,1,123.304376344086
7,2,123.304376344086
7,3,123.304376344086
7,4,123.304376344086
7,5,123.304376344086
7,6,123.304376344086
7,7,123.304376344086
7,8,123.304376344086
7,9,123.304376344086
7,10,123.304376344086
7,11,123.304376344086
7,12,123.304376344086
7,13,123.304376344086
7,14,123.304376344086
7,15,123.304376344086
7,16,123.304376344086
7,17,123.304376344086
7,18,123.304376344086
7,19,123.304376344086
7,20,123.304376344086
7,21,123.304376344086
7,22,123.304376344086
7,23,123.304376344086
8,0,123.30437634408594
8,1,123.30437634408594
8,2,123.30437634408594
8,3,123.30437634408594
8,4,123.30437634408594
8,5,123.30437634408594
8,6,123.30437634408594
8,7,123.30437634408594
8,8,123.30437634408594
8,9,123.30437634408594
8,10,123.30437634408594
8,11,123.30437634408594
8,12,123.30437634408594
8,13,123.30437634408594
8,14,123.30437634408594
8,15,123.30437634408594
8,16,123.30437634408594
8,17,123.30437634408594
8,18,123.30437634408594
8,19,123.30437634408594
8,20,123.30437634408594
8,21,123.30437634408594
8,22,123.30437634408594
8,23,123.30437634408594
9,0,123.44372222222236
9,1,123.44372222222236
9,2,123.44372222222236
9,3,123.44372222222236
9,4,123.44372222222236
9,5,123.44372222222236
9,6,123.44372222222236
9,7,123.44372222222236
9,8,123.44372222222236
9,9,123.44372222222236
9,10,123.44372222222236
9,11,123.44372222222236
9,12,123.44372222222236
9,13,123.44372222222236
9,14,123.44372222222236
9,15,123.44372222222236
9,16,123.44372222222236
9,17,123.44372222222236
9,18,123.44372222222236
9,19,123.44372222222236
9,20,123.44372222222236
9,21,123.44372222222236
9,22,123.44372222222236
9,23,123.44372222222236
10,0,123.30437634408602
10,1,123.30437634408602
10,2,123.30437634408602
10,3,123.30437634408602
10,4,123.30437634408602
10,5,123.30437634408602
10,6,123.30437634408602
10,7,123.30437634408602
10,8,123.30437634408602
10,9,123.30437634408602
10,10,123.30437634408602
10,11,123.30437634408602
10,12,123.30437634408602
10,13,123.30437634408602
10,14,123.30437634408602
10,15,123.30437634408602
10,16,123.30437634408602
10,17,123.30437634408602
10,18,123.30437634408602
10,19,123.30437634408602
10,20,123.30437634408602
10,21,123.30437634408602
10,22,123.30437634408602
10,23,123.30437634408602
11,0,123.44372222222212
11,1,123.44372222222212
11,2,123.44372222222212
11,3,123.44372222222212
11,4,123.44372222222212
11,5,123.44372222222212
11,6,123.44372222222212
11,7,123.44372222222212
11,8,123.44372222222212
11,9,123.44372222222212
11,10,123.44372222222212
11,11,123.44372222222212
11,12,123.44372222222212
11,13,123.44372222222212
11,14,123.44372222222212
11,15,123.44372222222212
11,16,123.44372222222212
