Month,Hour,Cost
1,0,84.56051612903227
1,1,84.56051612903227
1,2,84.56051612903227
1,3,84.56051612903227
1,4,84.56051612903227
1,5,84.56051612903227
1,6,84.56051612903227
1,7,84.56051612903227
1,8,84.56051612903227
1,9,84.56051612903227
1,10,84.56051612903227
1,11,84.56051612903227
1,12,84.56051612903227
1,13,84.56051612903227
1,14,84.56051612903227
1,15,84.56051612903227
1,16,84.56051612903227
1,17,84.56051612903227
1,18,84.56051612903227
1,19,84.56051612903227
1,20,84.56051612903227
1,21,84.56051612903227
1,22,84.56051612903227
1,23,84.56051612903227
2,0,84.85349999999995
2,1,84.85349999999995
2,2,84.85349999999995
2,3,84.85349999999995
2,4,84.85349999999995
2,5,84.85349999999995
2,6,84.85349999999995
2,7,84.85349999999995
2,8,84.85349999999995
2,9,84.85349999999995
2,10,84.85349999999995
2,11,84.85349999999995
2,12,84.85349999999995
2,13,84.85349999999995
2,14,84.85349999999995
2,15,84.85349999999995
2,16,84.85349999999995
2,17,84.85349999999995
2,18,84.85349999999995
2,19,84.85349999999995
2,20,84.85349999999995
2,21,84.85349999999995
2,22,84.85349999999995
2,23,84.85349999999995
3,0,84.56051612903231
3,1,84.56051612903231
3,2,84.56051612903231
3,3,84.56051612903231
3,4,84.56051612903231
3,5,84.56051612903231
3,6,84.56051612903231
3,7,84.56051612903231
3,8,84.56051612903231
3,9,84.56051612903231
3,10,84.56051612903231
3,11,84.56051612903231
3,12,84.56051612903231
3,13,84.56051612903231
3,14,84.56051612903231
3,15,84.56051612903231
3,16,84.56051612903231
3,17,84.56051612903231
3,18,84.56051612903231
3,19,84.56051612903231
3,20,84.56051612903231
3,21,84.56051612903231
3,22,84.56051612903231
3,23,84.56051612903231
4,0,84.65166666666671
4,1,84.65166666666671
4,2,84.65166666666671
4,3,84.65166666666671
4,4,84.65166666666671
4,5,84.65166666666671
4,6,84.65166666666671
4,7,84.65166666666671
4,8,84.65166666666671
4,9,84.65166666666671
4,10,84.65166666666671
4,11,84.65166666666671
4,12,84.65166666666671
4,13,84.65166666666671
4,14,84.65166666666671
4,15,84.65166666666671
4,16,84.65166666666671
4,17,84.65166666666671
4,18,84.65166666666671
4,19,84.65166666666671
4,20,84.65166666666671
4,21,84.65166666666671
4,22,84.65166666666671
4,23,84.65166666666671
5,0,84.56051612903232
5,1,84.56051612903232
5,2,84.56051612903232
5,3,84.56051612903232
5,4,84.56051612903232
5,5,84.56051612903232
5,6,84.56051612903232
5,7,84.56051612903232
5,8,84.56051612903232
5,9,84.56051612903232
5,10,84.56051612903232
5,11,84.56051612903232
5,12,84.56051612903232
5,13,84.56051612903232
5,14,84.56051612903232
5,15,84.56051612903232
5,16,84.56051612903232
5,17,84.56051612903232
5,18,84.56051612903232
5,19,84.56051612903232
5,20,84.56051612903232
5,21,84.56051612903232
5,22,84.56051612903232
5,23,84.56051612903232
6,0,84.65166666666671
6,1,84.65166666666671
6,2,84.65166666666671
6,3,84.65166666666671
6,4,84.65166666666671
6,5,84.65166666666671
6,6,84.65166666666671
6,7,84.65166666666671
6,8,84.65166666666671
6,9,84.65166666666671
6,10,84.65166666666671
6,11,84.65166666666671
6,12,84.65166666666671
6,13,84.65166666666671
6,14,84.65166666666671
6,15,84.65166666666671
6,16,84.65166666666671
6,17,84.65166666666671
6,18,84.65166666666671
6,19,84.65166666666671
6,20,84.65166666666671
6,21,84.65166666666671
6,22,84.65166666666671
6,23,84.65166666666671
7,0,84.56051612903231
7,1,84.56051612903231
7,2,84.56051612903231
7,3,84.56051612903231
7,4,84.56051612903231
7,5,84.56051612903231
7,6,84.56051612903231
7,7,84.56051612903231
7,8,84.56051612903231
7,9,84.56051612903231
7,10,84.56051612903231
7,11,84.56051612903231
7,12,84.56051612903231
7,13,84.56051612903231
7,14,84.56051612903231
7,15,84.56051612903231
7,16,84.56051612903231
7,17,84.56051612903231
7,18,84.56051612903231
7,19,84.56051612903231
7,20,84.56051612903231
7,21,84.56051612903231
7,22,84.56051612903231
7,23,84.56051612903231
8,0,84.56051612903217
8,1,84.56051612903217
8,2,84.56051612903217
8,3,84.56051612903217
8,4,84.56051612903217
8,5,84.56051612903217
8,6,84.56051612903217
8,7,84.56051612903217
8,8,84.56051612903217
8,9,84.56051612903217
8,10,84.56051612903217
8,11,84.56051612903217
8,12,84.56051612903217
8,13,84.56051612903217
8,14,84.56051612903217
8,15,84.56051612903217
8,16,84.56051612903217
8,17,84.56051612903217
8,18,84.56051612903217
8,19,84.56051612903217
8,20,84.56051612903217
8,21,84.56051612903217
8,22,84.56051612903217
8,23,84.56051612903217
9,0,84.65166666666667
9,1,84.65166666666667
9,2,84.65166666666667
9,3,84.65166666666667
9,4,84.65166666666667
9,5,84.65166666666667
9,6,84.65166666666667
9,7,84.65166666666667
9,8,84.65166666666667
9,9,84.65166666666667
9,10,84.65166666666667
9,11,84.65166666666667
9,12,84.65166666666667
9,13,84.65166666666667
9,14,84.65166666666667
9,15,84.65166666666667
9,16,84.65166666666667
9,17,84.65166666666667
9,18,84.65166666666667
9,19,84.65166666666667
9,20,84.65166666666667
9,21,84.65166666666667
9,22,84.65166666666667
9,23,84.65166666666667
10,0,84.56051612903205
10,1,84.56051612903205
10,2,84.56051612903205
10,3,84.56051612903205
10,4,84.56051612903205
10,5,84.56051612903205
10,6,84.56051612903205
10,7,84.56051612903205
10,8,84.56051612903205
10,9,84.56051612903205
10,10,84.56051612903205
10,11,84.56051612903205
10,12,84.56051612903205
10,13,84.56051612903205
10,14,84.56051612903205
10,15,84.56051612903205
10,16,84.56051612903205
10,17,84.56051612903205
10,18,84.56051612903205
10,19,84.56051612903205
10,20,84.56051612903205
10,21,84.56051612903205
10,22,84.56051612903205
10,23,84.56051612903205
11,0,84.65166666666667
11,1,84.65166666666667
11,2,84.65166666666667
11,3,84.65166666666667
11,4,84.65166666666667
11,5,84.65166666666667
11,6,84.65166666666667
11,7,84.65166666666667
11,8,84.65166666666667
11,9,84.65166666666667
11,10,84.65166666666667
11,11,84.65166666666667
11,12,84.65166666666667
11,13,84.65166666666667
11,14,84.65166666666667
