Month,Hour,Cost
1,0,77.30749999999996
1,1,77.30749999999996
1,2,77.30749999999996
1,3,77.30749999999996
1,4,77.30749999999996
1,5,77.30749999999996
1,6,77.30749999999996
1,7,77.30749999999996
1,8,77.30749999999996
1,9,77.30749999999996
1,10,77.30749999999996
1,11,77.30749999999996
1,12,77.30749999999996
1,13,77.30749999999996
1,14,77.30749999999996
1,15,77.30749999999996
1,16,77.30749999999996
1,17,77.30749999999996
1,18,77.30749999999996
1,19,77.30749999999996
1,20,77.30749999999996
1,21,77.30749999999996
1,22,77.30749999999996
1,23,77.30749999999996
2,0,77.30830357142858
2,1,77.30830357142858
2,2,77.30830357142858
2,3,77.30830357142858
2,4,77.30830357142858
2,5,77.30830357142858
2,6,77.30830357142858
2,7,77.30830357142858
2,8,77.30830357142858
2,9,77.30830357142858
2,10,77.30830357142858
2,11,77.30830357142858
2,12,77.30830357142858
2,13,77.30830357142858
2,14,77.30830357142858
2,15,77.30830357142858
2,16,77.30830357142858
2,17,77.30830357142858
2,18,77.30830357142858
2,19,77.30830357142858
2,20,77.30830357142858
2,21,77.30830357142858
2,22,77.30830357142858
2,23,77.30830357142858
3,0,77.30749999999998
3,1,77.30749999999998
3,2,77.30749999999998
3,3,77.30749999999998
3,4,77.30749999999998
3,5,77.30749999999998
3,6,77.30749999999998
3,7,77.30749999999998
3,8,77.30749999999998
3,9,77.30749999999998
3,10,77.30749999999998
3,11,77.30749999999998
3,12,77.30749999999998
3,13,77.30749999999998
3,14,77.30749999999998
3,15,77.30749999999998
3,16,77.30749999999998
3,17,77.30749999999998
3,18,77.30749999999998
3,19,77.30749999999998
3,20,77.30749999999998
3,21,77.30749999999998
3,22,77.30749999999998
3,23,77.30749999999998
4,0,77.30775000000003
4,1,77.30775000000003
4,2,77.30775000000003
4,3,77.30775000000003
4,4,77.30775000000003
4,5,77.30775000000003
4,6,77.30775000000003
4,7,77.30775000000003
4,8,77.30775000000003
4,9,77.30775000000003
4,10,77.30775000000003
4,11,77.30775000000003
4,12,77.30775000000003
4,13,77.30775000000003
4,14,77.30775000000003
4,15,77.30775000000003
4,16,77.30775000000003
4,17,77.30775000000003
4,18,77.30775000000003
4,19,77.30775000000003
4,20,77.30775000000003
4,21,77.30775000000003
4,22,77.30775000000003
4,23,77.30775000000003
5,0,77.30749999999996
5,1,77.30749999999996
5,2,77.30749999999996
5,3,77.30749999999996
5,4,77.30749999999996
5,5,77.30749999999996
5,6,77.30749999999996
5,7,77.30749999999996
5,8,77.30749999999996
5,9,77.30749999999996
5,10,77.30749999999996
5,11,77.30749999999996
5,12,77.30749999999996
5,13,77.30749999999996
5,14,77.30749999999996
5,15,77.30749999999996
5,16,77.30749999999996
5,17,77.30749999999996
5,18,77.30749999999996
5,19,77.30749999999996
5,20,77.30749999999996
5,21,77.30749999999996
5,22,77.30749999999996
5,23,77.30749999999996
6,0,77.30775000000003
6,1,77.30775000000003
6,2,77.30775000000003
6,3,77.30775000000003
6,4,77.30775000000003
6,5,77.30775000000003
6,6,77.30775000000003
6,7,77.30775000000003
6,8,77.30775000000003
6,9,77.30775000000003
6,10,77.30775000000003
6,11,77.30775000000003
6,12,77.30775000000003
6,13,77.30775000000003
6,14,77.30775000000003
6,15,77.30775000000003
6,16,77.30775000000003
6,17,77.30775000000003
6,18,77.30775000000003
6,19,77.30775000000003
6,20,77.30775000000003
6,21,77.30775000000003
6,22,77.30775000000003
6,23,77.30775000000003
7,0,77.30749999999998
7,1,77.30749999999998
7,2,77.30749999999998
7,3,77.30749999999998
7,4,77.30749999999998
7,5,77.30749999999998
7,6,77.30749999999998
7,7,77.30749999999998
7,8,77.30749999999998
7,9,77.30749999999998
7,10,77.30749999999998
7,11,77.30749999999998
7,12,77.30749999999998
7,13,77.30749999999998
7,14,77.30749999999998
7,15,77.30749999999998
