Month,Hour,Cost
1,0,66.52407258064437
1,1,66.52407258064437
1,2,66.52407258064437
1,3,66.52407258064437
1,4,66.52407258064437
1,5,66.52407258064437
1,6,66.52407258064437
1,7,66.52407258064437
1,8,66.52407258064437
1,9,66.52407258064437
1,10,66.52407258064437
1,11,66.52407258064437
1,12,66.52407258064437
1,13,66.52407258064437
1,14,66.52407258064437
1,15,66.52407258064437
1,16,66.52407258064437
1,17,66.52407258064437
1,18,66.52407258064437
1,19,66.52407258064437
1,20,66.52407258064437
1,21,66.52407258064437
1,22,66.52407258064437
1,23,66.52407258064437
2,0,67.0367672413787
2,1,67.0367672413787
2,2,67.0367672413787
2,3,67.0367672413787
2,4,67.0367672413787
2,5,67.0367672413787
2,6,67.0367672413787
2,7,67.0367672413787
2,8,67.0367672413787
2,9,67.0367672413787
2,10,67.0367672413787
2,11,67.0367672413787
2,12,67.0367672413787
2,13,67.0367672413787
2,14,67.0367672413787
2,15,67.0367672413787
2,16,67.0367672413787
2,17,67.0367672413787
2,18,67.0367672413787
2,19,67.0367672413787
2,20,67.0367672413787
2,21,67.0367672413787
2,22,67.0367672413787
2,23,67.0367672413787
3,0,66.52407258064437
3,1,66.52407258064437
3,2,66.52407258064437
3,3,66.52407258064437
3,4,66.52407258064437
3,5,66.52407258064437
3,6,66.52407258064437
3,7,66.52407258064437
3,8,66.52407258064437
3,9,66.52407258064437
3,10,66.52407258064437
3,11,66.52407258064437
3,12,66.52407258064437
3,13,66.52407258064437
3,14,66.52407258064437
3,15,66.52407258064437
3,16,66.52407258064437
3,17,66.52407258064437
3,18,66.52407258064437
3,19,66.52407258064437
3,20,66.52407258064437
3,21,66.52407258064437
3,22,66.52407258064437
3,23,66.52407258064437
4,0,66.7718749999993
4,1,66.7718749999993
4,2,66.7718749999993
4,3,66.7718749999993
4,4,66.7718749999993
4,5,66.7718749999993
4,6,66.7718749999993
4,7,66.7718749999993
4,8,66.7718749999993
4,9,66.7718749999993
4,10,66.7718749999993
4,11,66.7718749999993
4,12,66.7718749999993
4,13,66.7718749999993
4,14,66.7718749999993
4,15,66.7718749999993
4,16,66.7718749999993
4,17,66.7718749999993
4,18,66.7718749999993
4,19,66.7718749999993
4,20,66.7718749999993
4,21,66.7718749999993
4,22,66.7718749999993
4,23,66.7718749999993
5,0,66.52407258064437
5,1,66.52407258064437
5,2,66.52407258064437
5,3,66.52407258064437
5,4,66.52407258064437
5,5,66.52407258064437
5,6,66.52407258064437
5,7,66.52407258064437
5,8,66.52407258064437
5,9,66.52407258064437
5,10,66.52407258064437
5,11,66.52407258064437
5,12,66.52407258064437
5,13,66.52407258064437
5,14,66.52407258064437
5,15,66.52407258064437
5,16,66.52407258064437
5,17,66.52407258064437
5,18,66.52407258064437
5,19,66.52407258064437
5,20,66.52407258064437
5,21,66.52407258064437
5,22,66.52407258064437
5,23,66.52407258064437
6,0,66.7718749999993
6,1,66.7718749999993
6,2,66.7718749999993
6,3,66.7718749999993
6,4,66.7718749999993
6,5,66.7718749999993
6,6,66.7718749999993
6,7,66.7718749999993
6,8,66.7718749999993
6,9,66.7718749999993
6,10,66.7718749999993
6,11,66.7718749999993
6,12,66.7718749999993
6,13,66.7718749999993
6,14,66.7718749999993
6,15,66.7718749999993
6,16,66.7718749999993
6,17,66.7718749999993
6,18,66.7718749999993
6,19,66.7718749999993
6,20,66.7718749999993
6,21,66.7718749999993
6,22,66.7718749999993
6,23,66.7718749999993
7,0,66.52407258064437
7,1,66.52407258064437
7,2,66.52407258064437
7,3,66.52407258064437
7,4,66.52407258064437
7,5,66.52407258064437
7,6,66.52407258064437
7,7,66.52407258064437
7,8,66.52407258064437
7,9,66.52407258064437
7,10,66.52407258064437
7,11,66.52407258064437
7,12,66.52407258064437
7,13,66.52407258064437
7,14,66.52407258064437
7,15,66.52407258064437
7,16,66.52407258064437
7,17,66.52407258064437
7,18,66.52407258064437
7,19,66.52407258064437
7,20,66.52407258064437
7,21,66.52407258064437
7,22,66.52407258064437
7,23,66.52407258064437
8,0,66.52407258064437
8,1,66.52407258064437
8,2,66.52407258064437
8,3,66.52407258064437
8,4,66.52407258064437
8,5,66.52407258064437
8,6,66.52407258064437
8,7,66.52407258064437
8,8,66.52407258064437
8,9,66.52407258064437
8,10,66.52407258064437
8,11,66.52407258064437
8,12,66.52407258064437
8,13,66.52407258064437
8,14,66.52407258064437
8,15,66.52407258064437
8,16,66.52407258064437
8,17,66.52407258064437
8,18,66.52407258064437
8,19,66.52407258064437
8,20,66.52407258064437
8,21,66.52407258064437
8,22,66.52407258064437
8,23,66.52407258064437
9,0,66.7718749999993
9,1,66.7718749999993
9,2,66.7718749999993
9,3,66.7718749999993
9,4,66.7718749999993
9,5,66.7718749999993
9,6,66.7718749999993
9,7,66.7718749999993
9,8,66.7718749999993
9,9,66.7718749999993
9,10,66.7718749999993
9,11,66.7718749999993
9,12,66.7718749999993
9,13,66.7718749999993
9,14,66.7718749999993
9,15,66.7718749999993
9,16,66.7718749999993
9,17,66.7718749999993
9,18,66.7718749999993
9,19,66.7718749999993
9,20,66.7718749999993
9,21,66.7718749999993
9,22,66.7718749999993
9,23,66.7718749999993
10,0,66.52407258064437
10,1,66.52407258064437
10,2,66.52407258064437
10,3,66.52407258064437
10,4,66.52407258064437
10,5,66.52407258064437
10,6,66.52407258064437
10,7,66.52407258064437
10,8,66.52407258064437
10,9,66.52407258064437
10,10,66.52407258064437
10,11,66.52407258064437
10,12,66.52407258064437
10,13,66.52407258064437
10,14,66.52407258064437
10,15,66.52407258064437
10,16,66.52407258064437
10,17,66.52407258064437
10,18,66.52407258064437
10,19,66.52407258064437
10,20,66.52407258064437
10,21,66.52407258064437
10,22,66.52407258064437
10,23,66.52407258064437
11,0,66.7718749999993
11,1,66.7718749999993
11,2,66.7718749999993
11,3,66.7718749999993
11,4,66.7718749999993
11,5,66.7718749999993
11,6,66.7718749999993
11,7,66.7718749999993
11,8,66.7718749999993
11,9,66.7718749999993
11,10,66.7718749999993
11,11,66.7718749999993
11,12,66.7718749999993
11,13,66.7718749999993
11,14,66.7718749999993
11,15,66.7718749999993
11,16,66.7718749999993
11,17,66.7718749999993
11,18,66.7718749999993
11,19,66.7718749999993
11,20,66.7718749999993
11,21,66.7718749999993
11,22,66.7718749999993
11,23,66.7718749999993
12,0,66.52407258064437
12,1,66.52407258064437
12,2,66.52407258064437
12,3,66.52407258064437
12,4,66.52407258064437
12,5,66.52407258064437
12,6,66.52407258064437
12,7,66.52407258064437
12,8,66.52407258064437
12,9,66.52407258064437
12,10,66.52407258064437
12,11,66.52407258064437
12,12,66.52407258064437
12,13,66.52407258064437
12,14,66.52407258064437
12,15,66.52407258064437
12,16,66.52407258064437
12,17,66.52407258064437
12,18,66.52407258064437
12,19,66.52407258064437
12,20,66.52407258064437
12,21,66.52407258064437
12,22,66.52407258064437
12,23,66.52407258064437
