Month,Hour,Cost
1,0,72.44271627189639
1,1,72.44271627189639
1,2,72.44271627189639
1,3,72.44271627189639
1,4,72.44271627189639
1,5,72.44271627189639
1,6,72.44271627189639
1,7,72.44271627189639
1,8,72.44271627189639
1,9,72.44271627189639
1,10,72.44271627189639
1,11,72.44271627189639
1,12,72.44271627189639
1,13,72.44271627189639
1,14,72.44271627189639
1,15,72.44271627189639
1,16,72.44271627189639
1,17,72.44271627189639
1,18,72.44271627189639
1,19,72.44271627189639
1,20,72.44271627189639
1,21,72.44271627189639
1,22,72.44271627189639
1,23,72.44271627189639
2,0,73.63622644448837
2,1,73.63622644448837
2,2,73.63622644448837
2,3,73.63622644448837
2,4,73.63622644448837
2,5,73.63622644448837
2,6,73.63622644448837
2,7,73.63622644448837
2,8,73.63622644448837
2,9,73.63622644448837
2,10,73.63622644448837
2,11,73.63622644448837
2,12,73.63622644448837
2,13,73.63622644448837
2,14,73.63622644448837
2,15,73.63622644448837
2,16,73.63622644448837
2,17,73.63622644448837
2,18,73.63622644448837
2,19,73.63622644448837
2,20,73.63622644448837
2,21,73.63622644448837
2,22,73.63622644448837
2,23,73.63622644448837
3,0,72.15463962540736
3,1,72.15463962540736
3,2,72.15463962540736
3,3,72.15463962540736
3,4,72.15463962540736
3,5,72.15463962540736
3,6,72.15463962540736
3,7,72.15463962540736
3,8,72.15463962540736
3,9,72.15463962540736
3,10,72.15463962540736
3,11,72.15463962540736
3,12,72.15463962540736
3,13,72.15463962540736
3,14,72.15463962540736
3,15,72.15463962540736
3,16,72.15463962540736
3,17,72.15463962540736
3,18,72.15463962540736
3,19,72.15463962540736
3,20,72.15463962540736
3,21,72.15463962540736
3,22,72.15463962540736
3,23,72.15463962540736
4,0,72.53407348641788
4,1,72.53407348641788
4,2,72.53407348641788
4,3,72.53407348641788
4,4,72.53407348641788
4,5,72.53407348641788
4,6,72.53407348641788
4,7,72.53407348641788
4,8,72.53407348641788
4,9,72.53407348641788
4,10,72.53407348641788
4,11,72.53407348641788
4,12,72.53407348641788
4,13,72.53407348641788
4,14,72.53407348641788
4,15,72.53407348641788
4,16,72.53407348641788
4,17,72.53407348641788
4,18,72.53407348641788
4,19,72.53407348641788
4,20,72.53407348641788
4,21,72.53407348641788
4,22,72.53407348641788
4,23,72.53407348641788
5,0,72.38628128790697
5,1,72.38628128790697
5,2,72.38628128790697
5,3,72.38628128790697
5,4,72.38628128790697
5,5,72.38628128790697
5,6,72.38628128790697
5,7,72.38628128790697
5,8,72.38628128790697
5,9,72.38628128790697
5,10,72.38628128790697
5,11,72.38628128790697
5,12,72.38628128790697
5,13,72.38628128790697
5,14,72.38628128790697
5,15,72.38628128790697
5,16,72.38628128790697
5,17,72.38628128790697
5,18,72.38628128790697
5,19,72.38628128790697
5,20,72.38628128790697
5,21,72.38628128790697
5,22,72.38628128790697
5,23,72.38628128790697
6,0,72.50186101070557
6,1,72.50186101070557
6,2,72.50186101070557
6,3,72.50186101070557
6,4,72.50186101070557
6,5,72.50186101070557
6,6,72.50186101070557
6,7,72.50186101070557
6,8,72.50186101070557
6,9,72.50186101070557
6,10,72.50186101070557
6,11,72.50186101070557
6,12,72.50186101070557
6,13,72.50186101070557
6,14,72.50186101070557
6,15,72.50186101070557
