Month,Hour,Cost
1,0,65.04666666666618
1,1,65.04666666666618
1,2,65.04666666666618
1,3,65.04666666666618
1,4,65.04666666666618
1,5,65.04666666666618
1,6,65.04666666666618
1,7,65.04666666666618
1,8,65.04666666666618
1,9,65.04666666666618
1,10,65.04666666666618
1,11,65.04666666666618
1,12,65.04666666666618
1,13,65.04666666666618
1,14,65.04666666666618
1,15,65.04666666666618
1,16,65.04666666666618
1,17,65.04666666666618
1,18,65.04666666666618
1,19,65.04666666666618
1,20,65.04666666666618
1,21,65.04666666666618
1,22,65.04666666666618
1,23,65.04666666666618
2,0,65.33402298850541
2,1,65.33402298850541
2,2,65.33402298850541
2,3,65.33402298850541
2,4,65.33402298850541
2,5,65.33402298850541
2,6,65.33402298850541
2,7,65.33402298850541
2,8,65.33402298850541
2,9,65.33402298850541
2,10,65.33402298850541
2,11,65.33402298850541
2,12,65.33402298850541
2,13,65.33402298850541
2,14,65.33402298850541
2,15,65.33402298850541
2,16,65.33402298850541
2,17,65.33402298850541
2,18,65.33402298850541
2,19,65.33402298850541
2,20,65.33402298850541
2,21,65.33402298850541
2,22,65.33402298850541
2,23,65.33402298850541
3,0,65.04666666666618
3,1,65.04666666666618
3,2,65.04666666666618
3,3,65.04666666666618
3,4,65.04666666666618
3,5,65.04666666666618
3,6,65.04666666666618
3,7,65.04666666666618
3,8,65.04666666666618
3,9,65.04666666666618
3,10,65.04666666666618
3,11,65.04666666666618
3,12,65.04666666666618
3,13,65.04666666666618
3,14,65.04666666666618
3,15,65.04666666666618
3,16,65.04666666666618
3,17,65.04666666666618
3,18,65.04666666666618
3,19,65.04666666666618
3,20,65.04666666666618
3,21,65.04666666666618
3,22,65.04666666666618
3,23,65.04666666666618
4,0,65.18555555555514
4,1,65.18555555555514
4,2,65.18555555555514
4,3,65.18555555555514
4,4,65.18555555555514
4,5,65.18555555555514
4,6,65.18555555555514
4,7,65.18555555555514
4,8,65.18555555555514
4,9,65.18555555555514
4,10,65.18555555555514
4,11,65.18555555555514
4,12,65.18555555555514
4,13,65.18555555555514
4,14,65.18555555555514
4,15,65.18555555555514
4,16,65.18555555555514
4,17,65.18555555555514
4,18,65.18555555555514
4,19,65.18555555555514
4,20,65.18555555555514
4,21,65.18555555555514
4,22,65.18555555555514
4,23,65.18555555555514
5,0,65.04666666666618
5,1,65.04666666666618
5,2,65.04666666666618
5,3,65.04666666666618
5,4,65.04666666666618
5,5,65.04666666666618
5,6,65.04666666666618
5,7,65.04666666666618
5,8,65.04666666666618
5,9,65.04666666666618
5,10,65.04666666666618
5,11,65.04666666666618
5,12,65.04666666666618
5,13,65.04666666666618
5,14,65.04666666666618
5,15,65.04666666666618
5,16,65.04666666666618
5,17,65.04666666666618
5,18,65.04666666666618
5,19,65.04666666666618
5,20,65.04666666666618
5,21,65.04666666666618
5,22,65.04666666666618
5,23,65.04666666666618
6,0,65.18555555555514
6,1,65.18555555555514
6,2,65.18555555555514
6,3,65.18555555555514
6,4,65.18555555555514
6,5,65.18555555555514
6,6,65.18555555555514
6,7,65.18555555555514
6,8,65.18555555555514
6,9,65.18555555555514
6,10,65.18555555555514
6,11,65.18555555555514
6,12,65.18555555555514
6,13,65.18555555555514
6,14,65.18555555555514
6,15,65.18555555555514
6,16,65.18555555555514
6,17,65.18555555555514
6,18,65.18555555555514
6,19,65.18555555555514
6,20,65.18555555555514
6,21,65.18555555555514
6,22,65.18555555555514
6,23,65.18555555555514
7,0,65.04666666666618
7,1,65.04666666666618
7,2,65.04666666666618
7,3,65.04666666666618
7,4,65.04666666666618
7,5,65.04666666666618
7,6,65.04666666666618
7,7,65.04666666666618
7,8,65.04666666666618
7,9,65.04666666666618
7,10,65.04666666666618
7,11,65.04666666666618
7,12,65.04666666666618
7,13,65.04666666666618
7,14,65.04666666666618
7,15,65.04666666666618
7,16,65.04666666666618
7,17,65.04666666666618
7,18,65.04666666666618
7,19,65.04666666666618
7,20,65.04666666666618
7,21,65.04666666666618
7,22,65.04666666666618
7,23,65.04666666666618
8,0,65.04666666666618
8,1,65.04666666666618
8,2,65.04666666666618
8,3,65.04666666666618
8,4,65.04666666666618
