Month,Hour,Cost
1,0,77.02022540369873
1,1,77.02022540369873
1,2,77.02022540369873
1,3,77.02022540369873
1,4,77.02022540369873
1,5,77.02022540369873
1,6,77.02022540369873
1,7,77.02022540369873
1,8,77.02022540369873
1,9,77.02022540369873
1,10,77.02022540369873
1,11,77.02022540369873
1,12,77.02022540369873
1,13,77.02022540369873
1,14,77.02022540369873
1,15,77.02022540369873
1,16,77.02022540369873
1,17,77.02022540369873
1,18,77.02022540369873
1,19,77.02022540369873
1,20,77.02022540369873
1,21,77.02022540369873
1,22,77.02022540369873
1,23,77.02022540369873
2,0,78.58729009538956
2,1,78.58729009538956
2,2,78.58729009538956
2,3,78.58729009538956
2,4,78.58729009538956
2,5,78.58729009538956
2,6,78.58729009538956
2,7,78.58729009538956
2,8,78.58729009538956
2,9,78.58729009538956
2,10,78.58729009538956
2,11,78.58729009538956
2,12,78.58729009538956
2,13,78.58729009538956
2,14,78.58729009538956
2,15,78.58729009538956
2,16,78.58729009538956
2,17,78.58729009538956
2,18,78.58729009538956
2,19,78.58729009538956
2,20,78.58729009538956
2,21,78.58729009538956
2,22,78.58729009538956
2,23,78.58729009538956
3,0,76.97920621442593
3,1,76.97920621442593
3,2,76.97920621442593
3,3,76.97920621442593
3,4,76.97920621442593
3,5,76.97920621442593
3,6,76.97920621442593
3,7,76.97920621442593
3,8,76.97920621442593
3,9,76.97920621442593
3,10,76.97920621442593
3,11,76.97920621442593
3,12,76.97920621442593
3,13,76.97920621442593
3,14,76.97920621442593
3,15,76.97920621442593
3,16,76.97920621442593
3,17,76.97920621442593
3,18,76.97920621442593
3,19,76.97920621442593
3,20,76.97920621442593
3,21,76.97920621442593
3,22,76.97920621442593
3,23,76.97920621442593
4,0,78.39769835915935
4,1,78.39769835915935
4,2,78.39769835915935
4,3,78.39769835915935
4,4,78.39769835915935
4,5,78.39769835915935
4,6,78.39769835915935
4,7,78.39769835915935
4,8,78.39769835915935
4,9,78.39769835915935
4,10,78.39769835915935
4,11,78.39769835915935
4,12,78.39769835915935
4,13,78.39769835915935
4,14,78.39769835915935
4,15,78.39769835915935
4,16,78.39769835915935
4,17,78.39769835915935
4,18,78.39769835915935
4,19,78.39769835915935
4,20,78.39769835915935
4,21,78.39769835915935
4,22,78.39769835915935
4,23,78.39769835915935
5,0,76.45746952179653
5,1,76.45746952179653
5,2,76.45746952179653
5,3,76.45746952179653
5,4,76.45746952179653
5,5,76.45746952179653
5,6,76.45746952179653
5,7,76.45746952179653
5,8,76.45746952179653
5,9,76.45746952179653
5,10,76.45746952179653
5,11,76.45746952179653
5,12,76.45746952179653
5,13,76.45746952179653
5,14,76.45746952179653
5,15,76.45746952179653
5,16,76.45746952179653
5,17,76.45746952179653
5,18,76.45746952179653
5,19,76.45746952179653
5,20,76.45746952179653
5,21,76.45746952179653
5,22,76.45746952179653
5,23,76.45746952179653
6,0,76.28060628692535
6,1,76.28060628692535
6,2,76.28060628692535
6,3,76.28060628692535
6,4,76.28060628692535
6,5,76.28060628692535
6,6,76.28060628692535
6,7,76.28060628692535
6,8,76.28060628692535
6,9,76.28060628692535
6,10,76.28060628692535
6,11,76.28060628692535
6,12,76.28060628692535
6,13,76.28060628692535
6,14,76.28060628692535
6,15,76.28060628692535
6,16,76.28060628692535
6,17,76.28060628692535
6,18,76.28060628692535
6,19,76.28060628692535
6,20,76.28060628692535
6,21,76.28060628692535
6,22,76.28060628692535
6,23,76.28060628692535
7,0,75.39953492566022
7,1,75.39953492566022
7,2,75.39953492566022
7,3,75.39953492566022
7,4,75.39953492566022
7,5,75.39953492566022
7,6,75.39953492566022
7,7,75.39953492566022
7,8,75.39953492566022
7,9,75.39953492566022
7,10,75.39953492566022
7,11,75.39953492566022
7,12,75.39953492566022
7,13,75.39953492566022
7,14,75.39953492566022
7,15,75.39953492566022
7,16,75.39953492566022
7,17,75.39953492566022
7,18,75.39953492566022
7,19,75.39953492566022
7,20,75.39953492566022
7,21,75.39953492566022
7,22,75.39953492566022
7,23,75.39953492566022
8,0,75.2912230853795
8,1,75.2912230853795
8,2,75.2912230853795
8,3,75.2912230853795
8,4,75.2912230853795
8,5,75.2912230853795
8,6,75.2912230853795
8,7,75.2912230853795
8,8,75.2912230853795
8,9,75.2912230853795
8,10,75.2912230853795
8,11,75.2912230853795
8,12,75.2912230853795
8,13,75.2912230853795
8,14,75.2912230853795
8,15,75.2912230853795
8,16,75.2912230853795
8,17,75.2912230853795
8,18,75.2912230853795
8,19,75.2912230853795
8,20,75.2912230853795
8,21,75.2912230853795
8,22,75.2912230853795
8,23,75.2912230853795
9,0,76.64567460420734
9,1,76.64567460420734
9,2,76.64567460420734
9,3,76.64567460420734
9,4,76.64567460420734
9,5,76.64567460420734
9,6,76.64567460420734
