Month,Hour,Cost
1,0,101.2146028796913
1,1,101.2146028796913
1,2,101.2146028796913
1,3,101.2146028796913
1,4,101.2146028796913
1,5,101.2146028796913
1,6,101.2146028796913
1,7,101.2146028796913
1,8,101.2146028796913
1,9,101.2146028796913
1,10,101.2146028796913
1,11,101.2146028796913
1,12,101.2146028796913
1,13,101.2146028796913
1,14,101.2146028796913
1,15,101.2146028796913
1,16,101.2146028796913
1,17,101.2146028796913
1,18,101.2146028796913
1,19,101.2146028796913
1,20,101.2146028796913
1,21,101.2146028796913
1,22,101.2146028796913
1,23,101.2146028796913
2,0,108.02655609679718
2,1,108.02655609679718
2,2,108.02655609679718
2,3,108.02655609679718
2,4,108.02655609679718
2,5,108.02655609679718
2,6,108.02655609679718
2,7,108.02655609679718
2,8,108.02655609679718
2,9,108.02655609679718
2,10,108.02655609679718
2,11,108.02655609679718
2,12,108.02655609679718
2,13,108.02655609679718
2,14,108.02655609679718
2,15,108.02655609679718
2,16,108.02655609679718
2,17,108.02655609679718
2,18,108.02655609679718
2,19,108.02655609679718
2,20,108.02655609679718
2,21,108.02655609679718
2,22,108.02655609679718
2,23,108.02655609679718
3,0,101.11313888756268
3,1,101.11313888756268
3,2,101.11313888756268
3,3,101.11313888756268
3,4,101.11313888756268
3,5,101.11313888756268
3,6,101.11313888756268
3,7,101.11313888756268
3,8,101.11313888756268
3,9,101.11313888756268
3,10,101.11313888756268
3,11,101.11313888756268
3,12,101.11313888756268
3,13,101.11313888756268
3,14,101.11313888756268
3,15,101.11313888756268
3,16,101.11313888756268
3,17,101.11313888756268
3,18,101.11313888756268
3,19,101.11313888756268
3,20,101.11313888756268
3,21,101.11313888756268
3,22,101.11313888756268
3,23,101.11313888756268
4,0,107.26383936006168
4,1,107.26383936006168
4,2,107.26383936006168
4,3,107.26383936006168
4,4,107.26383936006168
4,5,107.26383936006168
4,6,107.26383936006168
4,7,107.26383936006168
4,8,107.26383936006168
4,9,107.26383936006168
4,10,107.26383936006168
4,11,107.26383936006168
4,12,107.26383936006168
4,13,107.26383936006168
4,14,107.26383936006168
4,15,107.26383936006168
4,16,107.26383936006168
4,17,107.26383936006168
4,18,107.26383936006168
4,19,107.26383936006168
4,20,107.26383936006168
4,21,107.26383936006168
4,22,107.26383936006168
4,23,107.26383936006168
5,0,101.90311227548112
5,1,101.90311227548112
5,2,101.90311227548112
5,3,101.90311227548112
5,4,101.90311227548112
5,5,101.90311227548112
5,6,101.90311227548112
5,7,101.90311227548112
5,8,101.90311227548112
5,9,101.90311227548112
5,10,101.90311227548112
5,11,101.90311227548112
5,12,101.90311227548112
5,13,101.90311227548112
5,14,101.90311227548112
5,15,101.90311227548112
5,16,101.90311227548112
5,17,101.90311227548112
5,18,101.90311227548112
5,19,101.90311227548112
5,20,101.90311227548112
5,21,101.90311227548112
5,22,101.90311227548112
5,23,101.90311227548112
6,0,140.27960837144667
6,1,140.27960837144667
6,2,140.27960837144667
6,3,140.27960837144667
