Month,Hour,Cost
1,0,7.106530043324489
1,1,7.106530043324489
1,2,7.106530043324489
1,3,7.106530043324489
1,4,7.106530043324489
1,5,7.106530043324489
1,6,7.106530043324489
1,7,7.106530043324489
1,8,48.03323608227008
1,9,48.03323608227008
1,10,48.03323608227008
1,11,48.03323608227008
1,12,48.03323608227008
1,13,48.03323608227008
1,14,48.03323608227008
1,15,48.03323608227008
1,16,48.03323608227008
1,17,48.03323608227008
1,18,48.03323608227008
1,19,48.03323608227008
1,20,48.03323608227008
1,21,7.106530043324489
1,22,7.106530043324489
1,23,7.106530043324489
2,0,7.115555194297023
2,1,7.115555194297023
2,2,7.115555194297023
2,3,7.115555194297023
2,4,7.115555194297023
2,5,7.115555194297023
2,6,7.115555194297023
2,7,7.115555194297023
2,8,52.02641554531895
2,9,52.02641554531895
2,10,52.02641554531895
2,11,52.02641554531895
2,12,52.02641554531895
2,13,52.02641554531895
2,14,52.02641554531895
2,15,52.02641554531895
2,16,52.02641554531895
2,17,52.02641554531895
2,18,52.02641554531895
2,19,52.02641554531895
2,20,52.02641554531895
2,21,7.115555194297023
2,22,7.115555194297023
2,23,7.115555194297023
3,0,6.95568028698004
3,1,6.95568028698004
3,2,6.95568028698004
3,3,6.95568028698004
3,4,6.95568028698004
3,5,6.95568028698004
3,6,6.95568028698004
3,7,6.95568028698004
3,8,48.2242522093566
3,9,48.2242522093566
3,10,48.2242522093566
3,11,48.2242522093566
3,12,48.2242522093566
3,13,48.2242522093566
3,14,48.2242522093566
3,15,48.2242522093566
3,16,48.2242522093566
3,17,48.2242522093566
3,18,48.2242522093566
3,19,48.2242522093566
3,20,48.2242522093566
3,21,6.95568028698004
3,22,6.95568028698004
3,23,6.95568028698004
4,0,6.963755820528736
4,1,6.963755820528736
4,2,6.963755820528736
4,3,6.963755820528736
4,4,6.963755820528736
4,5,6.963755820528736
4,6,6.963755820528736
4,7,6.963755820528736
4,8,51.59037653790541
4,9,51.59037653790541
4,10,51.59037653790541
4,11,51.59037653790541
4,12,51.59037653790541
4,13,51.59037653790541
4,14,51.59037653790541
4,15,51.59037653790541
4,16,51.59037653790541
4,17,51.59037653790541
4,18,51.59037653790541
