Month,Hour,Cost
1,0,31.892485690349112
1,1,31.892485690349112
1,2,31.892485690349112
1,3,31.892485690349112
1,4,31.892485690349112
1,5,31.892485690349112
1,6,32.584902373372095
1,7,32.584902373372095
1,8,32.584902373372095
1,9,32.584902373372095
1,10,32.584902373372095
1,11,32.584902373372095
1,12,33.108929901590045
1,13,33.108929901590045
1,14,33.108929901590045
1,15,33.108929901590045
1,16,33.108929901590045
1,17,33.108929901590045
1,18,25.30665360239632
1,19,25.30665360239632
1,20,25.30665360239632
1,21,25.30665360239632
1,22,25.30665360239632
1,23,25.30665360239632
2,0,33.806641742421625
2,1,33.806641742421625
2,2,33.806641742421625
2,3,33.806641742421625
2,4,33.806641742421625
2,5,33.806641742421625
2,6,34.57640486643616
2,7,34.57640486643616
2,8,34.57640486643616
2,9,34.57640486643616
2,10,34.57640486643616
2,11,34.57640486643616
2,12,35.030086635219035
2,13,35.030086635219035
2,14,35.030086635219035
2,15,35.030086635219035
2,16,35.030086635219035
2,17,35.030086635219035
2,18,27.16946974819995
2,19,27.16946974819995
2,20,27.16946974819995
2,21,27.16946974819995
2,22,27.26679117677138
2,23,27.26679117677138
3,0,31.128327107871723
3,1,31.128327107871723
3,2,31.128327107871723
3,3,31.128327107871723
3,4,31.128327107871723
3,5,31.128327107871723
3,6,32.23016215594144
3,7,32.23016215594144
3,8,32.23016215594144
3,9,32.23016215594144
3,10,32.23016215594144
3,11,32.23016215594144
3,12,32.422227927882744
3,13,32.422227927882744
3,14,32.422227927882744
3,15,32.422227927882744
3,16,32.422227927882744
3,17,32.422227927882744
3,18,24.347417657213107
3,19,24.347417657213107
3,20,24.347417657213107
3,21,24.347417657213107
3,22,24.43532088301956
3,23,24.43532088301956
4,0,31.764053647476693
4,1,31.764053647476693
4,2,31.764053647476693
4,3,31.764053647476693
4,4,31.764053647476693
4,5,31.764053647476693
4,6,32.805909367816206
4,7,32.805909367816206
4,8,32.805909367816206
4,9,32.805909367816206
4,10,32.805909367816206
4,11,32.805909367816206
4,12,33.02942020810503
4,13,33.02942020810503
4,14,33.02942020810503
4,15,33.02942020810503
4,16,33.02942020810503
4,17,33.02942020810503
4,18,25.676980496256157
4,19,25.676980496256157
4,20,25.676980496256157
4,21,25.676980496256157
4,22,25.676980496256157
4,23,25.676980496256157
5,0,31.512760599872806
5,1,31.512760599872806
5,2,31.512760599872806
5,3,31.512760599872806
5,4,31.512760599872806
5,5,31.512760599872806
5,6,32.66733743021422
5,7,32.66733743021422
5,8,32.66733743021422
5,9,32.66733743021422
5,10,32.66733743021422
5,11,32.66733743021422
5,12,32.97381373173012
5,13,32.97381373173012
5,14,32.97381373173012
5,15,32.97381373173012
5,16,32.97381373173012
5,17,32.97381373173012
5,18,24.870182439617547
5,19,24.870182439617547
5,20,24.870182439617547
5,21,24.870182439617547
5,22,24.958085665424004
5,23,24.958085665424004
6,0,31.66219156272012
6,1,31.66219156272012
6,2,31.66219156272012
6,3,31.66219156272012
6,4,31.66219156272012
6,5,31.66219156272012
6,6,32.74320700301359
6,7,32.74320700301359
6,8,32.74320700301359
6,9,32.74320700301359
6,10,32.74320700301359
6,11,32.74320700301359
6,12,32.99638206732079
6,13,32.99638206732079
6,14,32.99638206732079
6,15,32.99638206732079
6,16,32.99638206732079
6,17,32.99638206732079
6,18,24.92980926180415
6,19,24.92980926180415
6,20,24.92980926180415
6,21,24.92980926180415
6,22,24.973251290789655
6,23,24.973251290789655
7,0,30.665647767265963
7,1,30.665647767265963
7,2,30.665647767265963
7,3,30.665647767265963
7,4,30.665647767265963
7,5,30.665647767265963
7,6,31.571377443212732
7,7,31.571377443212732
7,8,31.571377443212732
7,9,31.571377443212732
7,10,31.571377443212732
7,11,31.571377443212732
7,12,31.86937038815175
7,13,31.86937038815175
7,14,31.86937038815175
7,15,31.86937038815175
7,16,31.86937038815175
7,17,31.86937038815175
7,18,24.40105229660451
7,19,24.40105229660451
7,20,24.40105229660451
7,21,24.40105229660451
7,22,24.437247742524818
7,23,24.437247742524818
8,0,31.25448033173451
8,1,31.25448033173451
8,2,31.25448033173451
8,3,31.25448033173451
8,4,31.25448033173451
8,5,31.25448033173451
8,6,32.13170178724864
8,7,32.13170178724864
8,8,32.13170178724864
8,9,32.13170178724864
8,10,32.13170178724864
8,11,32.13170178724864
8,12,32.47231788837358
8,13,32.47231788837358
8,14,32.47231788837358
8,15,32.47231788837358
8,16,32.47231788837358
